目录编号,视频ID,视频标题,发布时间_格式化,点赞数,分享数,播放数
25,7382852856467967243,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运载千秋  #盛世中华何以中国  #绘说现代化,2024-06-21 15:19:50,95933,8621,2856309
10,7343240904922139904,数读政府工作报告：长风破浪，未来可期！#绘说现代化,2024-03-06 21:25:16,41914,2990,1373748
14,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677
88,7546788333142560026,国土面积只占全国约4%，却蕴藏了全国约20%的绿色能源！彩云之南，绿能澎湃！#绘说现代化,2025-09-06 09:53:07,35651,2152,757023
2,7323196776314457395,为了吃好饭中国人有多认真？我国种业科技已处于世界先进水平！#绘说现代化,2024-01-12 21:03:47,35042,2981,1453380
11,7344891279248985384,用AI视角打开“两会热词”，读懂人民的期盼。#绘说现代化,2024-03-11 08:09:31,34736,2234,1151721
22,7375336861302033698,6座大型水电站，跨越1800多公里…数说世界最大清洁能源走廊👍 #绘说现代化,2024-06-01 12:00:00,31344,5444,1541046
26,7386225241367924003,“桂”在开放！66秒看广西如何向新而行🔥 #绘说现代化,2024-06-30 17:26:29,29431,454,440935
12,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,2024-03-23 10:39:22,26333,3475,1533093
19,7367940261797760291,2023年我国授权发明专利92.1万件✌️专利变“红利”，创新发展有动力！#绘说现代化,2024-05-12 10:51:23,24100,4905,1596480
1,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,23559,427,946139
99,7575341215181977930,中国人的饭碗端得更牢了！2024年，全国粮食产量首次突破1.4万亿斤；2024年底，农业科技进步贡献率达到63.2%！#绘说现代化 #AI大家创 #媒体精选计划,2025-11-22 08:32:55,21968,1647,1137943
4,7328196474980797715,科技让会种地变成慧种地！全国农作物耕种收综合机械化率已超过73% #绘说现代化,2024-01-26 08:25:26,21792,7226,1160108
92,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,20718,341,373203
47,7440437279287561506,应对气候变化，中国在行动！80秒感受中国式现代化的磅礴力量！#绘说现代化,2024-11-23 19:37:05,20211,3649,1210905
44,7432554739042176308,设备“更新”产业“焕新”！100秒看“两新”工作新在哪🔥 #绘说现代化,2024-11-02 13:48:44,17898,4175,1012916
72,7505210116377201946,在古村体验一场激情澎湃的马拉松，在白云深处看清晨的第一缕阳光洒在梯田上……山水为卷，文化为魂，江西绘就“诗和远方”新图景👍#绘说现代化 #即梦ai,2025-05-17 08:48:44,17135,102,170171
34,7406599046112005428,累计调水740多亿立方米！90秒看南水北调工程有多牛👍 #绘说现代化,2024-08-24 15:07:19,14117,1155,686701
30,7396485913095834915,中国世界遗产总数达到59项！88秒看文化中国闪耀世界👏#绘说现代化,2024-07-28 09:03:13,12533,1099,840889
29,7393633280182029618,万米海底，有“奋斗者”号；大山深处，有“中国天眼”；浩瀚太空，有“嫦娥”奔月…创新中国生机勃勃！#绘说现代化,2024-07-20 16:33:27,10873,302,555057
31,7398734116654468367,暑期旅游，“热”力十足；新型消费，不断拓展！80秒看活力中国潜力十足🔥#绘说现代化,2024-08-03 10:27:20,9139,940,715977
43,7429939082479881487,茂名的荔枝、枣庄的石榴、东山的海鲜…90秒看中国农业大有可为！#绘说现代化,2024-10-26 12:43:15,8887,1275,545252
40,7421919631377550607,75年砥砺奋进，75年换了人间！奋进中国，接力点赞👍 #绘说现代化 #有亿种骄傲叫我爱你中国,2024-10-04 21:58:58,8671,249,397414
28,7391385791232068904,投入联合收割机60多万台，小麦机收占比超98%！点赞中国夏收的科技范儿👍#绘说现代化,2024-07-14 15:12:13,8639,363,397083
18,7364200945644768538,当前我国劳动年龄人口接近9亿人，#追光的你 绘就新时代最美画卷！#绘说现代化,2024-05-02 09:00:57,8626,263,958611
5,7331985805612764470,造汽车这件事，中国有多牛！从无到有，从有到大，从大到强，中国“智造”汽车正加速驶向全球🔥 #绘说现代化,2024-02-05 13:29:57,8400,192,611729
15,7357239472414674210,数字中国一路向前！1分钟看中国5G技术有多强。 #绘说现代化,2024-04-13 14:46:54,8137,1987,750986
23,7378297412256812322,去年新增1500多家国家级高新技术企业！河北向新而行，为中国式现代化贡献品牌力量！#绘说现代化,2024-06-09 08:42:28,7815,194,588554
52,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799
3,7325747193879497995,人才是希望田野的“绘就者”，当前我国农村实用人才超2300万！#绘说现代化,2024-01-19 18:00:44,6816,255,387697
13,7352000334148963594,清明小长假你有出行计划吗？一起去看祖国大好河山，感受中国式现代化的磅礴力量！ #绘说现代化,2024-03-30 11:56:18,6767,138,393681
7,7336045049425300775,造船这件事中国有多牛？三大指标连续14年居世界第一！ #绘说现代化,2024-02-16 12:01:48,6381,327,301512
9,7341195278243925286,“进度条”不断刷新！给全世界一点中国高铁的震撼！#绘说现代化,2024-03-01 09:07:24,6239,299,378204
46,7437907374364495119,我国制造业规模已连续14年位居世界第一！60秒看中国制造步履铿锵🔥#绘说现代化,2024-11-16 23:59:46,6154,492,370747
6,7333060768440651035,给全世界一点中国新能源车的震撼！！#绘说现代化,2024-02-08 11:02:46,5942,432,353623
57,7464755126457175307,从“中国年”到“世界节”！用剪纸风的春节，照见中国式现代化！#绘说现代化 #在抖音过好年 #非遗中国年,2025-01-28 08:23:26,5934,352,313058
54,7458562797283151123,遇“冷”豫“热”！河南的冬天到底有谁在啊❄️ #绘说现代化 ,2025-01-11 15:54:52,5784,313,305978
61,7477032888144235810,两会时间即将开启，这份惠农“大礼包”请查收！ #绘说现代化,2025-03-02 10:30:17,5714,693,315106
98,7572380507174915363,开放大门越开越大，发展机遇世界共享！如今，中国已成为150多个国家和地区的主要贸易伙伴，货物贸易总额连续8年稳居全球第一。一起感受中国式现代化的磅礴力量！#绘说现代化,2025-11-14 09:04:02,5649,214,218304
24,7380899170124565795,累计开行突破90000列！飞驰吧，中欧班列～ #绘说现代化,2024-06-16 08:58:36,5555,471,392398
63,7481851479289122111,一年春作首，奋进正当时！卫星视角看奋进的春天！ #绘说现代化,2025-03-15 10:05:25,5137,419,415686
21,7372772681235647780,向新而行！在辽宁，感受中国式现代化的磅礴力量🔥#行进看中国 #绘说现代化,2024-05-25 11:23:43,4965,188,276386
16,7359779242793569573,覆盖人群更广、保障能力更强，1分钟看医保如何守护全民健康❤️#绘说现代化,2024-04-20 11:02:25,4950,201,364149
91,7554930180825861410,你用的电可能是甘肃来的！ 电力输送全国26个省份，甘肃正在从“风光”大省向“风光”强省加速跨越👍#绘说现代化,2025-09-28 08:27:54,4671,269,169226
33,7404279789185436940,跨境电商跑出加速度、海外仓步入发展快车道…90秒了解开放中国🔥 #绘说现代化,2024-08-18 09:07:30,4628,244,277722
27,7388442389968325888,“宁”心聚力！数说“塞上江南”的中国式现代化！#绘说现代化,2024-07-06 16:50:12,4398,121,315787
