排名,关键词,词频
1,中国,38
2,中国式,22
3,全国,13
4,我国,9
5,世界,9
6,创新,8
7,冰雪,8
8,海洋,7
9,能源,6
10,科技,6
11,春耕,6
12,第一,6
13,强国,6
14,走进,6
15,这件,5
16,绿色,5
17,80,5
18,产业,5
19,活力,5
20,来自,5
21,未来,4
22,发展,4
23,种地,4
24,10,4
25,2024,4
26,突破,4
27,农业,4
28,新疆,4
29,旅游,4
30,奋进,4
31,全球,4
32,连续,4
33,冬天,4
34,国家,4
35,经济,4
36,资源,4
37,大运河,3
38,工作,3
39,视角,3
40,澎湃,3
41,人有,3
42,打开,3
43,开放,3
44,如何,3
45,新而行,3
46,14,3
47,达到,3
48,点亮,3
49,绿电,3
50,风光,3
51,100,3
52,文化,3
53,90,3
54,不断,3
55,点赞,3
56,60,3
57,有多强,3
58,规模,3
59,共享,3
60,万亩,3
61,吉林,3
62,海上,3
63,云南,3
64,可开发量,3
65,亿千瓦,3
66,海南,3
67,世界遗产,2
68,数读,2
69,政府,2
70,报告,2
71,卫星,2
72,认真,2
73,AI,2
74,两会,2
75,人民,2
76,跨越,2
77,清洁,2
78,广西,2
79,一年,2
80,2023,2
81,农田,2
82,首次,2
83,年底,2
84,综合,2
85,阳光,2
86,光伏,2
87,山水,2
88,累计,2
89,太空,2
90,十足,2
91,新型,2
92,潜力,2
93,大有可为,2
94,75,2
95,投入,2
96,98,2
97,当前,2
98,亿人,2
99,汽车,2
100,加速,2
