排名,关键词,词频
1,中国,442
2,祖国,198
3,科技,190
4,农业,169
5,越来越,148
6,云南,147
7,植树造林,130
8,农民,114
9,发展,108
10,国家,105
11,现在,100
12,粮食,97
13,人民,94
14,希望,94
15,种地,88
16,厉害,83
17,广西,81
18,不错,76
19,生活,73
20,南水北调,71
21,大运河,70
22,世界,69
23,繁荣昌盛,67
24,文化,66
25,千秋,66
26,利在,64
27,电费,64
28,强大,62
29,视频,62
30,造福,62
31,农村,59
32,人民网,58
33,功在当代,57
34,绿色,56
35,转基因,55
36,加油,52
37,点赞,51
38,看看,44
39,还有,40
40,丰收,38
41,第一,38
42,伟大,38
43,喜欢,37
44,种子,36
45,一年,36
46,子孙后代,36
47,重要,35
48,看到,35
49,骄傲,35
50,现代化,35
51,土地,34
52,时候,34
53,今年,33
54,问题,33
55,水电站,33
56,民以食为天,31
57,减少,31
58,5G,31
59,改变,30
60,中华,30
61,经济,30
62,大美,30
63,今晚,30
64,能源,30
65,多少,29
66,为什么,29
67,机械化,29
68,很多,29
69,保护,28
70,便宜,28
71,祝福,28
72,城市,28
73,利国利民,28
74,活力,28
75,欢迎,28
76,智慧,28
77,森林,28
78,耕地,27
79,不了,27
80,人人有责,27
81,博大精深,27
82,根本,26
83,大国,26
84,未来,26
85,美丽,26
86,生态,26
87,世界遗产,26
88,饭碗,25
89,老百姓,25
90,这些,25
91,行动,25
92,田野,25
93,环境,25
94,大有可为,25
95,不到,24
96,地方,24
97,我家,24
98,美好,24
99,春耕,24
100,绿化,24
