目录编号,视频ID,视频标题,发布时间_格式化,点赞数,分享数,播放数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
001,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,23559,427,946139,L2,7321216803321299739,1亩地产出的粮食能卖多少钱？,佛吉,105051547850,7,0,2024-01-07 13:00:25,陕西,
001,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,23559,427,946139,L2,7321092456316470067,中华民族是一个农耕民族，谁不让我好好种地，我就把谁种在地里 [大金牙],远方的狼,2387745963514504,14,0,2024-01-07 10:31:35,内蒙古,
001,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,23559,427,946139,L2,7321644926173102902,我们中国人应该发奋图强；田要种；自己国家有丰富卜不要求着外人的粮食充补；那些风坡`应该把仑开发：不要抱它掉风：这样我们有更丰富的粮食：用科技来推种；这才是我们中国的富有,芯语,2071129790883742,4,0,2024-01-08 16:41:49,广西,
001,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,23559,427,946139,L2,7321570131607274292,现在种地都亏本[捂脸],奈斯CHEN,87638318319,6,0,2024-01-08 11:51:33,广东,
001,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,23559,427,946139,L2,7320632034921415443,转基因农产品难道也是命根子吗[感谢][感谢][感谢][感谢],赵一鸣零食（浙江杭州中泰水塔路店）,83502542463,62,7,2024-01-05 23:11:14,浙江,
001,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,23559,427,946139,L2,7321318528879198988,慢慢的都会承包出去，现在除了老一辈的种地，80、90都不会种地了。,河南矿山起重机,99353361389,4,0,2024-01-07 19:35:09,广东,
001,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,23559,427,946139,L2,7321201657093718794,中国的土地还是要保护好[赞][赞][赞],思念妈妈,111315353676,2,0,2024-01-07 12:01:39,河南,
001,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,23559,427,946139,L2,7320837238778249995,中国就是牛,阳阳的宝藏,96492448231,3,1,2024-01-06 12:27:32,河北,
001,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,23559,427,946139,L2,7324234473321792275,我爸种的水稻，今年价钱还行，苞米到现在买不出去，老便宜啦，不到1块钱[捂脸][捂脸][捂脸],完美小妖,96725379651,7,0,2024-01-15 16:10:30,吉林,
001,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,23559,427,946139,L2,7320643532149293864,农民种田什么时候也有五险一金养老？ 农业才会大发展！,冲锋号，战旗飘飘,2361390625989116,6,1,2024-01-05 23:55:52,四川,
001,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,23559,427,946139,L2,7320940362632676150,您好！！耕地就是人类之父母。[赞][赞][赞][赞][赞][赞][赞][赞][赞]愿人民都要真实有效的保护好耕地不要土地荒废。,吕官保,893243421363912,3,0,2024-01-06 19:07:39,江西,
001,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,23559,427,946139,L2,7320605512583709492,18亿亩耕地红线不能打破，高质量健康农田是标准,Karry Gu,99396983539,3,0,2024-01-05 21:28:20,江苏,
001,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,23559,427,946139,L2,7320963562134143798,中国人要将饭碗牢牢的端在自己的手中才行[赞],竹清兰香,95801766313,2,0,2024-01-06 20:37:43,广东,
001,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,23559,427,946139,L2,7320773273599361829,不挣钱，父辈们都老了，谁来种？,克莱因,60706165672,153,4,2024-01-06 08:19:22,山东,
