目录编号,视频ID,视频标题,视频URL,发布时间,发布时间_格式化,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数
025,7382852856467967243,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运载千秋  #盛世中华何以中国  #绘说现代化,https://www.douyin.com/video/7382852856467967243,1718954390,2024-06-21 15:19:50,71,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,95933,6862,8621,2856309,12178
010,7343240904922139904,数读政府工作报告：长风破浪，未来可期！#绘说现代化,https://www.douyin.com/video/7343240904922139904,1709731516,2024-03-06 21:25:16,102,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,41914,2672,2990,1373748,12
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,https://www.douyin.com/video/7353867736360996148,1712205768,2024-04-04 12:42:48,111,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,39102,4945,6609,1837677,13194
088,7546788333142560026,国土面积只占全国约4%，却蕴藏了全国约20%的绿色能源！彩云之南，绿能澎湃！#绘说现代化,https://www.douyin.com/video/7546788333142560026,1757123587,2025-09-06 09:53:07,57,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,35651,878,2152,757023,1454
002,7323196776314457395,为了吃好饭中国人有多认真？我国种业科技已处于世界先进水平！#绘说现代化,https://www.douyin.com/video/7323196776314457395,1705064627,2024-01-12 21:03:47,90,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,35042,2841,2981,1453380,6161
011,7344891279248985384,用AI视角打开“两会热词”，读懂人民的期盼。#绘说现代化,https://www.douyin.com/video/7344891279248985384,1710115771,2024-03-11 08:09:31,157,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,34736,1940,2234,1151721,3501
022,7375336861302033698,6座大型水电站，跨越1800多公里…数说世界最大清洁能源走廊👍 #绘说现代化,https://www.douyin.com/video/7375336861302033698,1717214400,2024-06-01 12:00:00,89,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,31344,4153,5444,1541046,9407
026,7386225241367924003,“桂”在开放！66秒看广西如何向新而行🔥 #绘说现代化,https://www.douyin.com/video/7386225241367924003,1719739589,2024-06-30 17:26:29,66,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,29431,460,454,440935,157
012,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,https://www.douyin.com/video/7349382897159163188,1711161562,2024-03-23 10:39:22,93,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,26333,2580,3475,1533093,4467
019,7367940261797760291,2023年我国授权发明专利92.1万件✌️专利变“红利”，创新发展有动力！#绘说现代化,https://www.douyin.com/video/7367940261797760291,1715482283,2024-05-12 10:51:23,85,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,24100,3546,4905,1596480,12
001,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,https://www.douyin.com/video/7320576816895348005,1704454619,2024-01-05 19:36:59,60,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,23559,683,427,946139,843
099,7575341215181977930,中国人的饭碗端得更牢了！2024年，全国粮食产量首次突破1.4万亿斤；2024年底，农业科技进步贡献率达到63.2%！#绘说现代化 #AI大家创 #媒体精选计划,https://www.douyin.com/video/7575341215181977930,1763771575,2025-11-22 08:32:55,66,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,21968,1845,1647,1137943,2866
004,7328196474980797715,科技让会种地变成慧种地！全国农作物耕种收综合机械化率已超过73% #绘说现代化,https://www.douyin.com/video/7328196474980797715,1706228726,2024-01-26 08:25:26,68,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,21792,3375,7226,1160108,6437
092,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,https://www.douyin.com/video/7557154952491502898,1759537258,2025-10-04 08:20:58,42,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,20718,428,341,373203,39
047,7440437279287561506,应对气候变化，中国在行动！80秒感受中国式现代化的磅礴力量！#绘说现代化,https://www.douyin.com/video/7440437279287561506,1732361825,2024-11-23 19:37:05,83,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,20211,3058,3649,1210905,6005
044,7432554739042176308,设备“更新”产业“焕新”！100秒看“两新”工作新在哪🔥 #绘说现代化,https://www.douyin.com/video/7432554739042176308,1730526524,2024-11-02 13:48:44,98,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,17898,3565,4175,1012916,4972
