目录编号,视频ID,视频标题,发布时间_格式化,点赞数,分享数,播放数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
092,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,20718,341,373203,L1,7561675181678691098,我一直教育我的孩子要好好学习，将来争取做一名对社会、对国家有用的人，我相信我们的祖国会越来越好，所以邪不胜正[比心][比心][比心],喜甜不喜酸,1200307132439965,3663,0,2025-10-16 12:41:43,四川,
092,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,20718,341,373203,L1,7561616868878238499,我的家乡在乌鲁木齐[玫瑰][玫瑰][玫瑰],Lily✨,3650014795798392,3183,4,2025-10-16 08:55:27,江苏,
047,7440437279287561506,应对气候变化，中国在行动！80秒感受中国式现代化的磅礴力量！#绘说现代化,2024-11-23 19:37:05,20211,3649,1210905,L1,7440836084122043163,央妈，请你多关注食品安全[流泪][流泪][流泪][流泪],顾,95270173261,2783,4,2024-11-24 21:24:17,北京,
092,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,20718,341,373203,L1,7561688699742946090,我的家乡在乌鲁木齐[黄脸祈祷],全屋智能灯光·卫了谁,222550520505504,2704,0,2025-10-16 13:34:09,浙江,
092,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,20718,341,373203,L1,7561712362068460348,乌鲁木齐最想去看看的城市！,Iucky,104751872269,2291,1,2025-10-16 15:05:58,湖北,
025,7382852856467967243,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运载千秋  #盛世中华何以中国  #绘说现代化,2024-06-21 15:19:50,95933,8621,2856309,L1,7383021671269761804,京杭大运河始建于隋朝，中国古人的智慧，中华民族的奇迹[赞][赞][赞],多星官方旗舰店,3650798995648174,1720,0,2024-06-22 02:15:11,山东,
002,7323196776314457395,为了吃好饭中国人有多认真？我国种业科技已处于世界先进水平！#绘说现代化,2024-01-12 21:03:47,35042,2981,1453380,L2,7323217060011524891,种子公司不能有外资公司介入…,L雄,96921410928,1596,1,2024-01-12 22:22:25,广东,
092,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,20718,341,373203,L1,7561712480218743609,想给你们所有的评论点个赞,大漂亮ran,3098866202720683,1499,1,2025-10-16 15:06:27,浙江,
088,7546788333142560026,国土面积只占全国约4%，却蕴藏了全国约20%的绿色能源！彩云之南，绿能澎湃！#绘说现代化,2025-09-06 09:53:07,35651,2152,757023,L1,7546864817550771007,云南人的工资还没有海拔高[泪奔],嗨，那谁,3333313350346792,1497,8,2025-09-06 14:49:55,云南,
025,7382852856467967243,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运载千秋  #盛世中华何以中国  #绘说现代化,2024-06-21 15:19:50,95933,8621,2856309,L1,7382856280853168908,京杭大运河的京是哪里啊？,用户0515248224142,37820275375997,1403,22,2024-06-21 15:33:04,安徽,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7353994338885911311,我在蚂蚁森林种的树是真的吗？这对我很重要，有没有人解答一下[玫瑰][玫瑰][泪奔],亦道春风为我来,2942759154749483,1267,13,2024-04-04 20:53:58,浙江,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453410310872531769,11年够嘛,福宝❤️,106670810512,1045,8,2024-12-28 18:38:44,上海,
092,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,20718,341,373203,L1,7561681376949797692,乌鲁木齐的烤包子[不失礼貌的微笑],polly0779,158776050588888,1003,0,2025-10-16 13:05:44,广西,
092,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,20718,341,373203,L1,7561643203150480154,到家了吗，妈妈还好吗～,向阳而生～🐟,1169484525356119,990,2,2025-10-16 10:37:36,安徽,
088,7546788333142560026,国土面积只占全国约4%，却蕴藏了全国约20%的绿色能源！彩云之南，绿能澎湃！#绘说现代化,2025-09-06 09:53:07,35651,2152,757023,L1,7546833390479147834,冷知识，懂事的云南人IP已经在外省了,🇨🇳º行则ʍ将至ヾ✿,1917146032781095,680,38,2025-09-06 12:47:58,广东,
