序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7323196776314457395,为了吃好饭中国人有多认真？我国种业科技已处于世界先进水平！#绘说现代化,https://www.douyin.com/video/7323196776314457395,1705064627,90,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,35042,2841,2981,1453380,6161,video,,,,,,,,,
2,7323196776314457395,,,,,,,,,,,,L2,7323217060011524891,种子公司不能有外资公司介入…,L雄,96921410928,1596,1,2024-01-12 22:22:25,广东,
3,7323196776314457395,,,,,,,,,,,,L2,7323487229766222646,种子公司不能有外资公司介入…！种子安全是大问题！,淡然窗外听风雨,110300870325,17,0,2024-01-13 15:50:52,山东,
4,7323196776314457395,,,,,,,,,,,,L2,7323221819501347623,种子安全是大问题,与清风相醉,109725028841,284,0,2024-01-12 22:40:52,云南,
5,7323196776314457395,,,,,,,,,,,,L2,7323426782596842251,保护好我国的种子多样性，转基因不能用于食品,深耕,1011163357787119,138,2,2024-01-13 11:56:16,天津,
6,7323196776314457395,,,,,,,,,,,,L2,7471990140609757986,春种一粒粟，秋收万颗子！这就是中国的哲学,小小🐤,1860845563024311,7,0,2025-02-16 20:17:59,广东,
7,7323196776314457395,,,,,,,,,,,,L2,7323468855946085120,人民首先要吃饱！感谢育种人！,蜜薯,686536856703149,27,0,2024-01-13 14:39:33,吉林,
8,7323196776314457395,,,,,,,,,,,,L2,7323480276469826354,我和我的祖国一刻也不能分割，无论我走到哪里，都流出一首赞歌。,往后余生一两风,68037571947,29,0,2024-01-13 15:23:52,四川,
9,7323196776314457395,,,,,,,,,,,,L2,7323466222573339426,转基因种子,舞,3910296114839447,30,0,2024-01-13 14:29:20,湖南,
10,7323196776314457395,,,,,,,,,,,,L2,7323475000073044745,放心了，别学阿根廷就行,一梦乄红尘,91640670277,18,0,2024-01-13 15:03:22,黑龙江,
11,7323196776314457395,,,,,,,,,,,,L2,7323468857321014054,拒绝转基因，让老百姓吃上放心的粮食，,孔繁荣,4353674747066520,54,0,2024-01-13 14:39:30,辽宁,
12,7323196776314457395,,,,,,,,,,,,L2,7323222380163367734,拒绝转基因粮食，拒绝转基因,如意,111413831360,146,0,2024-01-12 22:43:05,甘肃,
13,7323196776314457395,,,,,,,,,,,,L2,7323464987044201226,我骄傲我自豪我也是一个农民[呲牙],无名91821,58911877159,73,0,2024-01-13 14:24:31,福建,
14,7323196776314457395,,,,,,,,,,,,L2,7323238208051987263,原生态的就是最好的，就不要研究转基因了好么,小盼love,111044191612,292,2,2024-01-12 23:44:30,山东,
15,7323196776314457395,,,,,,,,,,,,L2,7323460602943341364,原生态的就是最好,功夫蛇,113946985250391,25,0,2024-01-13 14:07:30,浙江,
16,7323196776314457395,,,,,,,,,,,,L2,7323465612805669672,农业是民生的根本,麟麟,2691212728872711,25,0,2024-01-13 14:26:58,山西,
17,7323196776314457395,,,,,,,,,,,,L2,7323448605691593510,农业是中国的饭碗，要非转基因种子。,我很幸福,2119496184651912,42,0,2024-01-13 13:20:58,江苏,
18,7323196776314457395,,,,,,,,,,,,L2,7323426198738223884,不喜欢什么转基因的东西,用户8136810912590,2282223266447036,52,0,2024-01-13 11:53:59,广西,
19,7323196776314457395,,,,,,,,,,,,L2,7323413938800395046,红红火火[感谢],兔子散步,4059033401310030,22,0,2024-01-13 11:06:27,福建,
20,7323196776314457395,,,,,,,,,,,,L2,7323453635047441187,拒绝转基因，，，，，，,小美女,2735217087876155,17,0,2024-01-13 13:40:30,辽宁,
21,7323196776314457395,,,,,,,,,,,,L2,7323476139598742291,加油干,大哥大,4468827614096462,10,0,2024-01-13 15:07:51,四川,
22,7323196776314457395,,,,,,,,,,,,L2,7323447907935879962,不评论进来就是看看评论学知识的[感谢][感谢][感谢],爱昵,109056259028,13,0,2024-01-13 13:18:15,辽宁,
23,7323196776314457395,,,,,,,,,,,,L2,7323456677054432027,拒绝转基因食品,欢哥,97137223158,91,0,2024-01-13 13:52:16,湖北,
24,7323196776314457395,,,,,,,,,,,,L2,7323198852000121615,人民首先要吃饱！感谢育种人！,冉冉,85846643629,341,0,2024-01-12 21:11:45,广东,
25,7323196776314457395,,,,,,,,,,,,L2,7323442498529313536,人口太多，没办法，饿肚子非常难受[呲牙],飘,99557427883,13,0,2024-01-13 12:57:17,江苏,
26,7323196776314457395,,,,,,,,,,,,L2,7323489575065993996,小小一颗种子，破土发芽的时候，力量强大[赞][赞][赞],绿色心情,111419702290,3,0,2024-01-13 15:59:59,上海,
27,7323196776314457395,,,,,,,,,,,,L2,7323395572453524236,种子是希望,张新心,102676797060,52,0,2024-01-13 09:55:08,山东,
28,7323196776314457395,,,,,,,,,,,,L2,7323413163867980585,农业大国,用户6685482327864,360285413575127,52,0,2024-01-13 11:03:24,广东,
29,7323196776314457395,,,,,,,,,,,,L2,7323397200825566015,拒绝转基因！！！,静心❤,1965549085534695,37,0,2024-01-13 10:01:28,新疆,
30,7323196776314457395,,,,,,,,,,,,L2,7323221653100512009,现在都是转基因食品了没有小时候的那样的食品了,没有深度思考的人，你再勤奋也是白干,95181938027,113,0,2024-01-12 22:40:13,甘肃,
