序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7325747193879497995,人才是希望田野的“绘就者”，当前我国农村实用人才超2300万！#绘说现代化,https://www.douyin.com/video/7325747193879497995,1705658444,68,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,6816,458,255,387697,132,video,,,,,,,,,
2,7325747193879497995,,,,,,,,,,,,L1,7325791666728092467,"一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸。
一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸，
一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸。",黄河滩小程子,96573965194,14,4,2024-01-19 20:53:13,河南,
3,7325747193879497995,,,,,,,,,,,,L1,7325826444327830311,[九转大肠]彻查极目必有大批关注,千帛,94320442002,53,1,2024-01-19 23:08:10,河南,
4,7325747193879497995,,,,,,,,,,,,L1,7325791457503314722,调查极目新闻，为什么他张口就随意批判别人的城市,执笔丶写下情,1780845691810492,128,6,2024-01-19 20:52:25,河南,
5,7325747193879497995,,,,,,,,,,,,L1,7325795882514350883,"一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸。
一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸，
一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸。",鹿鹿,104165627201,21,0,2024-01-19 21:09:33,河南,
6,7325747193879497995,,,,,,,,,,,,L1,7325818932294697754,"挑拨离间，地域黑
一切挑起地域攻击的都是汉奸，
一切挑起男女对立的都是汉奸，
一切挑战军民团结的都是汉奸，
一切挑战国家公信力的都是汉奸，
一切挑战全民道德底线的都是汉奸，
一切在灾难中挑拨离间的都是汉奸",十九,97371412184,16,2,2024-01-19 22:38:59,河南,
7,7325747193879497995,,,,,,,,,,,,L1,7325769841927209743,"一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸。
一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸，
一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸。",杨杨杨杨,62796470556,11,0,2024-01-19 19:28:32,辽宁,
8,7325747193879497995,,,,,,,,,,,,L1,7325771689908273955,"一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸。
一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸，
一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸。",坐以待币,1236286626605000,9,4,2024-01-19 19:35:42,浙江,
9,7325747193879497995,,,,,,,,,,,,L1,7325772742194725683,"一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸。
一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸，
一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸。",鲨椒辣鱼🦈,64176553252,7,0,2024-01-19 19:39:44,河南,
10,7325747193879497995,,,,,,,,,,,,L1,7325766828201476905,麻烦多招几个有文化的没封建思想的人来运营可以吗[送心][猪头][猪头][猪头],卢卡超绝萌物,3993868643875101,204,2,2024-01-19 19:16:50,江西,
11,7325747193879497995,,,,,,,,,,,,L1,7507408153014256419,人才是时代的领跑者，是社会的宝贵财富，是希望田野的“绘就者”，乡村振兴，人才必振兴[玫瑰][玫瑰][玫瑰],又见江南雨,4041452065130707,4,1,2025-05-23 06:58:04,江苏,
12,7325747193879497995,,,,,,,,,,,,L1,7325783763362071311,麻烦多招几个有文化的没封建思想的人来运营可以吗[送心],Yz灬,69367688342,6,0,2024-01-19 20:22:31,河南,
13,7325747193879497995,,,,,,,,,,,,L1,7325771626854286117,麻烦多招几个有文化的没封建思想的人来运营可以吗[送心],禧楠星,64693420047,3,1,2024-01-19 19:35:26,安徽,
14,7325747193879497995,,,,,,,,,,,,L1,7325776506667270938,麻烦多招几个有文化的没封建思想的人来运营可以吗[送心],圆圈,111112154459,4,0,2024-01-19 19:54:23,广东,
15,7325747193879497995,,,,,,,,,,,,L1,7325757362064835379,民以食为天，重视农业[赞]祝广大农民粮食大丰收[撒花][撒花][撒花][气球][气球][气球],川流不息（有关注必回）,668103300612429,4,0,2024-01-19 18:40:06,云南,
16,7325747193879497995,,,,,,,,,,,,L1,7325750502683018020,什么算高素质农业人才，为什么都是叫我农民工？[捂脸],三十大叔,82538218745,19,0,2024-01-19 18:13:29,河南,
17,7325747193879497995,,,,,,,,,,,,L1,7325767333573706508,"一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸。
一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸，
一切挑拨民族团结的都是汉奸，
任何挑起地域歧视的都是汉奸。",卢卡超绝萌物,3993868643875101,20,4,2024-01-19 19:18:49,江西,
18,7325747193879497995,,,,,,,,,,,,L1,7325748949166818099,下次多评论[舔屏][舔屏][舔屏],幺姑婆,336895561183294,9,3,2024-01-19 18:07:26,四川,
19,7325747193879497995,,,,,,,,,,,,L1,7325770776890688296,农民养活了城里人也养活了全国，中国很多人才父母都是农民。,abcd2222在路上,2911939270294504,21,0,2024-01-19 19:32:08,河南,
20,7325747193879497995,,,,,,,,,,,,L1,7325752739375285028,为什么有些地方种地还要证件连自家门口种一些蔬菜都需要证件,黄先生,2334954548893747,32,7,2024-01-19 18:22:09,菲律宾,
