序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7328196474980797715,科技让会种地变成慧种地！全国农作物耕种收综合机械化率已超过73% #绘说现代化,https://www.douyin.com/video/7328196474980797715,1706228726,68,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,21792,3375,7226,1160108,6437,video,,,,,,,,,
2,7328196474980797715,,,,,,,,,,,,L1,7328242072728912677,高科技助力农业发展，为祖国点赞！,向日葵,94126097121,13,0,2024-01-26 11:22:04,辽宁,
3,7328196474980797715,,,,,,,,,,,,L1,7328236499433833254,还是要少种些转基因的农产品，现在的人身体已经大不如上一辈的人了！[感谢][感谢][感谢][感谢],小烦人精,53548284513,42,0,2024-01-26 11:00:26,广东,
4,7328196474980797715,,,,,,,,,,,,L1,7328241683526386442,来巩义这种沟里，地里高高低低，路也是高高低低，山里沟里都有地，平一点的地区都建成房子和厂区了,喜羊羊,65975579935,21,0,2024-01-26 11:20:33,河南,
5,7328196474980797715,,,,,,,,,,,,L1,7328198896760226598,我们这边山地，用不了这个,瞳宝,74767509794,122,2,2024-01-26 08:34:34,甘肃,
6,7328196474980797715,,,,,,,,,,,,L1,7328251800729092899,科技农业在不断创新发展，民以食为天，农业发展重中之重[赞][赞][赞],❀ꦿ零·度᭄ꦿ*,110597814573,22,0,2024-01-26 11:59:51,河北,
7,7328196474980797715,,,,,,,,,,,,L2,7328202403026928424,是的啊，山地田埂还很高，土质还比较硬,天空蓝,1486138618944852,14,0,2024-01-26 08:48:10,浙江,
8,7328196474980797715,,,,,,,,,,,,L2,7328205545738470181,那就把人的勤劳发挥到极致。,无。有。,72576660673,14,0,2024-01-26 09:00:19,山西,
9,7328196474980797715,,,,,,,,,,,,L1,7328307068568486690,发展科技，振兴农业[赞][赞][赞],老戴2,1983936803906928,19,0,2024-01-26 15:34:16,浙江,
10,7328196474980797715,,,,,,,,,,,,L1,7328278416581591858,转基因就是科技吗？？？？？,海纳百川，,624110661025485,107,0,2024-01-26 13:43:03,江苏,
11,7328196474980797715,,,,,,,,,,,,L1,7328283999007982348,我们村实现了百分百机械化生产，专门整出了一个1亩平地，用小型农业机械耕种，实现了百分百机械化生产。[赞][赞][赞],用户3932614361394,421817268578683,17,0,2024-01-26 14:04:46,重庆,
12,7328196474980797715,,,,,,,,,,,,L1,7328334928843031332,厉害了我的国[赞][赞][赞]希望中国农业越来越强大，摆脱对外依赖，农业事关重大，不容忽视[赞][赞][赞],@平安,792126923486398,16,0,2024-01-26 17:22:22,河北,
13,7328196474980797715,,,,,,,,,,,,L1,7328297389835469603,科技种田，智慧种田，把粮袋子紧紧握在自己的手中,逍遥游,1324275508710719,18,0,2024-01-26 14:56:43,辽宁,
14,7328196474980797715,,,,,,,,,,,,L1,7328278963138331392,只有土地集中华，农业机械化才能发挥最大的效率,穿越红尘,2392991513197804,22,0,2024-01-26 13:45:15,黑龙江,
15,7328196474980797715,,,,,,,,,,,,L1,7328306672214999819,大平原还是可以的，但种过的土地大部分是山区，应该发展山区农业机械化，这才是当务之急。光靠平原，中国的粮食是绝对不够的，一定要把山区发展起来，才能保障14亿人的吃喝问题。,方与圆。。。。。。。,686559576988268,27,0,2024-01-26 15:32:43,山东,
16,7328196474980797715,,,,,,,,,,,,L1,7328363366106972963,农业现在越来越科技了[赞][赞][赞],幸运草,2656891995166248,7,0,2024-01-26 19:12:43,江苏,
17,7328196474980797715,,,,,,,,,,,,L1,7328330038960915212,其实我觉得普及很重要，要普及价钱最重要,用户3624514883282,2632652351617635,59,0,2024-01-26 17:03:26,广东,
18,7328196474980797715,,,,,,,,,,,,L1,7328298857464611610,感觉怎么样啊？呵呵^_^呵呵🙂点赞👍🏻👍🏻👍🏻,Wangjieabcde,3949865892317036,31,0,2024-01-26 15:02:25,海南,
19,7328196474980797715,,,,,,,,,,,,L1,7328260825755403060,节省劳动力，提高效率,高山流水遇知音,111192452562,45,0,2024-01-26 12:34:50,河北,
