序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7331985805612764470,造汽车这件事，中国有多牛！从无到有，从有到大，从大到强，中国“智造”汽车正加速驶向全球🔥 #绘说现代化,https://www.douyin.com/video/7331985805612764470,1707110997,64,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,8400,329,192,611729,199,video,,,,,,,,,
2,7331985805612764470,,,,,,,,,,,,L1,7356594639321203507,发展高科技是不败之地[得意],钰海,949628454584199,2,0,2024-04-11 21:04:27,山西,
3,7331985805612764470,,,,,,,,,,,,L1,7334270931932988210,30个左右的车 什么车有性价比，哥哥们，给推荐一下[感谢],木月,3320157846639694,1,1,2024-02-11 17:17:06,山东,
4,7331985805612764470,,,,,,,,,,,,L1,7332275444518241024,加油加油,用户8010847994398哈利,2260237918931943,2,0,2024-02-06 08:13:37,山东,
5,7331985805612764470,,,,,,,,,,,,L1,7332507097529402121,国产越来越牛，祝福祖国越来越强大[赞][赞][赞],清浅****,386668330747320,3,0,2024-02-06 23:12:30,四川,
6,7331985805612764470,,,,,,,,,,,,L1,7332893182123295540,现在的堵车堵的厉害，烦死了,用户7959815589853,1512550868191011,1,0,2024-02-08 00:10:46,海南,
7,7331985805612764470,,,,,,,,,,,,L1,7332311515141309203,中国制造业就是给力[赞][赞][赞][赞],伟健,98006592144,2,0,2024-02-06 10:33:33,上海,
8,7331985805612764470,,,,,,,,,,,,L1,7332636045613204251,只要努力打造百年品牌，中国制造一定会登顶世界。,尹树庭,2787974159809427,1,0,2024-02-07 07:32:55,湖南,
9,7331985805612764470,,,,,,,,,,,,L1,7331986339585753867,牛🐮,大杨啊（朋友圈）,105883749933,3,0,2024-02-05 13:31:43,河南,
10,7331985805612764470,,,,,,,,,,,,L1,7332717717008499467,这么多的汽车，卖到哪里去呢[捂脸],冰姐,4270124374173672,1,0,2024-02-07 12:49:49,湖北,
11,7331985805612764470,,,,,,,,,,,,L1,7332862519331472179,国产越来越牛，祖国越来越强大[赞][赞],，,2383394837631783,1,0,2024-02-07 22:11:43,广西,
12,7331985805612764470,,,,,,,,,,,,L1,7333695395300655887,奇瑞汽车亚洲销量第一,风雨人生,2940519599849359,0,0,2024-02-10 04:04:22,安徽,
13,7331985805612764470,,,,,,,,,,,,L1,7332128967933854500,希望新能源汽车先重视安全再考虑其他问题吧,厦门惠盈二手车（张小小张）,3145047143881648,2,0,2024-02-05 22:45:11,广东,
14,7331985805612764470,,,,,,,,,,,,L1,7332622014346609417,特别是国产车新能源汽车[赞][赞][赞],紫雨,311869035523117,0,0,2024-02-07 06:38:37,云南,
15,7331985805612764470,,,,,,,,,,,,L1,7334129568780272423,不错车子值得推荐,军子,2880341212923447,0,0,2024-02-11 08:08:35,河北,
16,7331985805612764470,,,,,,,,,,,,L1,7332876062547247908,国产的好喜欢,lag,814081615080520,0,0,2024-02-07 23:04:18,重庆,
17,7331985805612764470,,,,,,,,,,,,L1,7332247292156560180,国产车强大了,雷霆,220345805584264,2,0,2024-02-06 06:24:29,吉林,
