序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7339123744855641382,2024年春节档电影票房超80亿元、春节假期国内旅游出游4.74亿人次......一起感受中国式现代化的磅礴力量！ #绘说现代化,https://www.douyin.com/video/7339123744855641382,1708772912,61,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2968,139,79,213330,57,video,,,,,,,,,
2,7339123744855641382,,,,,,,,,,,,L1,7339151896224187176,要是  《年会不能停》 这个电影放在春节档，妥妥的票房第一,用户7857643945728,844875594471102,18,2,2024-02-24 20:57:44,四川,
3,7339123744855641382,,,,,,,,,,,,L1,7339547485893280546,热辣滚烫 真不值这个票房 太高了 年会不能停要是在春节档都比这好看的多多多多,红姐严选🔥¹⁶⁸,107669252266,9,3,2024-02-25 22:32:50,陕西,
4,7339123744855641382,,,,,,,,,,,,L1,7339143450807419711,我以为看错了，又回来看一眼，真的是人民网[捂脸],雪霜VS冰凌,14252803071,9,0,2024-02-24 20:24:55,山东,
5,7339123744855641382,,,,,,,,,,,,L1,7339124876970935078,整个2023年，中国电影票房超过了500亿，而今年春节档7天，就干了80个亿！[赞][赞][赞],秋哥,1200303445901598,6,0,2024-02-24 19:12:54,山西,
6,7339123744855641382,,,,,,,,,,,,L1,7339125708097192756,国泰民安，锦绣中国,梧桐@,66541832914,6,0,2024-02-24 19:16:07,河南,
7,7339123744855641382,,,,,,,,,,,,L1,7339141898910679823,一部没看的有没有,她,74969482411,6,0,2024-02-24 20:18:54,上海,
8,7339123744855641382,,,,,,,,,,,,L1,7339124945416766245,谁说没钱的，这都是哪来的[捂脸][捂脸][捂脸],家有仨宝,62278454161,5,0,2024-02-24 19:13:08,江苏,
9,7339123744855641382,,,,,,,,,,,,L1,7339124727787602742,熊出没！！！！[赞][赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],草莓冰糖葫芦吖,67961729052,2,0,2024-02-24 19:12:18,四川,
10,7339123744855641382,,,,,,,,,,,,L1,7339133491924517684,"赞经济

经济发展是保障
充满信心与希望
蓬勃发展潮浩荡
世界公认祖国强",abcd2222在路上,2911939270294504,2,0,2024-02-24 19:46:19,河南,
11,7339123744855641382,,,,,,,,,,,,L1,7339537459116901157,春节票房破百亿，代表着什么？？？,用户5799686488204,2667863701456211,2,0,2024-02-25 21:53:55,河北,
12,7339123744855641382,,,,,,,,,,,,L1,7339243543259136805,[赞][赞][赞][赞][赞],见言007-98,224741542342798,1,0,2024-02-25 02:53:41,浙江,
13,7339123744855641382,,,,,,,,,,,,L1,7339124374198682402,第一,CEO,110722239886,1,0,2024-02-24 19:10:55,陕西,
14,7339123744855641382,,,,,,,,,,,,L1,7342089180086911753,[玫瑰][玫瑰][玫瑰],又心、`,4204952025355839,1,0,2024-03-03 18:55:54,新疆,
15,7339123744855641382,,,,,,,,,,,,L1,7342089165440647962,[玫瑰][玫瑰][玫瑰],又心、`,4204952025355839,1,0,2024-03-03 18:55:51,新疆,
16,7339123744855641382,,,,,,,,,,,,L1,7339374056838726435,[鼓掌][鼓掌][鼓掌],用户1207164141735,123605420086910,1,0,2024-02-25 11:19:52,山西,
17,7339123744855641382,,,,,,,,,,,,L1,7340934205305783067,80亿[泣不成声]就几部电影，天啊这么多[暗中观察],谨言🐰new soul,95977560972,1,0,2024-02-29 16:14:00,陕西,
18,7339123744855641382,,,,,,,,,,,,L1,7339949574486065971,我贡献了[比心],微森妈妈,108226769887,1,0,2024-02-27 00:33:11,广东,
19,7339123744855641382,,,,,,,,,,,,L1,7339569763025273639,元宵节节气真热闹‘玩得开心红红火火虎虎生威[赞][赞][赞],芯语,2071129790883742,1,0,2024-02-25 23:59:20,广西,
20,7339123744855641382,,,,,,,,,,,,L1,7342089188676862729,[赞][赞][赞],又心、`,4204952025355839,1,0,2024-03-03 18:55:56,新疆,
21,7339123744855641382,,,,,,,,,,,,L1,7339210300602024745,这是表示中国电影要崛起啊[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],兄弟，你换台了吧！,93009446434,1,0,2024-02-25 00:44:25,北京,
22,7339123744855641382,,,,,,,,,,,,L1,7339137570699592498,非常好精彩[赞][赞],12,102999569453,1,0,2024-02-24 20:02:07,云南,
23,7339123744855641382,,,,,,,,,,,,L1,7339135393327383348,[鼓掌][爱心][爱心][爱心][爱心][爱心][爱心][爱心],五朵金花@,2533710649367991,1,0,2024-02-24 19:53:40,黑龙江,
