序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7341195278243925286,“进度条”不断刷新！给全世界一点中国高铁的震撼！#绘说现代化,https://www.douyin.com/video/7341195278243925286,1709255244,78,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,6239,353,299,378204,159,video,,,,,,,,,
2,7341195278243925286,,,,,,,,,,,,L1,7341196485142528768,中国速度[赞][赞][赞][赞],霞子,3196969130658957,0,1,2024-03-01 09:11:49,湖南,
3,7341195278243925286,,,,,,,,,,,,L1,7341198545318511401,中国速度YYDS[赞][赞][赞],是郑万万呀,4125821890208847,5,0,2024-03-01 09:19:49,福建,
4,7341195278243925286,,,,,,,,,,,,L1,7545805610269541139,@,月季,3702810270241933,0,0,2025-09-03 18:19:40,黑龙江,
5,7341195278243925286,,,,,,,,,,,,L1,7341598277425136438,祖国繁荣昌盛,阳阳的宝藏,96492448231,1,0,2024-03-02 11:10:58,河北,
6,7341195278243925286,,,,,,,,,,,,L1,7341198520269701923,中国高铁，穿越大地的巨龙。,abcd2222在路上,2911939270294504,3,0,2024-03-01 09:19:44,河南,
7,7341195278243925286,,,,,,,,,,,,L1,7342127853880083212,人民铁路为人民,济局西段,457849483575166,1,0,2024-03-03 21:25:57,山东,
8,7341195278243925286,,,,,,,,,,,,L1,7341253099359896370,世界之最我们大中国[赞][赞][赞],邻家莲子,460044094410909,2,0,2024-03-01 12:51:29,广东,
9,7341195278243925286,,,,,,,,,,,,L1,7341247075356984090,中国铁路，中国速度！为之骄傲！[赞][赞][赞],心善若水,61042475385,1,0,2024-03-01 12:28:06,湖南,
10,7341195278243925286,,,,,,,,,,,,L1,7351511993239372554,祝国家发展越来越快,王艳,2735173165130888,0,0,2024-03-29 04:21:44,山东,
11,7341195278243925286,,,,,,,,,,,,L1,7341600181630944035,坐车的人比例太低了吧！,廉颇老矣,9638691366,1,0,2024-03-02 11:18:22,山西,
12,7341195278243925286,,,,,,,,,,,,L1,7341236354015773479,我们国的铁路网太霸气了,收到,2744800583928800,0,0,2024-03-01 11:46:31,安徽,
13,7341195278243925286,,,,,,,,,,,,L1,7341215612016673587,中国高铁 全世界的亮点 振憾全世界[赞][赞][赞],玻璃姐姐,72002962783,6,0,2024-03-01 10:26:02,云南,
14,7341195278243925286,,,,,,,,,,,,L1,7341397581492421376,内蒙古高铁给加加速,Gᴇᴛ ʀɪᴄʜ,4270111788907309,0,0,2024-03-01 22:12:08,内蒙古,
15,7341195278243925286,,,,,,,,,,,,L1,7341250078935352127,祖国加油[爱心][爱心][爱心][爱心][爱心][爱心]爱你祖国[爱心][爱心][爱心][爱心][爱心][爱心],时光幻影,1051566154717784,1,0,2024-03-01 12:39:44,福建,
16,7341195278243925286,,,,,,,,,,,,L1,7341345090701771520,质量速度，还得是中国🇨🇳。,易宝百物精选,3705774533538364,0,0,2024-03-01 18:48:29,甘肃,
17,7341195278243925286,,,,,,,,,,,,L1,7341218426805437238,有开发就有污染破坏，希望国家能在开发的过程中保护好我们祖国的净土环境，实现可持续的双赢，加油中国[赞][赞][赞],二师兄（在越南）,3878707666099096,5,0,2024-03-01 10:36:57,越南,
18,7341195278243925286,,,,,,,,,,,,L1,7341220249495208723,世界公认的基建狂魔[耶],漩涡🌀的小幸运,62191333834,2,0,2024-03-01 10:44:05,广东,
19,7341195278243925286,,,,,,,,,,,,L1,7341220000856752933,中国基建狂魔[赞][赞],橘子书页,4108229459584206,1,0,2024-03-01 10:43:04,贵州,
20,7341195278243925286,,,,,,,,,,,,L1,7341212758204105483,好一个世界之最[赞][赞][赞],美淡淡,99408180525,0,0,2024-03-01 10:14:59,广东,
21,7341195278243925286,,,,,,,,,,,,L1,7341235932421604130,厉害了我的大中国[赞],熙妹妹,98047438763,0,0,2024-03-01 11:44:55,湖南,
22,7341195278243925286,,,,,,,,,,,,L1,7342199108595221259,[感谢][感谢][感谢][捂脸]中国🇨🇳,囍喜,86823643946,0,0,2024-03-04 02:02:45,江苏,
23,7341195278243925286,,,,,,,,,,,,L1,7341312109345358603,嫩江啥时候建高铁啊,凯歌.,101785433567,1,0,2024-03-01 16:40:32,黑龙江,
24,7341195278243925286,,,,,,,,,,,,L1,7342649117036741385,国家建设日新月异，社会发展气象万千！[鼓掌][鼓掌][鼓掌][鼓掌][赞][赞][赞][赞][赞][赞]！,老赵说史,2774759746047838,0,0,2024-03-05 07:08:47,河南,
25,7341195278243925286,,,,,,,,,,,,L1,7343061172713308968,祝福伟大的祖国繁荣昌盛国富民强,躺平小于,71129258393,0,0,2024-03-06 09:47:45,江苏,
26,7341195278243925286,,,,,,,,,,,,L1,7341206967698916107,祖国繁荣昌盛国泰民安🇨🇳🇨🇳🇨🇳[玫瑰][玫瑰][玫瑰],🌈宁🇨🇳,94801495413,0,0,2024-03-01 09:52:31,湖南,
27,7341195278243925286,,,,,,,,,,,,L1,7341200772073702144,我爱中国，中国更加繁荣昌盛！,嘻嘻哈哈一整天,1451827836762061,2,0,2024-03-01 09:28:27,山东,
28,7341195278243925286,,,,,,,,,,,,L1,7341205194644767538,中国高铁，世界第一,崛起东方黎明🇨🇳,84555776500,0,0,2024-03-01 09:45:37,河北,
29,7341195278243925286,,,,,,,,,,,,L1,7341203591095239462,要么说还是我中国最强[赞][赞][赞],爱本兮 爱生活,58276083432,1,0,2024-03-01 09:39:24,山东,
30,7341195278243925286,,,,,,,,,,,,L1,7341204056658182947,可惜江苏兴化市还没有高铁站,🌈2113感恩兄弟,585373606750616,1,0,2024-03-01 09:41:11,江苏,
31,7341195278243925286,,,,,,,,,,,,L1,7341199998987780927,祝中国繁荣昌盛[666][666][666],西风误,110172709817,0,0,2024-03-01 09:25:29,广东,
32,7341195278243925286,,,,,,,,,,,,L1,7341197935689253670,中国[赞][赞][赞],欣欣百货文具超市,106767492105,0,0,2024-03-01 09:17:26,四川,
33,7341195278243925286,,,,,,,,,,,,L1,7341200928539034368,高铁，这是最美的回家路啊!,abcd2222在路上,2911939270294504,1,0,2024-03-01 09:29:06,河南,
34,7341195278243925286,,,,,,,,,,,,L1,7341260339512345354,多搞点多搞点，我去上学都没有直达车[流泪][流泪]，每次都换乘好多次，经常半夜睡不了觉,哟哟运动科技鞋垫,1592549360802235,1,0,2024-03-01 13:19:34,安徽,
35,7341195278243925286,,,,,,,,,,,,L1,7341248074382164771,持续不断强基础，预示未来更威武。,123全,70920186499,0,0,2024-03-01 12:32:00,北京,
