序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,https://www.douyin.com/video/7349382897159163188,1711161562,93,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,26333,2580,3475,1533093,4467,video,,,,,,,,,
2,7349382897159163188,,,,,,,,,,,,L1,7349894150890357556,居然是人民网的作品，惊呆下巴，看了又看,草莓软糖,3021051404492180,221,0,2024-03-24 19:43:09,四川,
3,7349382897159163188,,,,,,,,,,,,L1,7349429765768839974,60后的文稿，70后劳作，90后编辑，00后技术支持，80后审稿。,2481亿美元,98566195092,248,1,2024-03-23 13:41:10,广西,
4,7349382897159163188,,,,,,,,,,,,L1,7349399570588467995,中国，农业大国，粮食重中之重，坚决反对进口转基因粮食。,天边,413024003295708,28,1,2024-03-23 11:43:57,河北,
5,7349382897159163188,,,,,,,,,,,,L1,7349866967103570740,"春种千山绿玉秋收万顷黄金",漓虹,3259405795605277,131,0,2024-03-24 17:57:42,广西,
6,7349382897159163188,,,,,,,,,,,,L1,7349860290039513890,这土地也太平了，好宽，好漂亮啊！我们这些种地东一块西一块的[捂脸],问心何悦,536203935876423,114,0,2024-03-24 17:31:47,广西,
7,7349382897159163188,,,,,,,,,,,,L1,7349792059391525672,春分时节快耕田。,大雨,99410324405,14,0,2024-03-24 13:06:59,甘肃,
8,7349382897159163188,,,,,,,,,,,,L1,7349880923045626687,祝愿我的祖国繁荣昌盛国泰民安风调雨顺五谷丰登[赞][赞][赞][比心][比心][比心],民❤️所思,100222824329,19,0,2024-03-24 18:51:49,广东,
9,7349382897159163188,,,,,,,,,,,,L1,7349398087196377882,我严重怀疑人民网小编换了个零零后，只是我没证据[泪奔][泪奔][泪奔][泪奔],半支烟🚬24.12.26,92968423753,378,1,2024-03-23 11:38:11,山东,
10,7349382897159163188,,,,,,,,,,,,L1,7349881966420017957,一年之计在于春，科技创新富民强国[赞],古德猫宁,1964142149246013,22,0,2024-03-24 18:55:51,浙江,
11,7349382897159163188,,,,,,,,,,,,L1,7349870159551578930,我们那边种粮一年四季没收入,灵魂之音,553747634719373,75,0,2024-03-24 18:10:04,江西,
12,7349382897159163188,,,,,,,,,,,,L1,7349884479630410533,"春种千山绿玉秋收万顷黄金",墨镜🕶️哥,102773832007,21,0,2024-03-24 19:05:37,四川,
13,7349382897159163188,,,,,,,,,,,,L1,7349774728855421730,告诉我这是哪个平原。,汪汪等5.5w人,64253920270,132,0,2024-03-24 11:59:45,四川,
14,7349382897159163188,,,,,,,,,,,,L1,7349856315966243638,做的好冲击力强,风一样的男子,884462424169581,16,0,2024-03-24 17:16:23,上海,
15,7349382897159163188,,,,,,,,,,,,L1,7349593294459290380,以前还有农业补贴如今种地都赔本，你们到乡下农村去看看吧大片土地荒芜着 跟你们完全是这是两个不同的景象！,༺ཌ瑶光上神ད༻,12667975492,14,1,2024-03-24 00:15:50,湖北,
16,7349382897159163188,,,,,,,,,,,,L1,7349445021608870694,人民网爱人民[呲牙],朵儿,98848564107,20,0,2024-03-23 14:40:18,湖南,
17,7349382897159163188,,,,,,,,,,,,L1,7349786125052003123,祝丰收[大笑][大笑][大笑][大笑][大笑],喵了个_咪咪咪的,60529465352,7,0,2024-03-24 12:43:59,广东,
18,7349382897159163188,,,,,,,,,,,,L1,7349873453711049487,"春种千山绿玉秋收万顷黄金",阳光老栾,2559318843996701,10,0,2024-03-24 18:22:51,辽宁,
19,7349382897159163188,,,,,,,,,,,,L1,7349880325197808447,一年好景在春耕，视频制作的还想再看下去。,上善若水zjj,725319838086568,60,0,2024-03-24 18:49:31,陕西,
20,7349382897159163188,,,,,,,,,,,,L1,7349760206378861312,又是一年春耕季[赞],💞菲儿💫,63011853925,9,0,2024-03-24 11:03:24,福建,
21,7349382897159163188,,,,,,,,,,,,L1,7349811258987168551,一斤粮食买不了一瓶水，每个人都要珍惜粮食,前哥,104709833081,20,0,2024-03-24 14:21:33,安徽,
22,7349382897159163188,,,,,,,,,,,,L1,7349831410071913256,调皮的人民网，人民喜欢[呲牙],愣神大侠,97729418042,134,0,2024-03-24 15:39:46,黑龙江,
23,7349382897159163188,,,,,,,,,,,,L1,7349486107359527707,在此郑重声明：人民网也挨00后拿下了[捂脸][捂脸][捂脸][捂脸],我把我唱给你听,3351732618003495,135,0,2024-03-23 17:19:47,广西,
24,7349382897159163188,,,,,,,,,,,,L1,7349776952902189824,只要不种转基因作物,西瓜樱桃荔枝,2148900454280243,9,0,2024-03-24 12:08:25,河北,
25,7349382897159163188,,,,,,,,,,,,L1,7349777433589138188,一年之计在于春，一日之计在于晨[赞],华仔优选,1068331598102228,8,0,2024-03-24 12:10:14,海南,
26,7349382897159163188,,,,,,,,,,,,L1,7349779667303760659,转基因产量高怎么还需要守什么红线？,笑看风云,3777518264125032,84,0,2024-03-24 12:18:54,河南,
27,7349382897159163188,,,,,,,,,,,,L1,7349782677275050767,这怀旧的音乐，这快闪的节奏，看来人民网进了新血液了[呲牙][呲牙][呲牙][呲牙][呲牙][呲牙][呲牙],小鱼不吐泡,95089978521,160,0,2024-03-24 12:30:37,重庆,
28,7349382897159163188,,,,,,,,,,,,L1,7349818940456305420,孤独的拖拉机[捂脸],温柔狼,4476817968467364,22,0,2024-03-24 14:51:21,江苏,
29,7349382897159163188,,,,,,,,,,,,L1,7349824451020751656,我们家都是人工做,居安爆✨,3485913552520067,19,0,2024-03-24 15:12:43,广西,
30,7349382897159163188,,,,,,,,,,,,L1,7349808501773075239,暗恋是一种礼貌，暗地里盖一座城堡[呲牙][呲牙],小味道,3302566821365719,13,0,2024-03-24 14:10:52,云南,
31,7349382897159163188,,,,,,,,,,,,L1,7349630988274156324,我们真的只爱种地,未来已来,92737804931,6,0,2024-03-24 02:42:18,陕西,
32,7349382897159163188,,,,,,,,,,,,L1,7349790950716637961,AI处理后，画面立马高大上[嘿哈]，满屏春天的味道,兮,3523253061303127,10,0,2024-03-24 13:02:43,广东,
33,7349382897159163188,,,,,,,,,,,,L1,7349575223790797594,这视频剪辑的真牛逼，我要是有这个手艺，我得横着走,月  亮,110024273373,4,0,2024-03-23 23:05:35,河北,
34,7349382897159163188,,,,,,,,,,,,L1,7349822985170486027,牢牢守住粮食安全底线，为国家[赞][赞][赞][赞],默默等待,1261894959894407,27,0,2024-03-24 15:07:03,黑龙江,
35,7349382897159163188,,,,,,,,,,,,L1,7349793146777830207,种粮能制富为啥农民兄弟都比工人老大哥穷？为啥呀？,🌈至尊宝🌈,111132821505,19,0,2024-03-24 13:11:13,山西,
36,7349382897159163188,,,,,,,,,,,,L1,7349414036474364707,看好口粮，不要种植转基因的[流泪][流泪][流泪],辉哥,862436683686200,10,0,2024-03-23 12:40:06,河北,
37,7349382897159163188,,,,,,,,,,,,L1,7359740790178186035,都去打工了都是谁在种地啊[泪奔],玲姐好物.,75637335281,12,1,2024-04-20 08:33:10,甘肃,
38,7349382897159163188,,,,,,,,,,,,L1,7359724674631549747,春耕生产壮观[给力][给力][给力][给力][给力],倾心❤️,103976391540,5,0,2024-04-20 07:30:41,内蒙古,
39,7349382897159163188,,,,,,,,,,,,L1,7359582162163909427,丶[微笑],小菡菡,1937819845003165,6,0,2024-04-19 22:17:36,贵州,
40,7349382897159163188,,,,,,,,,,,,L1,7351747021219676978,[赞][赞][赞],✨芋丸✨,110836999804,7,0,2024-03-29 19:33:15,广东,
41,7349382897159163188,,,,,,,,,,,,L1,7350278779476034338,[抱拳],烨坤,3531269357961502,4,0,2024-03-25 20:35:42,上海,
42,7349382897159163188,,,,,,,,,,,,L1,7350024073398731535,[赞][赞][赞],泾阳源文茯茶,85063624489,4,0,2024-03-25 04:07:42,陕西,
43,7349382897159163188,,,,,,,,,,,,L1,7349897514844455734,[赞][赞][赞][赞],点赞！老兄～,1860003008878519,14,0,2024-03-24 19:56:12,广东,
44,7349382897159163188,,,,,,,,,,,,L1,7349867421391586067,[赞][赞][赞],安安稳稳（拒绝私聊）,1460605263024664,18,0,2024-03-24 17:59:25,山东,
45,7349382897159163188,,,,,,,,,,,,L1,7349857312653263652,[赞][赞][赞][鼓掌][鼓掌][鼓掌][感谢][感谢][感谢],用户1860053901068红,3003518125880125,16,0,2024-03-24 17:20:12,新疆,
46,7349382897159163188,,,,,,,,,,,,L1,7349845960787510035,春回大地，万物复苏的季节。农民伯伯开始了一年的种植农作物，待到秋收后的喜悦。,一路向阳🇨🇳,86487148477,65,0,2024-03-24 16:36:12,山东,
47,7349382897159163188,,,,,,,,,,,,L1,7349845937282089778,[呲牙],白菜白,118398558168477,27,0,2024-03-24 16:36:04,新疆,
48,7349382897159163188,,,,,,,,,,,,L1,7349840793509610259,[赞][赞][赞][赞][赞][赞],用户3219035859145,111026564496,28,0,2024-03-24 16:16:09,甘肃,
49,7349382897159163188,,,,,,,,,,,,L1,7349840335634481956,[赞][赞][赞],波萝蜜,104102008901,26,0,2024-03-24 16:14:23,江苏,
50,7349382897159163188,,,,,,,,,,,,L1,7349837797824971554,[比心][比心][比心],佳美瓜子原料厂家-小影,1526556288094388,20,0,2024-03-24 16:04:32,吉林,
51,7349382897159163188,,,,,,,,,,,,L1,7349815084842517284,[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌],钟林峰2,111450823038,14,0,2024-03-24 14:36:25,甘肃,
52,7349382897159163188,,,,,,,,,,,,L1,7349831194881655578,刚抛完秧[看],Maktub,2805546531953997,27,0,2024-03-24 15:38:52,广西,
53,7349382897159163188,,,,,,,,,,,,L1,7349822658436940595,好喜欢这条视频[玫瑰][玫瑰][玫瑰],沐沐兔,103585254723,20,0,2024-03-24 15:05:43,河北,
