序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7352000334148963594,清明小长假你有出行计划吗？一起去看祖国大好河山，感受中国式现代化的磅礴力量！ #绘说现代化,https://www.douyin.com/video/7352000334148963594,1711770978,87,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,6767,181,138,393681,368,video,,,,,,,,,
2,7352000334148963594,,,,,,,,,,,,L1,7352288166521209650,哪里都想去,执念,77483134576,2,1,2024-03-31 06:33:16,四川,
3,7352000334148963594,,,,,,,,,,,,L1,7352034363688043304,我想去南方看花海,周周没烦恼,94530941528,2,0,2024-03-30 14:08:21,黑龙江,
4,7352000334148963594,,,,,,,,,,,,L1,7352005858417902347,三天假，补一天班，玩儿啥呀[泪奔],千年萬嵗🦁1117,67997637985,0,1,2024-03-30 12:17:43,江苏,
5,7352000334148963594,,,,,,,,,,,,L1,7352418169924993842,啊啊啊，道法老师的素材[呲牙],Guᴗu_oᥫᩣ,62780503917,2,3,2024-03-31 14:57:40,河南,
6,7352000334148963594,,,,,,,,,,,,L1,7352378729627665204,有啊，去三亚潜水[看],剑与月光,94385450051,3,3,2024-03-31 12:24:39,安徽,
7,7352000334148963594,,,,,,,,,,,,L1,7352435615655101199,吓死了，不敢坐,唏嘘的猪肉佬,58502456153,1,0,2024-03-31 16:05:22,广东,
8,7352000334148963594,,,,,,,,,,,,L1,7353313831454753548,摸摸陌陌,守候那皎白月光,106626444734,0,0,2024-04-03 00:53:29,福建,
9,7352000334148963594,,,,,,,,,,,,L1,7352360317387080487,什么时候放假？放几天？,阳阳的宝藏,96492448231,2,0,2024-03-31 11:13:09,河北,
10,7352000334148963594,,,,,,,,,,,,L1,7352522411411440435,00后认真了？[赞][赞][赞],大初和小宝,81406066482,2,0,2024-03-31 21:42:08,山东,
11,7352000334148963594,,,,,,,,,,,,L1,7352399114150642451,8天[笑哭]，我们8天[呲牙][笑哭],💭蛋炒饭🫧,479800656665128,2,1,2024-03-31 13:43:45,云南,
12,7352000334148963594,,,,,,,,,,,,L1,7352369817918210866,天天上班，哪有假[捂脸],蜗牛🎃,94745681508,3,0,2024-03-31 11:50:04,浙江,
13,7352000334148963594,,,,,,,,,,,,L1,7352405327449359158,有孩子没时间，三天假[捂脸]作业咋整,心静自然凉爽,60815780808,1,0,2024-03-31 14:07:50,山东,
14,7352000334148963594,,,,,,,,,,,,L1,7352192841337520935,美好生活[赞][赞][赞],芯语,2071129790883742,1,0,2024-03-31 00:23:22,广西,
15,7352000334148963594,,,,,,,,,,,,L1,7352018903819092747,其实我在想一个问题，我们看到这车与车之间的那个网状链接会不会就是大家所说的量子纠缠原理，把每一辆车或者是每一部手机看成是那个量子，那车与车或者是手机和手机之间的纠缠是不是就叫这所谓的量子纠缠原理了，也就是华为的一连万物万物互联一样连手机连车辆接家电和所有一切[呲牙][呲牙][呲牙],🇨🇳上上签🇨🇳,4328137145721102,0,0,2024-03-30 13:08:19,浙江,
16,7352000334148963594,,,,,,,,,,,,L1,7352423669761950475,放假了又要回来上班六天，玩的心里烦,XY,804469372620349,3,0,2024-03-31 15:19:01,湖北,
17,7352000334148963594,,,,,,,,,,,,L1,7352423587158541067,三天太短啦,XY,804469372620349,3,0,2024-03-31 15:18:41,湖北,
18,7352000334148963594,,,,,,,,,,,,L1,7352089116048409398,放三天假还要加班一天[尬笑][尬笑][尬笑],Treasure,109215603938,5,0,2024-03-30 17:40:48,湖南,
19,7352000334148963594,,,,,,,,,,,,L1,7352175904363447040,农民工  挣孩子学费   生活费最重要,田先生,108004625979,8,0,2024-03-30 23:17:32,河南,
20,7352000334148963594,,,,,,,,,,,,L1,7352298215611908879,这几年的交通确实发展好快[赞][赞][赞],瓜子铺,81533135110,2,0,2024-03-31 07:12:12,四川,
21,7352000334148963594,,,,,,,,,,,,L1,7352052810046931751,好好的我突然癌症了[流泪][流泪][流泪]每天都在战斗！这一路太难了！希望我还能重新站起来！,重生路上,60809506866,81,21,2024-03-30 15:19:52,重庆,
22,7352000334148963594,,,,,,,,,,,,L1,7352658197931639603,啥意思？只放一天假就成了小长假了？？[抠鼻][抠鼻][抠鼻],腐朽旳嗜好,105453473617,2,0,2024-04-01 06:29:10,四川,
23,7352000334148963594,,,,,,,,,,,,L1,7352001258649895689,没时间，本人全年无休[呲牙][呲牙][呲牙],苗苗好物,3875101487402606,3,0,2024-03-30 11:59:50,浙江,
24,7352000334148963594,,,,,,,,,,,,L1,7353052276028343051,两天假还补一天[微笑]出行,哎呀,3492466185216883,1,0,2024-04-02 07:58:21,山东,
25,7352000334148963594,,,,,,,,,,,,L1,7352688526423966514,中国式现代化是高质量发展的现代化,爱思考的橘子,893250601747310,1,0,2024-04-01 08:26:50,河南,
26,7352000334148963594,,,,,,,,,,,,L1,7352382133463630632,清明居然放假，我怎么不知道[泣不成声],乌鸦！,50887133827,2,0,2024-03-31 12:37:49,浙江,
27,7352000334148963594,,,,,,,,,,,,L1,7352069046705242906,在家好好睡觉,用户8021736634369,62746671634,2,0,2024-03-30 16:22:52,湖南,
28,7352000334148963594,,,,,,,,,,,,L1,7352002997997929225,周末补班，实际一天也没放啊,陌生小白,3109007144007691,0,2,2024-03-30 12:06:33,新疆,
29,7352000334148963594,,,,,,,,,,,,L1,7352065014583608099,主要，你这个视频，吓我一跳。。,古月.墨染~,109341223398,2,0,2024-03-30 16:07:17,云南,
30,7352000334148963594,,,,,,,,,,,,L1,7352035289773015827,放假三天，还要补上一天,ぉ司南,65862442103,1,8,2024-03-30 14:11:54,山东,
31,7352000334148963594,,,,,,,,,,,,L1,7352064057955205898,我还以为这飞机要飞出来了[大笑],钰海,949628454584199,2,0,2024-03-30 16:03:33,山西,
32,7352000334148963594,,,,,,,,,,,,L1,7355135280506372891,不行，本来从不要生气的体操进来，然后眼泪就没有停下过[流泪],菌子坦荡荡_(:з」∠)_,67812009111,0,0,2024-04-07 22:41:24,四川,
33,7352000334148963594,,,,,,,,,,,,L1,7352090471534396196,现代化中国[赞],灿烂剧场,61735707904,1,0,2024-03-30 17:46:03,湖北,
34,7352000334148963594,,,,,,,,,,,,L1,7352778954262004506,中国🇨🇳万岁[鼓掌][鼓掌][玫瑰][玫瑰][玫瑰],小⑨⑨,80592927274,1,0,2024-04-01 14:17:40,福建,
35,7352000334148963594,,,,,,,,,,,,L1,7352318060994265896,没有假期过年都天天上班,周同学,63342141563,1,0,2024-03-31 08:29:11,甘肃,
36,7352000334148963594,,,,,,,,,,,,L1,7352059524180149001,我虽然放假了，但是我的钱包比我放假的更早[灵机一动],三 冬 四 夏,104507599401,1,0,2024-03-30 15:45:56,安徽,
37,7352000334148963594,,,,,,,,,,,,L1,7352032284768027433,从过年到现在还没挣一分钱，工作也没有,豫见你，是缘,62740663441,2,0,2024-03-30 14:00:15,浙江,
