序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7367940261797760291,2023年我国授权发明专利92.1万件✌️专利变“红利”，创新发展有动力！#绘说现代化,https://www.douyin.com/video/7367940261797760291,1715482283,85,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,24100,3546,4905,1596480,12,video,,,,,,,,,
2,7367940261797760291,,,,,,,,,,,,L1,7368305434438877967,唯有足够强大，整个世界才会予以认可，倘若自身不够强大，即便拥有数以千万计的专利，也难以获得承认。而专利越多，便越能表明祖国科技发展的迅猛态势，越能给人民带来福祉[赞][赞][赞][赞][赞][赞][赞][赞],大尚麻麻,4303961646972244,16,0,2024-05-13 10:28:24,河南,
3,7367940261797760291,,,,,,,,,,,,L1,7368303248019292968,加强科技创新，为那些默默奉献的科技人员点赞[赞],用户9873699186480,4143395413434541,5,0,2024-05-13 10:19:54,广东,
4,7367940261797760291,,,,,,,,,,,,L1,7368304019326976818,历害了我的祖国,阿朱@我,110413096723,6,0,2024-05-13 10:22:52,湖南,
5,7367940261797760291,,,,,,,,,,,,L1,7368301063889306407,加强科技创新,赵小白,111039531457,6,0,2024-05-13 10:11:22,江苏,
6,7367940261797760291,,,,,,,,,,,,L1,7368278039359406886,科技兴国，科技强国，科技的力量是伟大的，伟大了我的祖国，作为中国人我骄傲我自豪,如霞,853672947095293,6,0,2024-05-13 08:42:04,山西,
7,7367940261797760291,,,,,,,,,,,,L1,7368285868455707455,都是中国的骄傲,ZJQNSZHD,1550763532754812,8,0,2024-05-13 09:12:28,湖北,
8,7367940261797760291,,,,,,,,,,,,L1,7368295981170295604,为伟大的祖国加油[赞][赞][赞],若禹,3091418078252030,7,0,2024-05-13 09:51:44,四川,
9,7367940261797760291,,,,,,,,,,,,L1,7368318198436315938,作为专利代理人，感到非常高兴[赞][赞],绿叶,4058985143214862,4,0,2024-05-13 11:17:55,重庆,
10,7367940261797760291,,,,,,,,,,,,L1,7375184974654391076,[赞][赞][赞],纪香,483393057334653,0,0,2024-05-31 23:24:31,甘肃,
11,7367940261797760291,,,,,,,,,,,,L1,7368309353693102911,[赞][赞][赞][赞][赞][赞][赞][赞],子宁,3298979417955928,2,0,2024-05-13 10:43:38,山西,
12,7367940261797760291,,,,,,,,,,,,L1,7368282717824107275,我最佩服我们中国人，最聪明,美妙青丝,52421929514,0,0,2024-05-13 09:00:15,河北,
13,7367940261797760291,,,,,,,,,,,,L1,7368325387640652553,专利国家，不为身谋,溪溪好物,60647467231,0,0,2024-05-13 11:45:49,山东,
