序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7372772681235647780,向新而行！在辽宁，感受中国式现代化的磅礴力量🔥#行进看中国 #绘说现代化,https://www.douyin.com/video/7372772681235647780,1716607423,76,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4965,185,188,276386,155,video,,,,,,,,,
2,7372772681235647780,,,,,,,,,,,,L1,7372781066601366312,辽宁！想去玩！,一个让人打开心扉的地方👮‍♀️,3683797772535113,3,1,2024-05-25 11:56:04,江苏,
3,7372772681235647780,,,,,,,,,,,,L1,7372773978286621480,共和国长子，温和谦逊，发展创新[大笑][大笑][大笑][大笑],东邦垚垚,2418525172142172,32,1,2024-05-25 11:28:35,辽宁,
4,7372772681235647780,,,,,,,,,,,,L1,7372859091388990244,怎么不想我们江苏[舔屏][舔屏][舔屏][舔屏],limei梅,60619198658,3,2,2024-05-25 16:58:51,江苏,
5,7372772681235647780,,,,,,,,,,,,L1,7372773853451895592,辽宁，人民网就帮你到这儿了,雨中的Angela,109977435193,15,0,2024-05-25 11:28:06,江苏,
6,7372772681235647780,,,,,,,,,,,,L1,7372774335624446755,这是人民网吗？[比心][比心][比心]祝辽宁从此腾飞,六一@小七,98682016614,23,0,2024-05-25 11:29:58,辽宁,
7,7372772681235647780,,,,,,,,,,,,L1,7373330134726279977,祝山西大愿做得更好,芯语,2071129790883742,0,0,2024-05-26 23:26:46,广西,
8,7372772681235647780,,,,,,,,,,,,L1,7372773620387332914,第一，国家复兴,ネオン霓裳,72593694466,4,0,2024-05-25 11:27:13,四川,
9,7372772681235647780,,,,,,,,,,,,L1,7372792166542279459,怕龙舟🛶不行[尬笑],灭鼠英雄bb🐶,58933267289,5,2,2024-05-25 12:39:11,广东,
10,7372772681235647780,,,,,,,,,,,,L1,7373632600932778767,作为辽宁人真没感觉到振兴,混沌,81579826851,0,0,2024-05-27 19:00:31,辽宁,
11,7372772681235647780,,,,,,,,,,,,L1,7507606660422026044,@,江白,1085956326693284,0,0,2025-05-23 19:48:14,辽宁,
12,7372772681235647780,,,,,,,,,,,,L1,7376177428593476379,@[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],饶素琼,1319009191991448,0,0,2024-06-03 15:35:44,四川,
13,7372772681235647780,,,,,,,,,,,,L1,7379212539538440971,[赞][赞][赞],《汇金驾校招生》艳阳高照,3100278094306555,0,0,2024-06-11 19:53:29,黑龙江,
14,7372772681235647780,,,,,,,,,,,,L1,7373510394902692620,[赞][赞][赞],祝福明天，你好,4041436927109047,0,0,2024-05-27 11:06:18,山东,
15,7372772681235647780,,,,,,,,,,,,L1,7374698053272355623,辽宁振兴在路上，未来可期，砥砺前行，共创美好未来！,做一个简单的普通人,3320142394299229,0,0,2024-05-30 15:55:01,辽宁,
16,7372772681235647780,,,,,,,,,,,,L1,7373672669784572710,东北的机遇还需要等十年左右,欣南向北,83269855475,0,0,2024-05-27 21:35:56,江苏,
17,7372772681235647780,,,,,,,,,,,,L1,7373189656966005556,来“辽”一“辽”啊！[灵机一动][调皮],落日橘子糖🍊🍬,100715992564,1,0,2024-05-26 14:21:38,辽宁,
18,7372772681235647780,,,,,,,,,,,,L1,7372814552172512015,人民网终于想起辽宁咯[捂脸],夜听风雨,102840922403,3,0,2024-05-25 14:06:05,天津,
19,7372772681235647780,,,,,,,,,,,,L1,7373210395719648041,东北振兴加油！人工智能由东北突破[给力],小红粉,101072124789,0,0,2024-05-26 15:42:10,广东,
20,7372772681235647780,,,,,,,,,,,,L1,7373129978899251980,世上只有妈妈好,黑呦呦,2312988555751102,0,0,2024-05-26 10:30:04,江苏,
21,7372772681235647780,,,,,,,,,,,,L1,7373083908965204774,我爱辽宁，我爱大连，从此辽宁飞黄腾达[赞][赞][赞][赞][赞][赞][赞][赞],平安就好,1424585261056536,0,0,2024-05-26 07:31:17,湖北,
22,7372772681235647780,,,,,,,,,,,,L1,7373107198879154979,辽宁,阳阳好物,1820439205131607,0,0,2024-05-26 09:01:42,河北,
23,7372772681235647780,,,,,,,,,,,,L1,7373111701245543222,以后都不用人工作了！科技时代是不是工作不好找了呀？,糖糖吖～,85591423939,0,0,2024-05-26 09:19:07,河南,
24,7372772681235647780,,,,,,,,,,,,L1,7377213151207916288,[看][看][看],平平,109996290680,0,0,2024-06-06 10:34:54,安徽,
25,7372772681235647780,,,,,,,,,,,,L1,7372796077123453750,[送心][抱抱你][抱抱你][舔屏][舔屏][舔屏][舔屏][舔屏][舔屏][舔屏][流泪][流泪][流泪][捂脸][捂脸][捂脸][捂脸],@命运,822044265809022,0,1,2024-05-25 12:54:23,安徽,
26,7372772681235647780,,,,,,,,,,,,L1,7374909272902189833,[666][666][666][感谢][感谢][感谢],美美哒,940836984727613,0,0,2024-05-31 05:34:47,北京,
27,7372772681235647780,,,,,,,,,,,,L1,7372980927406916352,东北营商环境好了吗？,用户7848640184057,3609065829183628,1,0,2024-05-26 00:51:48,浙江,
28,7372772681235647780,,,,,,,,,,,,L1,7372899336369586996,需要智能化,绿水青山——山清水秀,85635403382,0,0,2024-05-25 19:35:02,吉林,
29,7372772681235647780,,,,,,,,,,,,L1,7372778375217283881,加油辽 加油大中华,零七年的天空,109074853997,3,0,2024-05-25 11:45:39,江苏,
30,7372772681235647780,,,,,,,,,,,,L1,7374943133618963234,重工业,孤舟,110623242685,0,0,2024-05-31 07:46:06,云南,
31,7372772681235647780,,,,,,,,,,,,L1,7374177428619592463,为向新而行的工业科技点赞！[赞][赞][赞],大太子生活仓,48799846510094,0,0,2024-05-29 06:14:50,安徽,
32,7372772681235647780,,,,,,,,,,,,L1,7372900621239714623,辽宁省未来更美好[赞][玫瑰],英雄记,106609542024,0,0,2024-05-25 19:40:00,贵州,
33,7372772681235647780,,,,,,,,,,,,L1,7375388064006882075,一,二楼,627202286683968,0,0,2024-06-01 12:32:33,云南,
34,7372772681235647780,,,,,,,,,,,,L1,7380200892950184730,[赞][赞][玫瑰],幸福一生一世,2779181539656368,0,0,2024-06-14 11:48:49,湖南,
35,7372772681235647780,,,,,,,,,,,,L1,7376079290758284071,[赞][赞][赞][发怒][发怒][发怒][玫瑰][玫瑰][玫瑰],江运芳,2867168593587583,0,0,2024-06-03 09:14:53,江西,
36,7372772681235647780,,,,,,,,,,,,L1,7375296010773906230,大城市就是好[赞][赞][赞],刘哥,105224815655,0,0,2024-06-01 06:35:25,四川,
37,7372772681235647780,,,,,,,,,,,,L1,7372849529240093481,[大金牙][大金牙][大金牙][大金牙][大金牙][大金牙][大金牙][大金牙][大金牙][大金牙][大金牙][大金牙][偷笑][大金牙][大金牙][疑问][疑问][疑问][疑问][疑问][疑问][疑问][疑问][疑问][疑问][泣不成声][疑问][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声],盛夏,3962284882537668,0,0,2024-05-25 16:21:46,湖南,
38,7372772681235647780,,,,,,,,,,,,L1,7375664292388340499,[赞][赞][赞][一起加油][一起加油][一起加油][一起加油][一起加油][一起加油],江运芳,2867168593587583,0,0,2024-06-02 06:24:37,江西,
39,7372772681235647780,,,,,,,,,,,,L1,7372884328596210482,＊,JQK  erase that quot,81349848624,0,0,2024-05-25 18:36:48,河北,
40,7372772681235647780,,,,,,,,,,,,L1,7372801254538117939,我辽老大雄起！！！[赞],肖大猫儿（奶牛版）,4375648174346840,2,0,2024-05-25 13:14:26,新疆,
41,7372772681235647780,,,,,,,,,,,,L1,7372828030139433728,榜上有名三年功，未来也在优秀中。,123全,70920186499,0,0,2024-05-25 14:58:20,北京,
42,7372772681235647780,,,,,,,,,,,,L1,7372841119749899044,辽宁雄起,凡夫俗子,81392480682,0,0,2024-05-25 15:49:11,山东,
43,7372772681235647780,,,,,,,,,,,,L1,7372785013228290851,@祝辽宁科技创新发展新句面？加油加油，祝伟大的祖国国强民富！奔回二零零五年共创辉煌！[赞][赞][赞][赞][拳头][拳头][拳头][拳头][一起加油][鼓掌][鼓掌][鼓掌][爱心][爱心],风雨阿姨,1913630496938814,1,0,2024-05-25 12:11:25,四川,
44,7372772681235647780,,,,,,,,,,,,L1,7372975532454019879,人新而行，向阳而生[赞][赞][赞][赞][赞],吕燕,1736860468518056,0,0,2024-05-26 00:30:51,浙江,
45,7372772681235647780,,,,,,,,,,,,L1,7372854706559501094,[赞][赞][赞],季子花,111473611737,0,0,2024-05-25 16:41:52,浙江,
46,7372772681235647780,,,,,,,,,,,,L1,7373719191038591795,[赞][赞][赞],坚持未来，,2255844317335971,0,0,2024-05-28 00:36:39,江苏,
47,7372772681235647780,,,,,,,,,,,,L1,7375664272996746023,[赞][赞][赞][一起加油][一起加油][一起加油][一起加油][玫瑰][玫瑰],江运芳,2867168593587583,0,0,2024-06-02 06:24:27,江西,
48,7372772681235647780,,,,,,,,,,,,L1,7372797174273196837,我爱辽宁，我爱大连[赞][赞][赞][赞]！,美美929,2858367655093469,1,0,2024-05-25 12:58:36,辽宁,
49,7372772681235647780,,,,,,,,,,,,L1,7372793261355811594,下次希望能在人民网刷到有关我们大湖南的发展与实力[赞][赞][赞],👑盈公主👑(励志版),104684376798,5,0,2024-05-25 12:43:24,湖南,
50,7372772681235647780,,,,,,,,,,,,L1,7372801481459090187,大国实力，蓬勃发展[赞][赞],爱笑的大可乐,103569017584,0,0,2024-05-25 13:15:20,广西,
51,7372772681235647780,,,,,,,,,,,,L1,7372795119492350756,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],明心（法华楞严）,65275169411,0,0,2024-05-25 12:50:39,河南,
52,7372772681235647780,,,,,,,,,,,,L1,7373619710778147594,[666][666][666],祥和大顺,104498952997,0,0,2024-05-27 18:10:26,广西,
53,7372772681235647780,,,,,,,,,,,,L1,7372803224112071463,辽宁加油[赞][玫瑰],英雄记,106609542024,0,0,2024-05-25 13:22:06,贵州,
54,7372772681235647780,,,,,,,,,,,,L1,7373332631091954467,[赞][赞][赞],彭仓起,62574611354,0,0,2024-05-26 23:36:29,IP未知,
55,7372772681235647780,,,,,,,,,,,,L1,7373123089498309386,这是人民网今天00后值班[捂脸],胖妞觅食,85052582684,0,0,2024-05-26 10:03:19,广西,
56,7372772681235647780,,,,,,,,,,,,L1,7372808223190303527,[赞][赞][赞][赞][赞],α二杨,97574564576,0,0,2024-05-25 13:41:32,陕西,
57,7372772681235647780,,,,,,,,,,,,L2,7372872664869765898,欢迎👏🏻,阿Jan.,93270460808,0,0,2024-05-25 17:51:31,辽宁,
58,7372772681235647780,,,,,,,,,,,,L2,7373256858566345507,我信了,可喜可贺儿,77064320051,0,0,2024-05-26 18:42:26,河北,
59,7372772681235647780,,,,,,,,,,,,L1,7372791395767386889,[赞][赞][赞][赞][赞][赞][赞][赞],哈利,360267683991134,0,0,2024-05-25 12:36:09,北京,
60,7372772681235647780,,,,,,,,,,,,L1,7372791191195337523,[赞][赞][赞],龔,152167391435369,0,0,2024-05-25 12:35:24,重庆,
61,7372772681235647780,,,,,,,,,,,,L1,7375289657469092662,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,0,0,2024-06-01 06:10:49,江西,
62,7372772681235647780,,,,,,,,,,,,L1,7372785729389183794,我们辽宁好地方！[赞][赞][赞][鞭炮][鞭炮][鞭炮],小宁,109593077586,0,0,2024-05-25 12:14:11,辽宁,
63,7372772681235647780,,,,,,,,,,,,L1,7372776430361363234,我们大辽宁加油，我是山西长治人[感谢][感谢][感谢][感谢][感谢][感谢][感谢][感谢][感谢],爱生活,102363726322,2,0,2024-05-25 11:38:08,山西,
64,7372772681235647780,,,,,,,,,,,,L1,7372792793952240399,好巧不巧，我有这个bgm音乐[害羞],意林,93114666958,0,0,2024-05-25 12:41:38,河南,
65,7372772681235647780,,,,,,,,,,,,L1,7372784655337505536,🥣,艾薇,628574475792686,0,0,2024-05-25 12:10:03,河南,
66,7372772681235647780,,,,,,,,,,,,L1,7372780505743311656,[赞][赞][赞],🌈🌈🌈龙芯,97014006780,0,0,2024-05-25 11:53:54,安徽,
67,7372772681235647780,,,,,,,,,,,,L1,7372859764123173671,@[赞][赞][赞],Se,4262162014682424,0,0,2024-05-25 17:01:31,河南,
