序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7378297412256812322,去年新增1500多家国家级高新技术企业！河北向新而行，为中国式现代化贡献品牌力量！#绘说现代化,https://www.douyin.com/video/7378297412256812322,1717893748,56,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,7815,257,194,588554,148,video,,,,,,,,,
2,7378297412256812322,,,,,,,,,,,,L1,7378435933815309097,日本学校有增加吗？,贵港R,726097995779213,3,1,2024-06-09 17:39:52,广东,
3,7378297412256812322,,,,,,,,,,,,L1,7378302504796439348,我的天，这泼天的富贵，终于轮到我们河北了吗？[泣不成声][泣不成声][泣不成声],ooaa,3960897080397683,37,7,2024-06-09 09:02:06,河北,
4,7378297412256812322,,,,,,,,,,,,L1,7378668792278156083,光伏厂快倒闭了，快救救,N,1678281394625722,2,1,2024-06-10 08:43:27,江苏,
5,7378297412256812322,,,,,,,,,,,,L1,7378343244789728040,光伏发电在山上装有啥好处,滴滴好物,104839979317,3,2,2024-06-09 11:40:14,广西,
6,7378297412256812322,,,,,,,,,,,,L1,7378332653123502885,我们大河北都上人民网了，这视频传到哪儿了？,李不准不笑（橱窗有好物）,108916451855,2,2,2024-06-09 10:59:07,天津,
7,7378297412256812322,,,,,,,,,,,,L1,7380677862212584207,装这么多太阳能板对环境会不会有影响,天道好轮回，苍天饶过谁,1068327002970748,0,0,2024-06-15 18:39:42,IP未知,
8,7378297412256812322,,,,,,,,,,,,L1,7378300456571880244,光伏发电站[赞],🌈   空白格,86663614453,4,2,2024-06-09 08:54:11,山东,
9,7378297412256812322,,,,,,,,,,,,L1,7380706257701471026,[赞][比心][爱心][耶][灵机一动][玫瑰][来看我][互粉][憨笑],Z0个朋友我回放给她看确认杨们,103074201576,0,0,2024-06-15 20:29:52,贵州,
10,7378297412256812322,,,,,,,,,,,,L1,7378329449769337636,马上要停蒸汽到月底，又干不成活了。咱也不知道为啥每月都停[捂脸][捂脸][捂脸],cjx,81352385672,0,1,2024-06-09 10:46:40,河北,
11,7378297412256812322,,,,,,,,,,,,L1,7378374365845046056,好像[捂脸]这1500是不是1400都是雄安新区,Simon,81541961789,2,2,2024-06-09 13:40:58,广东,
