序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7380899170124565795,累计开行突破90000列！飞驰吧，中欧班列～ #绘说现代化,https://www.douyin.com/video/7380899170124565795,1718499516,78,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,5555,290,471,392398,112,video,,,,,,,,,
2,7380899170124565795,,,,,,,,,,,,L1,7381393343684772646,俄乌战争没有影响到中欧班列吗？,道法自然,102297237076,0,1,2024-06-17 16:56:07,青海,
3,7380899170124565795,,,,,,,,,,,,L1,7380900360464139043,国家战略十多年前就想到了这天！国家智囊团是世界之最。太强了,放开那萌比,3965279599599881,25,1,2024-06-16 09:03:06,江苏,
4,7380899170124565795,,,,,,,,,,,,L1,7380944236374737690,中国政府探索发展陆权的前詹性，战略性，世界互联互通和平发展的典范[赞][赞][赞][赞][赞][赞],随缘,110529409997,5,0,2024-06-16 11:53:22,福建,
5,7380899170124565795,,,,,,,,,,,,L1,7380900322766422822,祖国万岁！祖国加油[比心][比心][比心],桐言,2752833000573336,5,0,2024-06-16 09:02:59,北京,
6,7380899170124565795,,,,,,,,,,,,L1,7380900696177115942,中国速度！[赞][赞][赞],谁会凭栏意,87550358720360,2,0,2024-06-16 09:04:26,浙江,
7,7380899170124565795,,,,,,,,,,,,L1,7550449547912545034,@,"^,,",3660739004861139,0,0,2025-09-16 06:40:32,陕西,
8,7380899170124565795,,,,,,,,,,,,L1,7384563015998112566,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,0,0,2024-06-26 05:56:12,江西,
9,7380899170124565795,,,,,,,,,,,,L1,7381319804354085641,❤️山河无恙，国富民强。大中国威武,脸food流油,1673935085379112,1,0,2024-06-17 12:10:46,广西,
10,7380899170124565795,,,,,,,,,,,,L1,7380908601684591360,连接世界的一条纽带，中国人的智慧值得称赞[赞][赞][赞],林妹妹,292926256316779,6,0,2024-06-16 09:35:05,重庆,
11,7380899170124565795,,,,,,,,,,,,L1,7380901547310301993,有伟大强盛的祖国做后盾，去哪里都安全。,@木木记,89638490542,7,0,2024-06-16 09:07:44,广西,
12,7380899170124565795,,,,,,,,,,,,L1,7381205973229585188,中欧班列震撼全世界[赞],夏天的微风,103599533412,0,0,2024-06-17 04:49:30,浙江,
13,7380899170124565795,,,,,,,,,,,,L1,7381137442257142568,[给力]🇨🇳[赞][赞][赞][赞][赞][赞],独来独往谁谁懂我的心！,102744504499,0,0,2024-06-17 00:23:12,新疆,
14,7380899170124565795,,,,,,,,,,,,L1,7382330777507431206,连接世界的神奇铁路，祖国威武[赞][666][666][666],柠檬影视,2124726619605147,0,0,2024-06-20 05:33:57,日本,
