序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7382852856467967243,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运载千秋  #盛世中华何以中国  #绘说现代化,https://www.douyin.com/video/7382852856467967243,1718954390,71,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,95933,6862,8621,2856309,12178,video,,,,,,,,,
2,7382852856467967243,,,,,,,,,,,,L1,7383021671269761804,京杭大运河始建于隋朝，中国古人的智慧，中华民族的奇迹[赞][赞][赞],多星官方旗舰店,3650798995648174,1720,0,2024-06-22 02:15:11,山东,
3,7382852856467967243,,,,,,,,,,,,L1,7509661741665469243,想拿[爱心][爱心][爱心][玫瑰][玫瑰][玫瑰][可怜][可怜][可怜][可怜],沐财视界,2736058080170254,1,0,2025-05-29 08:43:01,广西,
4,7382852856467967243,,,,,,,,,,,,L1,7382902603660673828,南通州北通州南北通州通南北，本人有幸去过北通州，在运河起点玩过。[抱拳][抱拳][抱拳],那年的夏天,106001449123,48,0,2024-06-21 18:32:47,浙江,
5,7382852856467967243,,,,,,,,,,,,L1,7382897828962272037,秦朝和隋朝虽然是两个短命的朝代，但功绩胜过所有朝代,留住美好的瞬间,104643474067,607,2,2024-06-21 18:14:18,广东,
6,7382852856467967243,,,,,,,,,,,,L1,7382856230124389129,中华文化，博大精深，源远流长，潜移默化，深远持久！[赞][赞][赞],星河入梦,163189159377422,207,1,2024-06-21 15:32:54,浙江,
7,7382852856467967243,,,,,,,,,,,,L1,7382861681566008076,运味十足的中华文化，是我们祖先做出的世界贡献。,路人,281119593888984,42,0,2024-06-21 15:54:04,重庆,
8,7382852856467967243,,,,,,,,,,,,L1,7382900818561647423,我大聊城,阴天快乐,2080701329189064,27,0,2024-06-21 18:25:55,山东,
9,7382852856467967243,,,,,,,,,,,,L1,7382881631834899240,长城  坎儿井  大运河  三大奇迹,荒,20624143323,558,3,2024-06-21 17:11:27,陕西,
10,7382852856467967243,,,,,,,,,,,,L1,7382855099771437858,这就是泱泱中华的智慧[赞][赞][赞],I wish…💋👠,61237554277,40,0,2024-06-21 15:28:31,陕西,
11,7382852856467967243,,,,,,,,,,,,L1,7382914010401735434,好壮观[赞][赞],@吃货菜菜,96944292253,35,0,2024-06-21 19:17:04,广东,
12,7382852856467967243,,,,,,,,,,,,L1,7382869517929677620,大运河，气势磅礴[比心][比心][比心],秋小旭,21979873925,56,0,2024-06-21 16:24:26,广东,
13,7382852856467967243,,,,,,,,,,,,L1,7382901368762581795,大运河都到了那几个省,木枝,698916795581452,30,0,2024-06-21 18:28:04,四川,
14,7382852856467967243,,,,,,,,,,,,L1,7382856860947497747,为我们中国骄傲[舔屏],你没事吧,306104940892667,13,0,2024-06-21 15:35:22,湖南,
15,7382852856467967243,,,,,,,,,,,,L1,7382900208079946507,古代运输以水运为主，小河大河都用上了。[赞][赞][赞][鼓掌][鼓掌][鼓掌],"""水之源″",4111794664120573,23,0,2024-06-21 18:23:32,云南,
16,7382852856467967243,,,,,,,,,,,,L1,7382856240068985634,大运河，不仅是水流的长河，更是历史的史诗，文化的宝藏，值得我们去珍视与传承。[比心][比心][比心],柚子熟了,60926392807,278,0,2024-06-21 15:32:58,辽宁,
17,7382852856467967243,,,,,,,,,,,,L1,7382900616672101147,新世纪，平陆大运河,ABCD.,716512082006749,26,0,2024-06-21 18:25:05,广西,
18,7382852856467967243,,,,,,,,,,,,L1,7382910964284343055,就说老祖宗牛不牛[送心][送心][送心],点点,109258583563,37,0,2024-06-21 19:05:16,河北,
19,7382852856467967243,,,,,,,,,,,,L1,7382914924555289383,不是南京到杭州吗,用户139978928,1860020724306920,37,0,2024-06-21 19:20:37,湖南,
20,7382852856467967243,,,,,,,,,,,,L1,7382889747284443967,京杭大运河的核心在隋唐时期是洛阳吧,向-南,102908402258,64,0,2024-06-21 17:42:56,广东,
21,7382852856467967243,,,,,,,,,,,,L1,7382885674183590690,得感谢我们的祖先[鼓掌][鼓掌][鼓掌],懵懂的爱情,99621139727,20,0,2024-06-21 17:27:08,安徽,
22,7382852856467967243,,,,,,,,,,,,L1,7382860694910124854,大运河，中国人开创的奇迹[赞][赞][赞],用户7189911385918,2906758557733435,22,0,2024-06-21 15:50:14,广东,
23,7382852856467967243,,,,,,,,,,,,L1,7382874178979939084,京杭大运河？通航了？,小宝汉服店,3865525904220756,9,1,2024-06-21 16:42:31,河北,
24,7382852856467967243,,,,,,,,,,,,L1,7382859891361219366,中华民族兴旺发达[赞][赞][赞],昕冉,96353969508156,13,0,2024-06-21 15:47:07,山东,
25,7382852856467967243,,,,,,,,,,,,L1,7382861408621380367,一条大运河，半部华夏史。,胡少鹰,97904403019,390,0,2024-06-21 15:53:00,辽宁,
26,7382852856467967243,,,,,,,,,,,,L1,7382858251425858319,大运河，中国人开创的奇迹[赞][赞][赞],徒步者,68195425696,105,0,2024-06-21 15:40:44,四川,
27,7382852856467967243,,,,,,,,,,,,L1,7382876327327679269,大运河，不仅是水流的长河，更是历史的史诗，文化的宝藏，值得我们去珍视与传承。[比心][比心][比心],江苏大姐,2101873196151156,44,0,2024-06-21 16:50:50,江苏,
28,7382852856467967243,,,,,,,,,,,,L1,7382861258787177243,"延安精神，永远绽放！
点击头像进入商品橱窗下单购买吧亲[比心][比心][比心]",三只猫网络好物分享,58593168009,11,0,2024-06-21 15:52:22,安徽,
29,7382852856467967243,,,,,,,,,,,,L1,7382855712106496795,中华文化博大精深[kisskiss][kisskiss][kisskiss],AD 钙超好喝,1591701528386827,10,0,2024-06-21 15:30:54,福建,
30,7382852856467967243,,,,,,,,,,,,L1,7382864573633692455,中华文化，博大精深，源远流长，潜移默化，深远持久！[赞][赞][赞][赞][赞],ZM186,3558457635242286,18,0,2024-06-21 16:05:15,浙江,
31,7382852856467967243,,,,,,,,,,,,L1,7382887854894875431,我家就在运河边,悠然见南山,95077269945,18,0,2024-06-21 17:35:38,江苏,
32,7382852856467967243,,,,,,,,,,,,L1,7382859193412059956,五千年中华文化，博大精深，源远流长，潜移默化，深远持久！[赞][赞][赞],我是孟孟呀,1341031284748040,106,0,2024-06-21 15:44:23,山东,
33,7382852856467967243,,,,,,,,,,,,L1,7382857841993859850,中华文明博大精深,听雨zxp🐟🐠,25423380867,10,0,2024-06-21 15:39:07,辽宁,
34,7382852856467967243,,,,,,,,,,,,L1,7382856280853168908,京杭大运河的京是哪里啊？,用户0515248224142,37820275375997,1403,22,2024-06-21 15:33:04,安徽,
35,7382852856467967243,,,,,,,,,,,,L1,7382881609722807055,这地方划龙舟不错耶[比心][比心],懒猫,3262941209830599,5,0,2024-06-21 17:11:22,广东,
36,7382852856467967243,,,,,,,,,,,,L1,7382891168142918409,@是夕阳啊。 大运河,🍋妍煦子🦋,106100501860,11,1,2024-06-21 17:48:26,浙江,
37,7382852856467967243,,,,,,,,,,,,L1,7382912160484557603,这几条大运河颜色都不一样 这个说明啥呢[发呆],叶儿,60672517351,48,0,2024-06-21 19:09:57,湖南,
38,7382852856467967243,,,,,,,,,,,,L1,7382882794508583691,世界的遗产，祖国的财富。,人间烟火,663713845362349,16,0,2024-06-21 17:15:57,湖南,
39,7382852856467967243,,,,,,,,,,,,L1,7382924997915362048,能不能从北京坐船去杭州,fon（CLOUD）,3839133688282350,54,0,2024-06-21 19:59:45,黑龙江,
40,7382852856467967243,,,,,,,,,,,,L1,7382899096686920485,有没有人告诉我，申遗有什么用,浙江云源,104768979709,32,0,2024-06-21 18:19:14,浙江,
41,7382852856467967243,,,,,,,,,,,,L1,7382898493222929203,粤赣大运河呢？,MGKH,97932287570,15,0,2024-06-21 18:16:53,广东,
42,7382852856467967243,,,,,,,,,,,,L1,7382897838646903592,运河边上的水泥厂多的,🌈网友小陆             ༽,94487091984,11,0,2024-06-21 18:14:20,江苏,
43,7382852856467967243,,,,,,,,,,,,L1,7382895252237779751,有没有记得去年还是前年有个人想从杭州划船去北京，两个小时后还在原地[捂脸],噜噜队长,2018320890205965,16,0,2024-06-21 18:04:19,浙江,
44,7382852856467967243,,,,,,,,,,,,L1,7382892515349775123,再次开发其价值[比心],天道酬勤  不争何获,108879506595,13,0,2024-06-21 17:53:42,江苏,
45,7382852856467967243,,,,,,,,,,,,L1,7382891455586501428,我经常大运河边上散步,晴的手工,96174534992,14,0,2024-06-21 17:49:35,江苏,
46,7382852856467967243,,,,,,,,,,,,L1,7382890935128802074,广西大运河在修[呲牙],一休不休,103276471229,21,0,2024-06-21 17:47:33,广西,
47,7382852856467967243,,,,,,,,,,,,L1,7382890556782314277,无锡新安段,ʕ•̫͡•ʔ 邹,72063674709,12,0,2024-06-21 17:46:06,江苏,
48,7382852856467967243,,,,,,,,,,,,L1,7382887723487511305,运河三千里，醉美是淮安[赞][赞][赞],淮安好房子房产小骆,92527690030,15,0,2024-06-21 17:35:06,江苏,
49,7382852856467967243,,,,,,,,,,,,L1,7382886814149346060,希望开通大运河全线游船的旅游。,梦回唐朝,93129527977,16,0,2024-06-21 17:31:34,福建,
