序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7388442389968325888,“宁”心聚力！数说“塞上江南”的中国式现代化！#绘说现代化,https://www.douyin.com/video/7388442389968325888,1720255812,70,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4398,184,121,315787,43,video,,,,,,,,,
2,7388442389968325888,,,,,,,,,,,,L1,7389178118131614501,全国首个万卡基地[看],渔间春雪,68694235050,3,0,2024-07-08 16:25:03,宁夏,
3,7388442389968325888,,,,,,,,,,,,L1,7388476257418199819,欢迎大家来到宁夏做客[爱心],星星✨偷走睡意,4350136111611768,8,1,2024-07-06 19:01:28,宁夏,
4,7388442389968325888,,,,,,,,,,,,L1,7390129469547807499,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,0,0,2024-07-11 05:56:54,江西,
5,7388442389968325888,,,,,,,,,,,,L1,7389150346351788841,那边，15年我们去银川军事演习过，,ℒℴѵℯ橘子🍊别哇哇叫এ⁵²º᭄এ.,100903851725,1,0,2024-07-08 14:37:15,重庆,
6,7388442389968325888,,,,,,,,,,,,L1,7388506787202646822,"我们何其幸运，生在红旗下，长在春风里😘
祝愿祖国繁荣昌盛，越来越好！",用户0832711399033,2133471813437342,3,0,2024-07-06 20:59:54,广东,
7,7388442389968325888,,,,,,,,,,,,L1,7388444702708482826,"我们何其幸运，生在红旗下，长在春风里😘
祝愿祖国繁荣昌盛，越来越好！",星河入梦,163189159377422,7,0,2024-07-06 16:59:01,浙江,
8,7388442389968325888,,,,,,,,,,,,L1,7388505197159564082,宁夏！越来越好！蒸蒸日上！加油！[赞][赞][赞][鼓掌][鼓掌][鼓掌][玫瑰][玫瑰][玫瑰],装什么装！,3061458239762285,2,0,2024-07-06 20:53:44,湖南,
9,7388442389968325888,,,,,,,,,,,,L1,7389157345349976884,我还以为是广西南宁,185.2万人,1291260417292313,2,0,2024-07-08 15:04:25,湖南,
10,7388442389968325888,,,,,,,,,,,,L1,7388447153296900899,天下之大，唯美中国！！[赞][赞][赞][赞],御黍坊甄选好货店,4503692866607037,5,0,2024-07-06 17:08:29,甘肃,
11,7388442389968325888,,,,,,,,,,,,L1,7393334656484344626,宁夏加油！[赞][赞][赞],霓裳,558200358700862,0,0,2024-07-19 21:14:30,宁夏,
12,7388442389968325888,,,,,,,,,,,,L1,7388484205665338122,第二故乡！青铜峡！,九龍购物（陈集店）胜,75595663559,3,2,2024-07-06 19:32:16,安徽,
13,7388442389968325888,,,,,,,,,,,,L1,7388462644477592372,"我们何其幸运，生在红旗下，长在春风里😘天下之大，唯美中国
祝愿祖国繁荣昌盛，越来越好！",Simon,81541961789,6,0,2024-07-06 18:08:38,上海,
14,7388442389968325888,,,,,,,,,,,,L1,7388694727060898623,欢迎大家来大美宁夏[鼓掌][鼓掌][鼓掌],霡霂鑫儿,55953800821,2,0,2024-07-07 09:09:14,宁夏,
15,7388442389968325888,,,,,,,,,,,,L1,7388478672107520807,塞上江南，美丽宁夏,大刘先生…,2999094103250231,5,0,2024-07-06 19:10:49,宁夏,
16,7388442389968325888,,,,,,,,,,,,L1,7388443874169488138,大美中国幸福路开始出发！,一路畅通！,941641838115539,1,0,2024-07-06 16:55:47,北京,
17,7388442389968325888,,,,,,,,,,,,L1,7391617380566352651,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,0,0,2024-07-15 06:10:39,江西,
18,7388442389968325888,,,,,,,,,,,,L1,7388828861796434727,不错的,台语春晓,1776449490527213,0,0,2024-07-07 17:49:43,山东,
19,7388442389968325888,,,,,,,,,,,,L1,7388447229110420250,中国的经济发展的太快了，老百姓的生活水平大大的提高了,🇨🇳木子李,109009530159,1,0,2024-07-06 17:08:50,上海,
20,7388442389968325888,,,,,,,,,,,,L1,7388749253268505353,太牛了,愚山公,95440049965,0,0,2024-07-07 12:40:47,四川,
21,7388442389968325888,,,,,,,,,,,,L1,7389730783152309031,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,0,0,2024-07-10 04:10:10,江西,
22,7388442389968325888,,,,,,,,,,,,L1,7388443145442968339,宁心聚力，塞上江南,用户2374170725800,2897963623391372,1,0,2024-07-06 16:52:58,黑龙江,
23,7388442389968325888,,,,,,,,,,,,L1,7388538680354358056,"我们何其幸运，生在红旗下，长在春风里😘
祝愿祖国繁荣昌盛，越来越好！",（。）,95351132283,1,0,2024-07-06 23:03:40,新疆,
