序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7391385791232068904,投入联合收割机60多万台，小麦机收占比超98%！点赞中国夏收的科技范儿👍#绘说现代化,https://www.douyin.com/video/7391385791232068904,1720941133,87,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,8639,340,363,397083,153,video,,,,,,,,,
2,7391385791232068904,,,,,,,,,,,,L1,7391416913324180235,种粮食真的不赚钱，应该国家收购粮的价格应该上涨。,一瓢饮,99237512263,6,5,2024-07-14 17:12:41,甘肃,
3,7391385791232068904,,,,,,,,,,,,L1,7391424325759320851,地不荒，粮满仓,良辰,59592670379,5,2,2024-07-14 17:41:29,四川,
4,7391385791232068904,,,,,,,,,,,,L1,7391391814776800015,小时候割麦子累死了，现在一亩地一会儿收完了。,红三姑,8495939470,29,3,2024-07-14 15:35:17,江苏,
5,7391385791232068904,,,,,,,,,,,,L1,7391488536060674854,这么多吨粮食！我不想吃转基因的了,我是梓霖呀,65885303427,4,0,2024-07-14 21:50:36,天津,
6,7391385791232068904,,,,,,,,,,,,L1,7391411614015243042,机械化收割，把粮食掌握在自己手里。[赞][赞][赞],小宝育儿书单,1969914747300759,5,0,2024-07-14 16:52:11,广东,
7,7391385791232068904,,,,,,,,,,,,L1,7391941717891498762,你看看河南省，示范田打的井都没法浇水，,@ღ᭄ꦿ꯭꯭ꦿ꯭Q：赵先生🍂༊ღꦿ,106105216052,2,0,2024-07-16 03:09:32,江苏,
8,7391385791232068904,,,,,,,,,,,,L1,7391870121242968847,便宜,往事如烟,3671976274308781,0,0,2024-07-15 22:31:21,四川,
9,7391385791232068904,,,,,,,,,,,,L1,7391390932987953959,都提升了，就是价格不提升[捂脸],㿝 氼,108274074514,8,5,2024-07-14 15:31:53,江苏,
10,7391385791232068904,,,,,,,,,,,,L1,7391387318805889843,伟大的劳动人民，智慧勤劳的劳动人民。,໑GEM。,52363159858,6,0,2024-07-14 15:17:50,四川,
11,7391385791232068904,,,,,,,,,,,,L1,7392589717701952271,五谷丰登大丰收，国泰民安，[赞][赞][赞][赞][赞],@灵悦,3122251669991768,1,0,2024-07-17 21:03:47,陕西,
12,7391385791232068904,,,,,,,,,,,,L1,7391414020127458059,我只关心是否转基因品种,随意,1358624279234164,4,0,2024-07-14 17:01:29,江西,
13,7391385791232068904,,,,,,,,,,,,L1,7391387710843863845,[赞][赞][赞]牛，手中有粮心不慌[撒花][撒花][撒花],让世界听见,1891633780497319,17,1,2024-07-14 15:19:22,广东,
14,7391385791232068904,,,,,,,,,,,,L1,7391837717510193946,为中国科纪现代化点赞点赞点赞,用户5854585531652,1330832751200903,1,0,2024-07-15 20:25:36,安徽,
15,7391385791232068904,,,,,,,,,,,,L1,7391386719608685339,祝祖国繁荣昌盛，我们的民族越来越好[赞][赞][赞][一起加油][一起加油][一起加油],豪玥妈妈,3166224291465869,8,0,2024-07-14 15:15:33,山东,
16,7391385791232068904,,,,,,,,,,,,L1,7393224010518102784,祝中国🇨🇳强大。繁荣昌盛。国泰民安！[鼓掌][赞][赞],用户53316339,2881167582572782,1,0,2024-07-19 14:05:11,上海,
17,7391385791232068904,,,,,,,,,,,,L1,7391741670339855141,叫萝卜车去收,土豆就是木瓜,100441968972,0,0,2024-07-15 14:12:55,广东,
18,7391385791232068904,,,,,,,,,,,,L1,7391639857812341544,对于88年出生在农村的我来说，粮食大丰收给我带来的安全感超过了现在的房车，金钱，情感,遥远的她,4314921779866855,7,0,2024-07-15 07:37:52,湖南,
19,7391385791232068904,,,,,,,,,,,,L1,7391389357796934439,把粮食掌握在自己手中,付十段 行知教育,83762299652,8,0,2024-07-14 15:25:49,云南,
20,7391385791232068904,,,,,,,,,,,,L1,7391400432243917587,冷知识收割机是收费的，一亩地60-80直接[九转大肠][九转大肠][九转大肠],逗包逗小包,98745621640,16,5,2024-07-14 16:08:46,北京,
21,7391385791232068904,,,,,,,,,,,,L1,7391394151974044454,这个收割机也是可以割稻子的吗，家里有一百多亩田，买这台收割机国家有没有补贴[微笑],小小就是我🔥,59092837087,5,3,2024-07-14 15:44:22,江西,
22,7391385791232068904,,,,,,,,,,,,L1,7391754188316214028,越收的多越不值钱[捂脸]石油进口越多越贵是什么原因？？？[大笑][大笑][大笑],悟,63233924274,0,0,2024-07-15 15:01:33,河南,
23,7391385791232068904,,,,,,,,,,,,L1,7392591549908009765,人多地少的苏北会不会土地给流转出去了[捂脸][捂脸],无花果,110223995609,0,0,2024-07-17 21:10:52,江苏,
24,7391385791232068904,,,,,,,,,,,,L1,7391823738385679104,中国人的饭碗端在自己手里[鼓掌][玫瑰],用户6657915491163,3900710982268413,1,0,2024-07-15 19:31:22,河南,
25,7391385791232068904,,,,,,,,,,,,L1,7394563397852152595,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,0,0,2024-07-23 04:43:11,江西,
26,7391385791232068904,,,,,,,,,,,,L1,7391444624604365578,粮食是国家很重要部分，也是境内外集团公司利益争夺战场。,强大祖国面向未来,202760920499534,8,1,2024-07-14 19:00:13,黑龙江,
27,7391385791232068904,,,,,,,,,,,,L1,7391398540411519755,这种场景好治愈，国泰民安，大丰收[赞],湖南优冠塑胶跑道厂家郑玄,3156026293230777,26,0,2024-07-14 16:01:26,湖南,
28,7391385791232068904,,,,,,,,,,,,L1,7393845543628374820,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,0,0,2024-07-21 06:17:07,江西,
