序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7396485913095834915,中国世界遗产总数达到59项！88秒看文化中国闪耀世界👏#绘说现代化,https://www.douyin.com/video/7396485913095834915,1722128593,87,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,12533,1261,1099,840889,1315,video,,,,,,,,,
2,7396485913095834915,,,,,,,,,,,,L1,7511392107564401467,全球公认，打仗不能动的地方？,℡𝑿.Sao髅本斑,2387763299889940,1,0,2025-06-03 00:37:45,吉林,
3,7396485913095834915,,,,,,,,,,,,L1,7396621023808160531,中国上下五千年，可以被认定为世界遗产的还有待被发掘，远远不止怎么多,鹏程万里_19686,59056937632,21,0,2024-07-28 17:47:17,吉林,
4,7396485913095834915,,,,,,,,,,,,L1,7396618291848299273,五千年的文明！,快乐,109189609698,11,0,2024-07-28 17:36:41,江苏,
5,7396485913095834915,,,,,,,,,,,,L1,7396607852683690752,我想问一下，长城上有厕所吗？[捂脸],天磊童装,369878493826400,218,3,2024-07-28 16:56:12,河北,
6,7396485913095834915,,,,,,,,,,,,L1,7396543029307917068,中国的东西为什么要世界上的人来认可？用的着西方来认可吗？,小马哥。,3584057248069255,14,2,2024-07-28 12:44:41,云南,
7,7396485913095834915,,,,,,,,,,,,L1,7396620036917936905,越多越好吗,晓颂严选,57373557029,15,0,2024-07-28 17:43:27,河北,
8,7396485913095834915,,,,,,,,,,,,L1,7396620968678703913,不懂就问，世界遗产是什么意思？,百居佳丽地板,95604892359,23,0,2024-07-28 17:47:04,安徽,
9,7396485913095834915,,,,,,,,,,,,L1,7396620702281597730,世界自然遗产数量最多的国家、世界文化与自然双重遗产数量最多的国家之一。,秋日胜春朝,130179821735340,7,0,2024-07-28 17:46:02,广西,
10,7396485913095834915,,,,,,,,,,,,L1,7396621537883161394,中国是世界上拥有世界遗产类别最齐全的国家之一，也是世界自然遗产数量最多的国家、世界文化与自然双重遗产数量最多的国家之一。,山哥,104199001774,31,0,2024-07-28 17:49:16,安徽,
