序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7401712744732331316,15分钟健身圈、每天1节体育课…全民健身蔚然成风，健康中国你我同行💪#绘说现代化,https://www.douyin.com/video/7401712744732331316,1723345554,94,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2744,112,68,224326,31,video,,,,,,,,,
2,7401712744732331316,,,,,,,,,,,,L1,7401737025072726842,？？？到底哪里有每天一节的体育课？[微笑],宝宝大王,63467742566,15,4,2024-08-11 12:40:21,山东,
3,7401712744732331316,,,,,,,,,,,,L1,7402944170883613476,我们这的体育课基本都被语数英占了[捂脸],丫丫,3575262732355091,0,0,2024-08-14 18:44:22,山东,
4,7401712744732331316,,,,,,,,,,,,L1,7403079213177733942,经济发辰，安康幸福,银艾,1911367398852628,0,0,2024-08-15 03:28:48,广西,
5,7401712744732331316,,,,,,,,,,,,L1,7401732668298576676,好威风威武中国。漂亮的城市美景。为中国运动健儿加油！健身样样齐全。[赞][赞][赞][赞][赞],白姐,245890095791096,1,0,2024-08-11 12:23:07,四川,
6,7401712744732331316,,,,,,,,,,,,L1,7401755641197904677,比起室内更喜欢户外运动[赞],洋洋小男孩,55592124745,0,0,2024-08-11 13:52:16,四川,
7,7401712744732331316,,,,,,,,,,,,L1,7406683368522433332,狗屁,笑哈哈,68530447838,0,0,2024-08-24 20:34:21,浙江,
8,7401712744732331316,,,,,,,,,,,,L1,7401721181651108634,体育强则国强。,谁会凭栏意,87550358720360,0,0,2024-08-11 11:38:31,浙江,
9,7401712744732331316,,,,,,,,,,,,L1,7402726175603000075,[赞][赞][赞][抱抱你][抱抱你][抱抱你][抱抱你][击掌][击掌][击掌],江运芳,2867168593587583,0,0,2024-08-14 04:38:55,江西,
10,7401712744732331316,,,,,,,,,,,,L1,7404594922504258323,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,0,0,2024-08-19 05:30:21,江西,
11,7401712744732331316,,,,,,,,,,,,L1,7403146073134875432,什么时候有放心食品吃,科比,98049651450,0,0,2024-08-15 07:47:53,江苏,
12,7401712744732331316,,,,,,,,,,,,L1,7401714148977591075,第一,大腿肌的腿毛（见过时团版）,3562023635387965,0,0,2024-08-11 11:11:14,四川,
13,7401712744732331316,,,,,,,,,,,,L1,7401741206214329115,祖国繁荣昌盛,不去酒吧de我,60614748354,0,0,2024-08-11 12:56:13,浙江,
14,7401712744732331316,,,,,,,,,,,,L1,7401834769665671951,我们这边，几乎每个村都至少一个篮球场,陆小耶,83511254704,0,0,2024-08-11 18:59:18,广西,
15,7401712744732331316,,,,,,,,,,,,L1,7401715800728290089,第二，第三，好歹要一个,江西澳特居建筑服务有限公司,98370066167,0,0,2024-08-11 11:17:39,江西,
16,7401712744732331316,,,,,,,,,,,,L1,7401757056385123106,一礼拜一节[流泪],calm,3953443449094524,0,0,2024-08-11 13:57:46,江苏,
17,7401712744732331316,,,,,,,,,,,,L1,7401803365753340711,＇,用户9968549301418,861615374211040,0,0,2024-08-11 16:57:25,广东,
18,7401712744732331316,,,,,,,,,,,,L1,7434126119618347815,[okk],冰激凌,102804636568,0,0,2024-11-06 19:26:14,广西,
19,7401712744732331316,,,,,,,,,,,,L1,7401796546512093964,新年快乐。人民网,落日  晚风  尽头，,69811302719,0,0,2024-08-11 16:30:59,广东,
20,7401712744732331316,,,,,,,,,,,,L1,7401714644694221594,哎妈呀，我寻思这是什么？一看。。。。人民网[鼓掌][鼓掌][鼓掌],一杯冰美式～,95994392995,0,0,2024-08-11 11:13:09,广东,
21,7401712744732331316,,,,,,,,,,,,L1,7401721994927145768,今年蔬菜价格普遍上涨百分之百了以上（打个比方普遍去年2元一斤的今年4元至5元了），生活成本高了一倍！！大家警惕了。,华仔,65226260996,2,0,2024-08-11 11:41:42,江西,
22,7401712744732331316,,,,,,,,,,,,L1,7403452326017254207,[赞][赞][赞][抱抱你][抱抱你][抱抱你][爱心][爱心][爱心],江运芳,2867168593587583,1,1,2024-08-16 03:36:37,江西,
23,7401712744732331316,,,,,,,,,,,,L1,7401722764736217919,山东潍坊滨海经济开发区城投债过期不于兑付。还强行延期一年。弱势群体没办法。希望大家关注,用户74560973,4076593260011420,1,0,2024-08-11 11:44:39,山东,
24,7401712744732331316,,,,,,,,,,,,L1,7403182394108347174,老让我们青少年增加身体素质，你到别让主科占，一边说，一边占，有啥用,清风🍟🏓,4397693742101447,0,0,2024-08-15 10:08:45,天津,
25,7401712744732331316,,,,,,,,,,,,L1,7401718961367171892,世界各国和平共处，合作共赢，世界百花齐放，百家争鸣，大家都好，正确而伟大，世界民愿，民福,月之光日之芒,108231747631,0,0,2024-08-11 11:29:57,广西,
26,7401712744732331316,,,,,,,,,,,,L1,7406505320879260466,到地方下来看看，现实是怎么样的,宽容是福_,61460732056,0,0,2024-08-24 09:03:28,山东,
27,7401712744732331316,,,,,,,,,,,,L1,7401718194270012169,我问你国足踢过谁？,萕資,950433116870296,0,0,2024-08-11 11:26:54,陕西,
28,7401712744732331316,,,,,,,,,,,,L2,7401745350418531112,我这里[不失礼貌的微笑],脆皮凉皮君,62920761351,1,0,2024-08-11 13:12:21,广东,
29,7401712744732331316,,,,,,,,,,,,L2,7401745880561124154,羡慕[流泪],宝宝大王,63467742566,1,0,2024-08-11 13:14:48,山东,
30,7401712744732331316,,,,,,,,,,,,L2,7401746842054230818,但是我们的学生和老师都快烦死了[捂脸][捂脸]都不太喜欢体育课[捂脸][捂脸],脆皮凉皮君,62920761351,1,0,2024-08-11 13:18:04,广东,
