序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7406599046112005428,累计调水740多亿立方米！90秒看南水北调工程有多牛👍 #绘说现代化,https://www.douyin.com/video/7406599046112005428,1724483239,95,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,14117,1065,1155,686701,1396,video,,,,,,,,,
2,7406599046112005428,,,,,,,,,,,,L1,7406963802853884683,辽宁发洪水了，很严重,最美小茄子,93170145081,11,0,2024-08-25 14:42:34,北京,
3,7406599046112005428,,,,,,,,,,,,L1,7406962391290544946,我说咋搬到山区附近后感觉水甜了，原来是边上有南水北调，我还去看过，挺宽的河，谁干净的很，搬过来以后喝烧开的自来水再也没味了，也不拉肚子了[泪奔][泪奔],一片冰心在玉壶,1852048822770600,16,0,2024-08-25 14:37:06,河北,
4,7406599046112005428,,,,,,,,,,,,L1,7406958971644363520,南阳的水调到北京  简称 南水北调[呲牙][呲牙][呲牙],歪头的朋友,3196986867594103,47,1,2024-08-25 14:23:50,河南,
5,7406599046112005428,,,,,,,,,,,,L1,7406961990801654566,山东缺水,Peace大寶,62474356603,4,0,2024-08-25 14:35:32,江苏,
6,7406599046112005428,,,,,,,,,,,,L1,7406962045398139707,南水北调，惠及民生，功在当代，利在千秋,没有不可能,1261893017418062,5,0,2024-08-25 14:35:52,黑龙江,
7,7406599046112005428,,,,,,,,,,,,L1,7406961880831361843,南水北调[赞][赞][赞]利国利民[比心][比心]建设美丽中国人人有责[比心][比心],晓看天色暮看云2022,1873159592087240,3,0,2024-08-25 14:35:07,上海,
8,7406599046112005428,,,,,,,,,,,,L1,7406962031134556968,古有南水北调，今有西气东输,筱雨,3303357554894519,2,0,2024-08-25 14:35:44,广东,
9,7406599046112005428,,,,,,,,,,,,L1,7406963952855565115,青岛也受益南水北调[赞],乐悠,2933145537086910,8,0,2024-08-25 14:43:27,山东,
10,7406599046112005428,,,,,,,,,,,,L1,7406964338928714553,南水北调，利国利民！,帅帅，彬彬姥姥,111170435754,5,0,2024-08-25 14:44:54,北京,
11,7406599046112005428,,,,,,,,,,,,L1,7406961094282019593,什么河南的湖北的，都是我们中国的，炎黄子孙不分家。,🌈万岁万岁万万岁,1719224808258355,6,0,2024-08-25 14:32:04,河北,
12,7406599046112005428,,,,,,,,,,,,L1,7406962787802694411,南水北调利国利民的大好事[玫瑰][玫瑰][玫瑰][赞][赞][赞][赞],老爷子,4305305814711272,6,0,2024-08-25 14:38:37,山西,
13,7406599046112005428,,,,,,,,,,,,L1,7406962468506829622,南水北调，功在当代，利在千秋[赞][赞][赞],天天开始,62734469167,2,0,2024-08-25 14:37:23,黑龙江,
14,7406599046112005428,,,,,,,,,,,,L1,7406963146974610226,节约用水保护环境，让绿水青山成为我们的金山银山[赞],吃饭啦！毛孩子们🐶,4143428367548852,3,0,2024-08-25 14:40:03,山东,
15,7406599046112005428,,,,,,,,,,,,L1,7406962291419677450,南水北调，功在当代，利在千秋。,别来无恙^O^登哥,92467922385,8,0,2024-08-25 14:36:42,四川,
16,7406599046112005428,,,,,,,,,,,,L1,7406964265578038026,南水北调，功在当代，利在千秋！,老梦PLAY,3628023997015756,7,0,2024-08-25 14:44:23,北京,
17,7406599046112005428,,,,,,,,,,,,L1,7406959901467362060,南水北调，功在当代，利在千秋[鼓掌][鼓掌][鼓掌],释然,66490435313,2,0,2024-08-25 14:27:26,广西,
18,7406599046112005428,,,,,,,,,,,,L1,7406958468189799178,南水北调导致我们有一个月河没水了,黄金马_17652,79965437896,6,0,2024-08-25 14:21:51,陕西,
19,7406599046112005428,,,,,,,,,,,,L1,7406960646652674816,南水北调，利国利民,期待未来,4475449132223401,4,0,2024-08-25 14:30:20,山东,
20,7406599046112005428,,,,,,,,,,,,L1,7406958907056636707,南水北调，惠及民生，功在当代，利在千秋。,🐎老马🦄,4287689538414205,6,0,2024-08-25 14:23:34,海南,
21,7406599046112005428,,,,,,,,,,,,L1,7406957823106204453,能够自由用水己经很幸福了，想想那些缺水少水的地方吧。,心飞,104588211234,16,0,2024-08-25 14:19:21,河北,
22,7406599046112005428,,,,,,,,,,,,L1,7406960929131578146,[玫瑰][玫瑰][玫瑰]毫无疑问，南水北调，功在当代，惠及子孙，利在千秋[赞][赞][赞],云雾,100414767752,1,0,2024-08-25 14:31:27,四川,
23,7406599046112005428,,,,,,,,,,,,L1,7406961018201391891,[捂脸][捂脸]可以北气温南调吗，南方太热了,平常心,852851845771310,15,0,2024-08-25 14:31:48,江苏,
24,7406599046112005428,,,,,,,,,,,,L1,7406961059355755264,好羡慕你们呀，我们在南水北调的源头却喝不到丹江里面的水........,山海桑田,92843050465,12,0,2024-08-25 14:31:57,广东,
25,7406599046112005428,,,,,,,,,,,,L1,7406960446693131062,共饮一江水，同是华夏魂！,美食遍天下,268701957895523,2,0,2024-08-25 14:29:32,四川,
26,7406599046112005428,,,,,,,,,,,,L1,7443400414165746495,南水北调[赞][赞],爱唱歌的kai,2353433821582072,0,0,2024-12-01 19:15:14,浙江,
27,7406599046112005428,,,,,,,,,,,,L1,7406955990837560074,南水北调，功在当代，利在千秋[赞][赞][赞],豪 哥,1623320401552599,2,0,2024-08-25 14:12:17,浙江,
28,7406599046112005428,,,,,,,,,,,,L1,7406957514867540771,南水北调，惠及民生，功在当代，利在千秋[赞][赞][赞],梦中花🌹,1847609501947534,3,0,2024-08-25 14:18:13,福建,
29,7406599046112005428,,,,,,,,,,,,L1,7406956884982498085,要是南水北调能把梅雨季节，洪水解决了，那就真的是[赞][赞][赞][赞][赞],幻想痴,98790340460,16,0,2024-08-25 14:15:42,上海,
30,7406599046112005428,,,,,,,,,,,,L1,7406955492667114240,最美中国， 南水北调，西电东输,WANG、彪,83782626478,3,0,2024-08-25 14:10:22,河南,
31,7406599046112005428,,,,,,,,,,,,L1,7406953853830742799,愿有人陪你颠沛流离，如果没有，愿你成为自己的太阳。[赞][赞],人鱼,100945587515,4,0,2024-08-25 14:03:58,重庆,
32,7406599046112005428,,,,,,,,,,,,L1,7406953890249179938,南水北调，功在当代，利在千秋大业[赞][赞][赞],万事如意,1812428955327773,5,0,2024-08-25 14:04:05,甘肃,
33,7406599046112005428,,,,,,,,,,,,L1,7406964444348564261,南水北调，有利于民,♡岁月的´◡`痕迹♡,97633727785,2,0,2024-08-25 14:45:06,湖南,
34,7406599046112005428,,,,,,,,,,,,L1,7439976496620389154,西乡县矿山开采和石材工业区，污水都流入牧马河，然后汇入汉江后到丹江口水库，流入北方千家万户,无蟹,2909734452078384,1,0,2024-11-22 13:48:44,福建,
35,7406599046112005428,,,,,,,,,,,,L1,7406606821085397811,人民网，我分手了，很难过怎么办呀[捂脸][捂脸],古月木木呀,107697826328,224,24,2024-08-24 15:37:17,上海,
36,7406599046112005428,,,,,,,,,,,,L1,7406954376232125211,文字的精髓，一字之差，牛和贪,那个神,106258197499,2,0,2024-08-25 14:06:00,河北,
37,7406599046112005428,,,,,,,,,,,,L1,7406953249191805732,南水北调，功在当代，利在千秋！,妙手丹青,681302068835068,2,0,2024-08-25 14:01:36,四川,
