序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7409470825398635816,今年我国快递量已突破1000亿件！快递加速度，点赞便利中国！ #绘说现代化,https://www.douyin.com/video/7409470825398635816,1725151880,97,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3297,125,95,177656,62,video,,,,,,,,,
2,7409470825398635816,,,,,,,,,,,,L1,7409471958838330164,我对象独占500件[你不大行][你不大行][你不大行],退伍上岸搭子,603010398960941,30,4,2024-09-01 08:55:31,河南,
3,7409470825398635816,,,,,,,,,,,,L1,7409471802583925513,首评[憨笑][憨笑][憨笑],好吃么我尝尝,3277005032264430,0,0,2024-09-01 08:54:54,安徽,
4,7409470825398635816,,,,,,,,,,,,L1,7409480952332993306,数据不断在涨，但利润不断在压缩。,LSY&LYY's Dad,84105744838,3,0,2024-09-01 09:30:26,吉林,
5,7409470825398635816,,,,,,,,,,,,L1,7409474460975383331,我8月就独揽上百件,🍀好运降临🍀,102713091857,0,0,2024-09-01 09:05:13,云南,
6,7409470825398635816,,,,,,,,,,,,L1,7409478084498506508,多少实业铺面悲伤,银艾,1911367398852628,1,0,2024-09-01 09:19:19,广西,
7,7409470825398635816,,,,,,,,,,,,L1,7409471815913489202,第一[发呆][发呆],日久见人心,13292931687,1,0,2024-09-01 08:54:58,广东,
8,7409470825398635816,,,,,,,,,,,,L1,7409478696439104265,人民网能为江西上饶李碧霞事件发声吗，老百姓都气疯了。,💦清风竹影🎋,3649978125005527,6,0,2024-09-01 09:21:41,广东,
9,7409470825398635816,,,,,,,,,,,,L1,7409482059095540521,我占了10件[比心][比心],梅子（男装）,101907346827,1,0,2024-09-01 09:34:42,广东,
10,7409470825398635816,,,,,,,,,,,,L1,7409471965055402792,[赞][赞][赞]享受便利，感谢中国(≧∇≦),기적,99784806201,1,0,2024-09-01 08:55:37,河北,
11,7409470825398635816,,,,,,,,,,,,L1,7409472497957847827,前两天刚刚买了点[捂脸][捂脸][捂脸],执笔人间,1490571635736228,0,0,2024-09-01 08:57:38,山东,
12,7409470825398635816,,,,,,,,,,,,L1,7409473097244443429,现在快递都是放在家门口，有时电话短信也没有，如丢失，很多容易引起纠纷。,谁会凭栏意,87550358720360,4,0,2024-09-01 08:59:58,浙江,
13,7409470825398635816,,,,,,,,,,,,L1,7409728981492368180,就这尤克里里扫弦我想练,Mocic线团先生,103734985702,0,0,2024-09-02 01:33:05,陕西,
14,7409470825398635816,,,,,,,,,,,,L1,7409476254946968370,说明白现在快递就是原来的逛超市[捂脸]不知道说的对不对？[感谢],游戏而已。,109481209377,4,0,2024-09-01 09:12:12,河南,
15,7409470825398635816,,,,,,,,,,,,L1,7409494337773568809,其中有我的一份[大笑],yao姚,66491332173,0,0,2024-09-01 10:22:20,江西,
16,7409470825398635816,,,,,,,,,,,,L1,7409534849717912330,我还以为东风快递，搞得我一激动[吐血],湘隅粮油●家的味道,104083461385,0,0,2024-09-01 12:59:33,湖南,
17,7409470825398635816,,,,,,,,,,,,L1,7409475484831433499,70后我占了300[捂脸],冰雪音乐,100761072311182,1,0,2024-09-01 09:09:14,四川,
