序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7414405348548709695,80秒看中国能源底气十足🔥 点亮小心心，“加油”“打气”！ #绘说现代化,https://www.douyin.com/video/7414405348548709695,1726365600,83,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3343,149,81,208353,68,video,,,,,,,,,
2,7414405348548709695,,,,,,,,,,,,L1,7414689868612191034,油价这么高，有老百姓撑着，当然底气足啊[赞],第七度阳光,105435256987,50,5,2024-09-15 10:23:44,新疆,
3,7414405348548709695,,,,,,,,,,,,L1,7414705956971660070,有这么多老百姓撑着，底气肯定足,饿鬼画饼,110059720683,11,1,2024-09-15 11:26:06,浙江,
4,7414405348548709695,,,,,,,,,,,,L1,7414746154750346044,除了那种原油出口国，那个国家不高呢，你觉得三桶油高，可以去私企加油站，或者去外企的加油站，成本摆在哪里，如果利润这么高，要不你去赚这笔钱咯,海边听风🦅🦅🦅,69592344079,0,4,2024-09-15 14:02:11,广西,
5,7414405348548709695,,,,,,,,,,,,L1,7414858471579599616,为什么什么油价还这么高呢？,勿忘初心,71907052539,7,4,2024-09-15 21:17:56,广东,
6,7414405348548709695,,,,,,,,,,,,L1,7415610061568066343,是如何做到油价那么高还年年亏损的,.,93286648995,8,1,2024-09-17 21:54:28,湖北,
7,7414405348548709695,,,,,,,,,,,,L1,7415220589596771098,当然底气十足，因为有中国老百姓撑着。,以前多有打扰,76064855026,5,0,2024-09-16 20:43:08,重庆,
8,7414405348548709695,,,,,,,,,,,,L1,7415493853530686266,伟大的祖国！[比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],用户1594766876071,98711871666,0,0,2024-09-17 14:23:32,江苏,
9,7414405348548709695,,,,,,,,,,,,L1,7414719507119489829,祝祖国越来越强大！[赞][赞][赞],红红火火,1006778397506942,1,0,2024-09-15 12:18:40,上海,
10,7414405348548709695,,,,,,,,,,,,L1,7414732054447145788,祝我祖国越来越强大,阳阳的宝藏,96492448231,0,0,2024-09-15 13:07:22,河北,
