序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7417312901037296911,100秒看丰收中国粮安天下！#绘说现代化,https://www.douyin.com/video/7417312901037296911,1726977748,98,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4015,130,147,172113,68,video,,,,,,,,,
2,7417312901037296911,,,,,,,,,,,,L1,7417326123517952826,对呀，这个才是人民网该发的[呲牙][赞],裁缝悠娴快乐,105325536200,2,0,2024-09-22 12:53:40,四川,
3,7417312901037296911,,,,,,,,,,,,L1,7417412243962299190,不丰收呀，今年的玉米九毛钱一斤[泪奔]，父母忙一年不够成本的，肥料涨价了，种子涨价了，农药涨价了，粮食降价了,是海豚🐬呀！！,86552724703,10,3,2024-09-22 18:27:52,河南,
4,7417312901037296911,,,,,,,,,,,,L1,7417343947339711271,又是一年大丰收，把粮食牢牢抓在我们手里，看看村里越来越来好了，我们心里真高兴[玫瑰][玫瑰][玫瑰][玫瑰][666][666][666],抹茶奶冻卷,668959954711853,12,3,2024-09-22 14:02:55,河南,
5,7417312901037296911,,,,,,,,,,,,L1,7417316066726986508,"五谷丰登
国泰民安
幸福中国[比心][比心][比心][玫瑰][玫瑰][玫瑰]",陈公子🍀🎊,3733593125033403,3,0,2024-09-22 12:14:40,广东,
6,7417312901037296911,,,,,,,,,,,,L1,7417824809557984010,河南夏邑和永城在抗洪[泣不成声][泣不成声],赵猛⃢👁_👁⃢,65978622533,8,1,2024-09-23 21:08:48,河南,
7,7417312901037296911,,,,,,,,,,,,L1,7417340868631364388,金秋九月粮食丰，大美中国看乡村！[呲牙][赞][比心],布布的森林,1561721404136375,13,1,2024-09-22 13:50:52,河南,
8,7417312901037296911,,,,,,,,,,,,L1,7417317065705472825,丰收中国，粮安天下，又是金黄色一片稻香，为田园大丰收点赞[赞][赞][赞][赞][鼓掌][鼓掌][鼓掌][鼓掌][666][666][666][666][玫瑰][玫瑰][玫瑰][玫瑰]。,11111,373457312560316,7,0,2024-09-22 12:18:34,福建,
9,7417312901037296911,,,,,,,,,,,,L1,7417626726195643136,我父母卖了1亩2分地的玉米🌽， 才卖700元，除去种子肥料， 加上播种秋收， 因为天旱， 浇了几次水， 不算人工， 都是刚刚保本。,孙敏,61000654810,16,0,2024-09-23 08:20:17,浙江,
10,7417312901037296911,,,,,,,,,,,,L1,7417323266942288698,祖国的骄傲[赞][赞][赞],@东郭,1495780709119751,1,0,2024-09-22 12:42:40,四川,
