序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7425243592555334964,这个国庆，文旅场景持续上新、多地赛事如火如荼、以旧换新激发潜力…假日经济的韧性和活力拉满了🔥#绘说现代化,https://www.douyin.com/video/7425243592555334964,1728824258,102,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3119,89,53,183705,48,video,,,,,,,,,
2,7425243592555334964,,,,,,,,,,,,L1,7425255953874010906,国泰民安、繁荣昌盛。,茶理王,3918257499942750,0,0,2024-10-13 21:45:26,山东,
3,7425243592555334964,,,,,,,,,,,,L1,7425266805420606259,相信国家会带我们过上富裕的日子，愿我们的国家繁荣昌盛,"激光切割界的""女司机""",710754401262896,0,0,2024-10-13 22:27:36,江苏,
4,7425243592555334964,,,,,,,,,,,,L1,7425246854264521512,厨房的土话怎么说,济南飞伟打标机(翟zhai老板),71030625608,3,2,2024-10-13 21:10:08,山东,
5,7425243592555334964,,,,,,,,,,,,L1,7425253477503042362,去爬了一下不要门票的东蒙山，回来腿疼了5天[捂脸][捂脸][捂脸],幸福,67627383680,0,0,2024-10-13 21:35:51,浙江,
6,7425243592555334964,,,,,,,,,,,,L1,7425245178153239296,国庆安静上班，没有和同胞们争抢[看][看][看],格斗,1860012150631544,0,0,2024-10-13 21:03:37,浙江,
7,7425243592555334964,,,,,,,,,,,,L1,7425246423467180839,周末不忙来趟衡阳🇨🇳,一路巷北🇨🇳,3114236500256600,1,0,2024-10-13 21:08:27,湖南,
8,7425243592555334964,,,,,,,,,,,,L1,7425275953637475087,"重庆市江津区老街南安街17号 
 招牌茅台镇酱香酒，
南门路240号  招牌金糟醉，
塔坪路66号  招牌小灶高梁酒，
这三家开酒店的完全是日本间谍，今年3月份至5月份往空气投毒甲醛，空气中散发着浓浓的刺鼻的甲醛味，导致整条街都被污染",天下大同,76060125149,0,0,2024-10-13 23:03:06,重庆,
9,7425243592555334964,,,,,,,,,,,,L1,7425245357695386409,风调雨顺来点赞了[赞][赞][赞],风调雨顺,105506387124,0,0,2024-10-13 21:04:20,浙江,
10,7425243592555334964,,,,,,,,,,,,L1,7425256475024671529,不是说今年都穷吗？看来只有我穷,一生相随,61846902167,1,0,2024-10-13 21:47:27,江苏,
11,7425243592555334964,,,,,,,,,,,,L1,7425246669299647289,优秀的兄弟姐妹大家相互欣赏鼓励支持非常好，愿华夏花开大地！[比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],用户1594766876071,98711871666,0,0,2024-10-13 21:09:24,江苏,
12,7425243592555334964,,,,,,,,,,,,L1,7425292303773139771,现在画质不糊[看][看],木目元,64786239420,0,0,2024-10-14 00:06:42,北京,
13,7425243592555334964,,,,,,,,,,,,L1,7425277186058748699,可提供证据,用户3853773547184,3136281899441571,0,0,2024-10-13 23:07:53,陕西,
14,7425243592555334964,,,,,,,,,,,,L1,7425291325878813459,抱歉，我五一、十一黄金周从来不出门。人从众𠈌……，我只贡献了不去抽热闹[捂脸],哈泥猩,65632302419,2,0,2024-10-14 00:02:48,上海,
15,7425243592555334964,,,,,,,,,,,,L1,7425259327282594612,不是吧   这都对上了   我又怀疑自己了,无梦之梦何以生意,2487534386944923,0,0,2024-10-13 21:58:35,广东,
16,7425243592555334964,,,,,,,,,,,,L1,7425263707909030716,请央妈保护两个最好的孩子:王楚钦孙颖莎[感谢],素心丽人,103210998987,0,0,2024-10-13 22:15:34,福建,
17,7425243592555334964,,,,,,,,,,,,L1,7425301839488271130,等元旦不忙，去趟衡阳🇨🇳,✨湘子,76301873235,0,0,2024-10-14 00:43:36,浙江,
18,7425243592555334964,,,,,,,,,,,,L1,7425301941352071996,谢谢你[爱心]指导[玫瑰]！,朱英中,1591681271733111,0,0,2024-10-14 00:44:10,上海,
19,7425243592555334964,,,,,,,,,,,,L1,7425269736113537843,国庆看了中国大满贯,邢行行✓,101024549075,0,0,2024-10-13 22:38:56,湖北,
20,7425243592555334964,,,,,,,,,,,,L1,7425246327624500031,活力四射，第四[呲牙],南城微凉,1226652683602766,0,0,2024-10-13 21:08:07,山西,
21,7425243592555334964,,,,,,,,,,,,L1,7425414038706029372,可爱的中国,悠然见南山22566,3513691069220093,0,0,2024-10-14 07:59:00,吉林,
22,7425243592555334964,,,,,,,,,,,,L1,7425396787639124794,灶米底,洛洛子筠,3769582666125399,0,0,2024-10-14 06:52:07,江西,
23,7425243592555334964,,,,,,,,,,,,L1,7425477807688041253,没事[呲牙][呲牙][呲牙]我独立了,三  少,3734421828811496,0,0,2024-10-14 12:06:23,辽宁,
24,7425243592555334964,,,,,,,,,,,,L1,7425348018100142874,工人当然最知道工人咯。我们工人一年工作330天340天。除了国庆就是春节才放假。[微笑],中国中国,319310385654391,0,0,2024-10-14 03:43:13,重庆,
25,7425243592555334964,,,,,,,,,,,,L1,7425401941776614155,营业人员和保安要随时遵守景区规则，那旅游景区收益量就越多，[感谢][感谢][感谢],放下一切，回归本我,1191513212857357,0,0,2024-10-14 07:12:06,浙江,
26,7425243592555334964,,,,,,,,,,,,L1,7425267754599498511,人从众,燕山长城,97784866119,1,0,2024-10-13 22:31:16,河北,
27,7425243592555334964,,,,,,,,,,,,L1,7425346573590250267,立即请对盗窃洗碗机专利的犯罪集团实施逮捕。希望大家勿被犯罪集团的诈骗欺骗。成为其非法获取利益的帮凶。从而被判处刑法。,中国中国,319310385654391,0,0,2024-10-14 03:37:33,重庆,
28,7425243592555334964,,,,,,,,,,,,L1,7425393926067159834,这种放假很不满意。,1755889796,93787902821,0,0,2024-10-14 06:40:59,山东,
29,7425243592555334964,,,,,,,,,,,,L1,7425346914244068156,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,0,0,2024-10-14 03:39:38,江西,
30,7425243592555334964,,,,,,,,,,,,L1,7425723899030045499,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,0,0,2024-10-15 04:02:21,江西,
31,7425243592555334964,,,,,,,,,,,,L1,7426105939986301754,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,0,0,2024-10-16 04:44:22,江西,
32,7425243592555334964,,,,,,,,,,,,L1,7425248131136930587,棒棒的[不失礼貌的微笑][不失礼貌的微笑][不失礼貌的微笑],艸莓熊,107764340113,0,0,2024-10-13 21:15:06,辽宁,
33,7425243592555334964,,,,,,,,,,,,L1,7425244625746707200,第一,卓尔不群,50593234023,0,0,2024-10-13 21:01:30,天津,
34,7425243592555334964,,,,,,,,,,,,L1,7425244018726388492,第一[赞][赞][赞],蓝色妖姬3,3509285173606647,1,0,2024-10-13 20:59:08,广东,
35,7425243592555334964,,,,,,,,,,,,L1,7425300680074429238,我怀疑我关注的是加人民网,一切随缘_18371,4503658149507423,0,0,2024-10-14 00:39:12,河北,
36,7425243592555334964,,,,,,,,,,,,L1,7425362904885084964,建议央视新闻封杀毒鸡汤涂磊，原因是为了个人利益发布捧杀女性不良言论，从而导致中国离婚率增高，生育率下降，做为一名公众人物，应该严格要求自己的言行举止，是否会引起国家的不良影响，希望中央新闻作出明确的决策，,@九璨,94811355127,0,0,2024-10-14 04:40:59,浙江,
37,7425243592555334964,,,,,,,,,,,,L1,7425275991091954432,❗❗❗重庆市江津区老街的祥瑞时尚天街的雀友雀棋牌室招牌楼下  的白箱箱是祥瑞时尚天街地下车库的排烟通道，全天24小时不分昼夜往空气中投放甲醛，导致老百姓生病致癌。,天下大同,76060125149,0,0,2024-10-13 23:03:13,重庆,
38,7425243592555334964,,,,,,,,,,,,L1,7425276368793191203,❗❗❗重庆市江津区老街的祥瑞时尚天街的雀友雀棋牌室招牌楼下  的白箱箱是祥瑞时尚天街地下车库的排烟通道，全天24小时不分昼夜往空气中投放甲醛，导致老百姓生病致癌。,天下大同,76060125149,0,0,2024-10-13 23:04:42,重庆,
39,7425243592555334964,,,,,,,,,,,,L1,7425291855220261690,十一黄金周景德镇发生的故意肇事事件，不知道你能不能看见，因为你带着人民二字，希望你了解一下谢谢,༃,104510664376,0,1,2024-10-14 00:04:50,云南,
40,7425243592555334964,,,,,,,,,,,,L1,7425362913805796108,建议央视新闻封杀毒鸡汤涂磊，原因是为了个人利益发布捧杀女性不良言论，从而导致中国离婚率增高，生育率下降，做为一名公众人物，应该严格要求自己的言行举止，是否会引起国家的不良影响，希望中央新闻作出明确的决策，,@九璨,94811355127,0,0,2024-10-14 04:40:56,浙江,
41,7425243592555334964,,,,,,,,,,,,L1,7425255187385828155,刀郎功不可没,拼搏2028,101187722176,0,0,2024-10-13 21:42:28,江西,
42,7425243592555334964,,,,,,,,,,,,L1,7425368479328469770,最少赔偿3000亿才能获得谅解。（全都转到国家医疗基金）,中国中国,319310385654391,0,0,2024-10-14 05:02:22,重庆,
43,7425243592555334964,,,,,,,,,,,,L1,7425250004064928550,以后出去玩就说去给祖国的发展做贡献去[捂脸],娜姐~,108656341177,0,0,2024-10-13 21:22:20,浙江,
44,7425243592555334964,,,,,,,,,,,,L1,7425245026283209487,第二[互粉][互粉][互粉],亚克力加工制作、,70446049230,0,0,2024-10-13 21:03:05,河北,
