序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7427292024266558746,秋收正当时，处处好丰光！风吹麦浪遍地黄、万亩高粱别样红、稻鱼共生绿意浓...今年全国秋粮有望再获丰收🎉 #绘说现代化,https://www.douyin.com/video/7427292024266558746,1729301401,97,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3683,153,96,199841,69,video,,,,,,,,,
2,7427292024266558746,,,,,,,,,,,,L1,7427459270092276537,让农村人过的好一点，农民太苦了，农村的老人生活与时代格格不入[流泪][流泪][流泪][流泪][流泪],平安就好。,4410891040209085,11,0,2024-10-19 20:15:26,山东,
3,7427292024266558746,,,,,,,,,,,,L1,7427294495954141986,第一名🥇,明天去骑车,62462453093,2,0,2024-10-19 09:36:08,云南,
4,7427292024266558746,,,,,,,,,,,,L1,7427307725228917561,谷贱伤农,景和,558985698608046,3,0,2024-10-19 10:27:24,山东,
5,7427292024266558746,,,,,,,,,,,,L1,7437077807790768931,视频写风吹稻浪，标题写风吹麦浪。怎么不一样啊,逍遥游,74079350322,0,0,2024-11-14 18:20:18,山东,
6,7427292024266558746,,,,,,,,,,,,L1,7427293695563203386,大丰收,隔壁邻居,62482664419,1,1,2024-10-19 09:32:58,四川,
7,7427292024266558746,,,,,,,,,,,,L1,7427755157276033846,俺父亲种了几亩地玉米 忙了一季 最后一算账不挣钱[捂脸],众汇电脑,71293913857,2,0,2024-10-20 15:23:39,河南,
8,7427292024266558746,,,,,,,,,,,,L1,7428095265422312249,一斤玉米买不下一瓶矿泉水！！！提高农产品价格，降低成本，农民太辛苦了！！！,童心圆,107890972144,1,0,2024-10-21 13:23:28,陕西,
9,7427292024266558746,,,,,,,,,,,,L1,7427705208069014281,"@
.",欧生金属回收,96401799614,0,0,2024-10-20 12:09:49,广东,
10,7427292024266558746,,,,,,,,,,,,L1,7427472798517723964,..7,水波,1381440673028461,0,0,2024-10-19 21:07:56,福建,
11,7427292024266558746,,,,,,,,,,,,L1,7427757732754916132,样样丰收那今年就不怕饿了吗？,琴姐,3210180126310957,1,0,2024-10-20 15:33:39,广西,
12,7427292024266558746,,,,,,,,,,,,L1,7428669360673571620,秋收正当时，怎么风吹麦浪遍地黄？,福佑吾畅行,88046453874,2,0,2024-10-23 02:31:45,山东,
13,7427292024266558746,,,,,,,,,,,,L1,7427342120882569984,用收割机收粮“污染环境”了，不怕环保部门严查吗[晕],风起天阑,68191541118,0,0,2024-10-19 12:40:52,河北,
14,7427292024266558746,,,,,,,,,,,,L1,7427324936770028340,秋收正当时，处处好风光[微笑],英雄记,106609542024,1,0,2024-10-19 11:34:16,贵州,
15,7427292024266558746,,,,,,,,,,,,L1,7427347426375467813,丰收的中国美如画[感谢][感谢][感谢][赞][赞][赞],濮风捉影,97132112727,0,0,2024-10-19 13:01:27,河南,
16,7427292024266558746,,,,,,,,,,,,L1,7427348489422209826,谁家在收麦子,雪花那个飘,1204676762286989,1,0,2024-10-19 13:05:35,天津,
17,7427292024266558746,,,,,,,,,,,,L1,7427309098897261347,我们农民种的玉米小麦太便宜了去了肥料种子什么几个钱！,独来独往谁谁懂我的心！,102744504499,2,0,2024-10-19 10:32:47,山东,
18,7427292024266558746,,,,,,,,,,,,L1,7427304101153129235,该回家收麦子了[赞],去幽,2969159746982797,2,0,2024-10-19 10:13:21,新疆,
19,7427292024266558746,,,,,,,,,,,,L1,7427314088920138553,我爸说今年的玉米价格非常低，咱就说这个价格呀能不能管控一下[流泪],招财小锦鲤,78196497100,3,1,2024-10-19 10:52:07,河南,
20,7427292024266558746,,,,,,,,,,,,L1,7427314383661105978,菏泽都不是机器下雨全是从地里背,芒果奶茶,74828131161,0,0,2024-10-19 10:53:14,山东,
21,7427292024266558746,,,,,,,,,,,,L1,7428043701085750067,春华秋实，祝福祖国繁荣昌盛[比心],用户093132　　　　　　　   🪳,2704413036383581,0,0,2024-10-21 10:03:22,广西,
22,7427292024266558746,,,,,,,,,,,,L1,7427436644100178742,广西稻谷也熟了,〃香水有毒a～,51206844459,0,0,2024-10-19 18:47:41,广东,
23,7427292024266558746,,,,,,,,,,,,L1,7427298844150448935,好早哦，我还在床上，人民网已经更新视频了[呲牙],雾散人也散,96699717256,4,0,2024-10-19 09:52:56,贵州,
24,7427292024266558746,,,,,,,,,,,,L1,7427323551072142120,谷贱伤农,柿子树的夏天【乡愁】,65536439392,0,0,2024-10-19 11:28:50,北京,
25,7427292024266558746,,,,,,,,,,,,L1,7427305498862584576,张先生: 春种一粒粟，秋收万颗子,冰糖妈咪,3947684451859562,0,0,2024-10-19 10:18:45,广东,
26,7427292024266558746,,,,,,,,,,,,L1,7427951496786559754,新疆是个好地方[玫瑰][玫瑰][玫瑰][比心][比心][比心],淡定饼干,2001585382104766,0,0,2024-10-21 04:06:12,江苏,
27,7427292024266558746,,,,,,,,,,,,L1,7427293702626132788,这粮食看着是不错喜欢！可是一提到价格！心如刀割[流泪][流泪][流泪][流泪][流泪],Yori ' 尤你,360230517491582,20,0,2024-10-19 09:33:01,山东,
28,7427292024266558746,,,,,,,,,,,,L1,7427295414778725154,大丰收，厉害了大中国[舔屏][舔屏][舔屏],山东鲍斯（柒彩）新材料有限公司💯,63949863228,4,0,2024-10-19 09:39:39,山东,
29,7427292024266558746,,,,,,,,,,,,L1,7427295145014608698,价格[捂脸][捂脸][捂脸],白河御果园🍑,97297241273,2,0,2024-10-19 09:38:39,湖南,
30,7427292024266558746,,,,,,,,,,,,L1,7427293188727309113,第一位,难得CC,97994748401,0,0,2024-10-19 09:31:00,江西,
