序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7429939082479881487,茂名的荔枝、枣庄的石榴、东山的海鲜…90秒看中国农业大有可为！#绘说现代化,https://www.douyin.com/video/7429939082479881487,1729917795,94,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,8887,1259,1275,545252,2007,video,,,,,,,,,
2,7429939082479881487,,,,,,,,,,,,L1,7430308798802674473,我就想问一下，我们江苏是什么？,水灵儿,97863212619,112,0,2024-10-27 12:33:06,江苏,
3,7429939082479881487,,,,,,,,,,,,L1,7430307851925799720,4毛钱一斤的玉米，没矿泉水值钱[捂脸],O W,3787145900993743,144,0,2024-10-27 12:29:27,山东,
4,7429939082479881487,,,,,,,,,,,,L1,7430309783234560777,农学生找不到工作，农产品卖不出去，确实大有可为[赞][赞][赞][赞][赞],梦难忘你,3315773305798791,47,0,2024-10-27 12:36:55,重庆,
5,7429939082479881487,,,,,,,,,,,,L1,7430292225836303145,我爸种了一辈子粮食，小时候多少钱现在也多少钱一斤！谷贱伤农！,海底世界,111146708586,161,4,2024-10-27 11:28:47,广东,
6,7429939082479881487,,,,,,,,,,,,L1,7430309624077206313,大概率，你们是不种地吧，我们这里玉米九毛多一斤。,王诣博,3294604242715388,68,0,2024-10-27 12:36:17,山东,
7,7429939082479881487,,,,,,,,,,,,L1,7430290965074166565,我们老家这边卖大米都没有人收了，听说是什么残留农药超标？反正卖没有人要了，也没有人管[捂脸],边城浪子,103004216098,24,3,2024-10-27 11:23:53,贵州,
8,7429939082479881487,,,,,,,,,,,,L1,7429945243855160118,茂名荔枝上人民网[比心],星辰（生活号）,60538791897,34,2,2024-10-26 13:02:21,广东,
9,7429939082479881487,,,,,,,,,,,,L1,7430307304371307279,东北农民种了一年地发现倒欠四百[捂脸]是真的吗[流泪],胖大Q,75512703040,136,0,2024-10-27 12:27:18,重庆,
10,7429939082479881487,,,,,,,,,,,,L1,7430306777360532265,作为农业大省发现90秒看中国农业发现没有农业大省[捂脸][OK],AAA须弥寻林官（前教令院学者）,2969117914577031,52,0,2024-10-27 12:25:13,河南,
11,7429939082479881487,,,,,,,,,,,,L1,7430292745451029263,听说今年粮食又增产了啊[大笑],平常心,852851845771310,32,4,2024-10-27 11:30:48,江苏,
12,7429939082479881487,,,,,,,,,,,,L1,7430295060060635938,东北的农民一年下来不赚钱，白挨累，甚至有很多的都赔钱，承包土地不用想，必赔。照这样下去大家准备弃田了。,清风,101697855615,20,0,2024-10-27 11:39:46,辽宁,
13,7429939082479881487,,,,,,,,,,,,L1,7430307345164485376,读农业的人欲仙欲死，直接润了[黑脸][黑脸][黑脸][黑脸],翟天临，我终于能睡个好觉了 🍄🍄,470233349632571,25,0,2024-10-27 12:27:26,新西兰,
14,7429939082479881487,,,,,,,,,,,,L1,7430289879882384139,河北有什么？,梦里梦外,81028643096,20,5,2024-10-27 11:19:43,河北,
15,7429939082479881487,,,,,,,,,,,,L1,7430301794787427106,[微笑]所以，土地兼并开始了么,北辰,100809491487,13,0,2024-10-27 12:05:53,广东,
16,7429939082479881487,,,,,,,,,,,,L1,7430296831185535771,农业是根本，农民是衣食父母，要善待人民。,大土土奎,3879528267785015,14,0,2024-10-27 11:46:38,江苏,
17,7429939082479881487,,,,,,,,,,,,L1,7430294721563575050,中国农业样样强[赞]样样丰收做宣扬[赞]壮我中华[一起加油]啥时候也让辛苦一年的农民也可以对美好有所向往，可以轻松空闲的享受我大中国的美好[一起加油][一起加油][一起加油],用户3925598767386,3164807800559660,8,2,2024-10-27 11:38:26,山东,
18,7429939082479881487,,,,,,,,,,,,L1,7429947959528391439,高州根子贡园荔枝[一起加油],手机用户82235972492豪,82235972492,12,1,2024-10-26 13:12:53,广东,
19,7429939082479881487,,,,,,,,,,,,L1,7430038251966382907,我们潮汕金灶杨梅如何评价呢[尬笑][尬笑][尬笑],燕姐姐要努力呀,1093392833717488,6,0,2024-10-26 19:03:12,广东,
20,7429939082479881487,,,,,,,,,,,,L1,7430299633055859465,智慧农业推广的怎样了啊,阿坤,93337271851,3,0,2024-10-27 11:57:30,湖北,
21,7429939082479881487,,,,,,,,,,,,L1,7430308842238837561,东北农民种了一年地发现倒欠四百,李,1038375005988391,24,0,2024-10-27 12:33:18,江苏,
22,7429939082479881487,,,,,,,,,,,,L1,7430309015592272655,我喜欢吃陕西的苹果🍎，我是江西赣南多，有没有人来互换的[尬笑]我们赣南脐橙多。,🌸এ᭄浅笑不语꧔ꦿ᭄🌸,76737223722,23,0,2024-10-27 12:33:55,江西,
