序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7432554739042176308,设备“更新”产业“焕新”！100秒看“两新”工作新在哪🔥 #绘说现代化,https://www.douyin.com/video/7432554739042176308,1730526524,98,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,17898,3565,4175,1012916,4972,video,,,,,,,,,
2,7432554739042176308,,,,,,,,,,,,L1,7432718491146421019,落到实处，这么大块肉，又有不少人惦记,悠然自在,109288143336,70,0,2024-11-03 00:23:56,福建,
3,7432554739042176308,,,,,,,,,,,,L1,7432682099318113075,来个课代表吧[泣不成声],春风和煦,95512130448,75,4,2024-11-02 22:02:40,山东,
4,7432554739042176308,,,,,,,,,,,,L1,7432701826367341371,AI智能工业化，智慧城市 工业互联网；未来可能底层人士也能双休了[鼓掌],生话好物推荐,3936710217972664,132,0,2024-11-02 23:19:15,广西,
5,7432554739042176308,,,,,,,,,,,,L1,7432773562287588156,老旧船舶报废政策啥时候开始啊[捂脸],未命名@,82370272826,33,0,2024-11-03 03:58:22,广东,
6,7432554739042176308,,,,,,,,,,,,L1,7432761214423876389,这个可以有，加大力度！！！非常漂亮的国家,海誓山盟不相忘,2766001392064068,6,0,2024-11-03 03:10:07,贵州,
7,7432554739042176308,,,,,,,,,,,,L1,7432766703388164900,金龙机电！！！？,早八八,175513644308392,19,0,2024-11-03 03:31:31,浙江,
8,7432554739042176308,,,,,,,,,,,,L1,7432719785476342578,高科技，新型工业化[赞][赞][赞],潮乡卫士,109201965756,12,0,2024-11-03 00:29:05,浙江,
9,7432554739042176308,,,,,,,,,,,,L1,7432758835490014012,别什么faker不faker了，多看看这些,句句在li👨‍👩‍👦,1832260640181037,61,0,2024-11-03 03:00:50,江苏,
10,7432554739042176308,,,,,,,,,,,,L1,7432765357687948032,@汉举互娱: 啥时候给我们小微企业设备更新下，哈哈。国家设备补贴，补贴的品牌电脑，那玩意是正经公司用的么？再补贴它还是贵[抠鼻]，还不实用。,自由如风,3426535095145627,23,0,2024-11-03 03:26:23,天津,
