序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7435470357861059891,相约进博、共享未来，一起感受中国式现代化的磅礴力量！ #绘说现代化,https://www.douyin.com/video/7435470357861059891,1731205610,104,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1712,85,98,130149,18,video,,,,,,,,,
2,7435470357861059891,,,,,,,,,,,,L1,7435506110976607016,未来属于中国，未来属于你我[赞][赞][赞],秋寺吟,3755534104147440,1,0,2024-11-10 12:41:17,河南,
3,7435470357861059891,,,,,,,,,,,,L1,7435488627641107200,上海的进博，世界的窗口！[赞],北纬31°的ta💔,134596338914976,0,0,2024-11-10 11:33:28,江苏,
4,7435470357861059891,,,,,,,,,,,,L1,7435472830211244852,未来属于中国，未来属于你我[赞][赞][赞],蓝星上校,93934464119,0,0,2024-11-10 10:32:13,广东,
5,7435470357861059891,,,,,,,,,,,,L1,7435858477555385140,丰畗多彩,火蓝2020,1556505184972526,1,0,2024-11-11 11:28:41,上海,
6,7435470357861059891,,,,,,,,,,,,L1,7435508076670878475,一路长红,兰兰,4054597214937831,0,0,2024-11-10 12:48:55,江西,
7,7435470357861059891,,,,,,,,,,,,L1,7437303441305748283,是在哪个会馆举行？,HUI,60884550741,0,0,2024-11-15 08:55:58,上海,
8,7435470357861059891,,,,,,,,,,,,L1,7435484256245826341,这是哪里的展管[赞][赞],梅子（男装）,101907346827,0,0,2024-11-10 11:16:31,广东,
9,7435470357861059891,,,,,,,,,,,,L1,7435542180637393690,….,小宋睡觉了,96796702842,0,0,2024-11-10 15:01:20,上海,
10,7435470357861059891,,,,,,,,,,,,L1,7462233258819846952,祝祖国繁茉昌盛，国泰民安[赞][赞][赞][赞][赞][赞][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][感谢][感谢][感谢],七妹纺织,111192037959,0,0,2025-01-21 13:16:21,湖南,
11,7435470357861059891,,,,,,,,,,,,L1,7435954157137937192,@[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][平安果][平安果][平安果][平安果][平安果][平安果][平安果][平安果][平安果][平安果][平安果][平安果][平安果][平安果][平安果][平安果][平安果][平安果][平安果],彭海,2802010493552971,0,0,2024-11-11 17:39:59,云南,
12,7435470357861059891,,,,,,,,,,,,L1,7435484682503865127,祝祖国繁荣昌盛[玫瑰],欣怡,4265727255913166,0,0,2024-11-10 11:18:09,甘肃,
13,7435470357861059891,,,,,,,,,,,,L1,7435482411125441319,哇塞,～颖姐～,68383154904,1,0,2024-11-10 11:09:22,河北,
14,7435470357861059891,,,,,,,,,,,,L1,7435481009703502642,祖国繁荣昌盛,小小的幸福,96042671779,1,0,2024-11-10 11:03:54,辽宁,
15,7435470357861059891,,,,,,,,,,,,L1,7435479744009192202,第五,阿可小屋ʕ ᵔᴥᵔ ʔ,13545609071,1,0,2024-11-10 10:58:59,湖南,
16,7435470357861059891,,,,,,,,,,,,L1,7435473422392083200,第二,芍药,1600489858276856,2,0,2024-11-10 10:34:29,安徽,
17,7435470357861059891,,,,,,,,,,,,L1,7435472037743051571,第一,3ꦿ有᭄李ﻬ说ঞ不꧔ꦿ໌້ᮨ清࿐,93905265721,0,0,2024-11-10 10:29:06,浙江,
18,7435470357861059891,,,,,,,,,,,,L1,7435550786442691388,[赞][赞][赞][抱抱你][抱抱你][抱抱你][爱心][爱心][爱心],江运芳,2867168593587583,0,0,2024-11-10 15:34:42,江西,
19,7435470357861059891,,,,,,,,,,,,L1,7435954079832130344,@[气球][气球][气球][气球][气球][气球][气球][气球][气球][气球][气球][气球][气球][气球][气球][气球][栓Q][栓Q][栓Q][栓Q][栓Q][栓Q][栓Q][栓Q][栓Q][栓Q][栓Q][栓Q][栓Q][栓Q][栓Q][栓Q][栓Q][栓Q][666][666][666][666][666][666][666][666][666][666][666][666][666][666][666][666][666][礼物][礼物][礼物][礼物][礼物][礼物][礼物][礼物][礼物][礼物][礼物][礼物][礼物][礼物][礼物][礼物][礼物][礼物],彭海,2802010493552971,0,0,2024-11-11 17:39:40,云南,
