序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7437907374364495119,我国制造业规模已连续14年位居世界第一！60秒看中国制造步履铿锵🔥#绘说现代化,https://www.douyin.com/video/7437907374364495119,1731772786,59,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,6154,309,492,370747,192,video,,,,,,,,,
2,7437907374364495119,,,,,,,,,,,,L1,7437908393665053474,中国制造，中国智造,无休止的黄昏,91697662562,0,0,2024-11-17 00:03:26,辽宁,
3,7437907374364495119,,,,,,,,,,,,L1,7437951877662819099,那些都是孩子呀，跟我同龄的同校同学，我们都是孩子呀。为什么会这样[流泪][流泪][流泪][流泪][流泪],GEM！,94465121951,17,0,2024-11-17 02:52:29,江苏,
4,7437907374364495119,,,,,,,,,,,,L1,7437930612860961548,睡不着看看人民网发的啥,知许,72221446495,10,2,2024-11-17 01:29:51,安徽,
5,7437907374364495119,,,,,,,,,,,,L1,7438064017326146338,12小时班上的快要崩溃了[流泪][流泪][流泪],几公里几瓶酒,102226864364,13,4,2024-11-17 10:07:20,山西,
6,7437907374364495119,,,,,,,,,,,,L1,7437972946792612645,中铁7局，高铁铁路材料造假这么处理啊[玫瑰],三片❄️,1543320331100315,23,6,2024-11-17 04:14:22,四川,
7,7437907374364495119,,,,,,,,,,,,L1,7437909142192423730,今天怎么没发美食了,🌈兔比浪波万,61632054000,1,1,2024-11-17 00:06:18,安徽,
8,7437907374364495119,,,,,,,,,,,,L1,7437910031566373689,睡觉，人民日报，这么晚还发[呲牙],落叶🍂,3676408740581488,1,0,2024-11-17 00:09:51,新疆,
9,7437907374364495119,,,,,,,,,,,,L1,7438296775175848762,中国制造！世界第一！[赞][赞],.一笑而过.-,1063957970556343,0,0,2024-11-18 01:10:46,河北,
10,7437907374364495119,,,,,,,,,,,,L1,7437912753110811431,反霸权该亮剑了，反正是他们先掀桌子的！,ㅤㅤㅤㅤㅤㅤㅤㅤ广告  xㅤㅤㅤㅤㅤ,57752336434,3,0,2024-11-17 00:20:21,广东,
11,7437907374364495119,,,,,,,,,,,,L1,7437907666179916584,第一[送心][送心][送心],迪士尼在逃🐮🐎,62277615051,2,1,2024-11-17 00:00:37,江苏,
12,7437907374364495119,,,,,,,,,,,,L1,7437991789971456808,宝子：你熬夜写文案呐！,-醉红尘-,2049133473960039,2,0,2024-11-17 05:27:18,广东,
13,7437907374364495119,,,,,,,,,,,,L1,7437983670600024844,上个视频为什么没有评论[疑问],[粉发][装酷][黄发][绿发],59241562367,10,6,2024-11-17 04:55:50,河北,
14,7437907374364495119,,,,,,,,,,,,L1,7437981640154481443,真厉害 点赞👍🏿,七夜.,224765921732894,0,0,2024-11-17 04:47:59,江苏,
15,7437907374364495119,,,,,,,,,,,,L1,7437911797120369465,玛卡巴卡。晚上，我刚吃了宵夜[呆无辜],Lmql,85871220920,0,0,2024-11-17 00:16:40,广东,
16,7437907374364495119,,,,,,,,,,,,L1,7438205748595295002,科技与狠活，第一大国，造福国人！,61博🌈,73729161349,4,0,2024-11-17 19:17:15,河南,
17,7437907374364495119,,,,,,,,,,,,L1,7437908898650997543,祖国繁荣昌盛！,小福,98138702758,0,0,2024-11-17 00:05:25,湖北,
18,7437907374364495119,,,,,,,,,,,,L1,7437995230777180965,近十年中国制造发展超过历史以往时期[比心][比心],荒漠,99647460596,0,0,2024-11-17 05:40:32,湖北,
19,7437907374364495119,,,,,,,,,,,,L1,7437908091271938879,祖国繁荣,用户8428621784714,3789387696978523,0,0,2024-11-17 00:02:14,江苏,
20,7437907374364495119,,,,,,,,,,,,L1,7438040360343290662,祖国强大起来国泰民安人民富起来,阴雨天,64264885208,2,0,2024-11-17 08:35:30,浙江,
21,7437907374364495119,,,,,,,,,,,,L1,7438038694970622780,我们是发达国家啦，生活水平幸福感提高,奋斗🉐小郭,106786886361,1,2,2024-11-17 08:29:07,北京,
