序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7443001784550935859,100秒看科技强国扎实推进！一起感受中国式现代化的磅礴力量！#绘说现代化,https://www.douyin.com/video/7443001784550935859,1733014800,100,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3117,287,863,207555,61,video,,,,,,,,,
2,7443001784550935859,,,,,,,,,,,,L1,7443243361014072114,国强民则强，这是硬道哩[赞][赞][赞],扬中市优佳米业,111188778004,15,2,2024-12-01 09:05:47,江苏,
3,7443001784550935859,,,,,,,,,,,,L1,7443243328072713018,人民有信仰国家有力量,常规鼓掌,110801131836,9,0,2024-12-01 09:05:41,广东,
4,7443001784550935859,,,,,,,,,,,,L1,7443738162180817664,科技兴国,平凡中的精彩,7433231363438675004,1,0,2024-12-02 17:05:54,陕西,
5,7443001784550935859,,,,,,,,,,,,L1,7443242925573784358,第一第一,闲人李,54260414755,4,0,2024-12-01 09:04:06,山东,
6,7443001784550935859,,,,,,,,,,,,L1,7443247031244899129,科技兴国！[赞][赞],.一笑而过.-,1063957970556343,6,0,2024-12-01 09:20:04,河北,
7,7443001784550935859,,,,,,,,,,,,L1,7443246754231157555,科技强国[赞][赞][赞],顺其自然,109514157383,2,0,2024-12-01 09:18:58,河南,
8,7443001784550935859,,,,,,,,,,,,L1,7443245992047493928,人民有信仰国家有力量,小糯米妈咪,1256090938389609,5,0,2024-12-01 09:16:04,广东,
9,7443001784550935859,,,,,,,,,,,,L1,7443257284845093642,科技强国！[赞][赞][赞],一许星回.,2236856876154279,2,0,2024-12-01 09:59:50,江西,
10,7443001784550935859,,,,,,,,,,,,L1,7443243452320826164,喲蹲个第一[灵机一动][灵机一动][灵机一动],GY健坤,1173869467540318,4,0,2024-12-01 09:06:13,广东,
11,7443001784550935859,,,,,,,,,,,,L1,7445495539619595068,科技兴国，热血沸腾，强国富民,小姚同学你好,111131745220,1,0,2024-12-07 10:45:23,辽宁,
12,7443001784550935859,,,,,,,,,,,,L1,7443244638091658044,太棒了，我们的国家[鼓掌][鼓掌][鼓掌],Agoni,63274532631,5,0,2024-12-01 09:10:45,浙江,
13,7443001784550935859,,,,,,,,,,,,L1,7443266451577144123,科技科技科技[赞][赞][赞],阮呀阮,70893052862,1,0,2024-12-01 10:35:26,浙江,
14,7443001784550935859,,,,,,,,,,,,L1,7443246155653841721,感恩有你，一路同行，未来可期，，加油加油加油[感谢][感谢][感谢][感谢]！！！！,现世安稳,2906764362393661,2,0,2024-12-01 09:16:39,河北,
15,7443001784550935859,,,,,,,,,,,,L1,7443242555595162428,💪🏻科技提升速度，创新彰显高度,爱吃的小金鱼,60647498264,4,0,2024-12-01 09:02:42,安徽,
16,7443001784550935859,,,,,,,,,,,,L1,7443244870669550395,祖国越来越强大[赞][赞][赞],凤侠,111574333391,3,0,2024-12-01 09:11:38,河南,
17,7443001784550935859,,,,,,,,,,,,L1,7443243455168414503,我在重庆快冷死了,志祥电器维修中心,84661487112,3,1,2024-12-01 09:06:12,重庆,
18,7443001784550935859,,,,,,,,,,,,L1,7443431107246883644,科技兴国！人才强国！,是甜甜的冰激凌(见过颜安版),3582679639927132,8,1,2024-12-01 21:14:18,天津,
19,7443001784550935859,,,,,,,,,,,,L1,7443242547151012667,祖国强大 人民幸福,透过糖纸看世界的蜗牛🐌,54743544625,3,0,2024-12-01 09:02:37,河北,
20,7443001784550935859,,,,,,,,,,,,L1,7443626287396602684,人民有信仰，国家有力量！,司马浩,68497448563,1,0,2024-12-02 09:51:45,上海,
21,7443001784550935859,,,,,,,,,,,,L1,7449232224920945420,这小眼神勾搭住我了[泪奔],张小葱,712079214121367,0,0,2024-12-17 12:25:41,黑龙江,
22,7443001784550935859,,,,,,,,,,,,L1,7450092424401552128,祝祖国早日实现人人脱贫奔上小康的目标,小玥玥3.20,4299542755550048,0,0,2024-12-19 20:03:38,广东,
23,7443001784550935859,,,,,,,,,,,,L1,7443288439158096699,越来越强大了，我的国,阳阳的宝藏,96492448231,0,0,2024-12-01 12:00:42,河北,
24,7443001784550935859,,,,,,,,,,,,L1,7443332394508567337,普通人，真的很快乐！,归,4066409293288691,0,0,2024-12-01 14:51:20,广东,
25,7443001784550935859,,,,,,,,,,,,L1,7443250123641815835,强大了我的国,魂爷,59588978088,1,0,2024-12-01 09:32:04,陕西,
26,7443001784550935859,,,,,,,,,,,,L1,7443243618662187830,与时俱进[赞][赞][赞],福泉永,4108216678485598,3,0,2024-12-01 09:06:50,福建,
27,7443001784550935859,,,,,,,,,,,,L1,7443499148663554874,第一个镜头。那不是拉斯维加斯么[看],皮猪肉席常静,68752136131,3,0,2024-12-02 01:38:33,福建,
28,7443001784550935859,,,,,,,,,,,,L1,7443252163407823667,致敬奋战在一线的科研工作者们，用实力撑起咱的腰杆[赞][赞][赞],天选🌈之子,1480401392506064,0,0,2024-12-01 09:39:59,安徽,
29,7443001784550935859,,,,,,,,,,,,L1,7444903040391856936,科技是第一生产力,盛夏与蝉鸣,77989845860,0,0,2024-12-05 20:26:11,江苏,
30,7443001784550935859,,,,,,,,,,,,L1,7443288719823897402,造福，人民,小孟神龙液压油管润滑油,71697913455,0,0,2024-12-01 12:01:46,山东,
31,7443001784550935859,,,,,,,,,,,,L1,7443260266970743611,创新 创造,8D_易,71418999348,0,0,2024-12-01 10:11:24,吉林,
32,7443001784550935859,,,,,,,,,,,,L1,7535977764836426537,科技兴国[赞][赞][赞][赞][赞][赞][赞][赞],用户4161753682746,3781972521137192,0,0,2025-08-08 06:42:43,山东,
33,7443001784550935859,,,,,,,,,,,,L1,7443242613862417161,抖主，看不懂啊，能不能多做点儿关于体育的，水里面的，你看怎么样[灵机一动][灵机一动][灵机一动],用户9876632595096,281949288533576,4,0,2024-12-01 09:02:56,河南,
34,7443001784550935859,,,,,,,,,,,,L1,7445103352847336249,[赞][赞][赞][赞][赞],一滴水,104490355189,0,0,2024-12-06 09:23:31,广东,
35,7443001784550935859,,,,,,,,,,,,L1,7446268329381397287,[赞][赞][赞],反派小饼干,108148736907,0,0,2024-12-09 12:44:12,甘肃,
