序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7445275868512931087,6轴7廊8通道，主骨架加快成型；国产大飞机C919，三大航全部投入运营…交通强国，步履不停！#绘说现代化,https://www.douyin.com/video/7445275868512931087,1733533200,73,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2424,80,40,149688,42,video,,,,,,,,,
2,7445275868512931087,,,,,,,,,,,,L1,7445471913562243892,居然有重庆轻轨三号线也[赞][赞][赞],魑魅魍魉,53147838710,4,1,2024-12-07 09:13:43,重庆,
3,7445275868512931087,,,,,,,,,,,,L1,7445545758336074553,祖国越来越强大,阳阳的宝藏,96492448231,1,0,2024-12-07 14:00:16,河北,
4,7445275868512931087,,,,,,,,,,,,L1,7445472818521850634,中国的交通，是世界上最强的，没有之一！[玫瑰],独狼,1572760635063091,2,0,2024-12-07 09:17:16,广东,
5,7445275868512931087,,,,,,,,,,,,L1,7445471074999124751,迈向科技强国，祖国加油！[赞][赞][赞],齊天大聖,107912436347,0,0,2024-12-07 09:10:29,上海,
6,7445275868512931087,,,,,,,,,,,,L1,7445470015817007910,愿祖国繁荣昌盛[呲牙][呲牙][呲牙],小白,704119240140584,6,0,2024-12-07 09:06:25,广东,
7,7445275868512931087,,,,,,,,,,,,L1,7445549878891823931,愿祖国越来越强大,阳阳的宝藏,96492448231,1,0,2024-12-07 14:16:16,河北,
8,7445275868512931087,,,,,,,,,,,,L1,7445471890800296723,为祖国点赞[比心][比心][比心],花谢花飞，宁安如梦🍀,110921287699,0,0,2024-12-07 09:13:40,江西,
9,7445275868512931087,,,,,,,,,,,,L1,7445501525901968166,祖国繁荣昌盛国泰民安,多柳蒸刚,105138449331,1,0,2024-12-07 11:08:37,辽宁,
10,7445275868512931087,,,,,,,,,,,,L1,7445496692784661298,主要配置都是国产化，真厉害,崔大哥讲故事,9238808631108,1,0,2024-12-07 10:49:51,内蒙古,
11,7445275868512931087,,,,,,,,,,,,L1,7445491820466864933,愿祖国繁华富强,国萍,1865235339686029,0,0,2024-12-07 10:30:57,广东,
12,7445275868512931087,,,,,,,,,,,,L1,7445839155928711999,中国强强[赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],明鑫好物,75417098181,0,0,2024-12-08 08:58:51,湖北,
13,7445275868512931087,,,,,,,,,,,,L1,7446550939291075338,[比心][比心][比心][666]路路通,云水间,111036550308,0,0,2024-12-10 07:00:58,吉林,
14,7445275868512931087,,,,,,,,,,,,L1,7445492152593630012,CBD好，真真好啊,万三千,80349428198,0,0,2024-12-07 10:32:15,广东,
15,7445275868512931087,,,,,,,,,,,,L1,7445963788203098937,食物安全可以管管么[尬笑],👧🏻,68200905305,1,0,2024-12-08 17:02:25,陕西,
16,7445275868512931087,,,,,,,,,,,,L1,7445468853058732826,要开飞机了吗,无 心,63778338087,1,0,2024-12-07 09:01:53,浙江,
17,7445275868512931087,,,,,,,,,,,,L1,7445470297632031488,永不停止的前进步伐[灵机一动][灵机一动][灵机一动],奔跑–🐎♀,107802693310,0,0,2024-12-07 09:07:32,贵州,
18,7445275868512931087,,,,,,,,,,,,L1,7445473413429084938,@[鼓掌][鼓掌][鼓掌][赞][赞][赞][赞],用户1639750767124,795678688160878,0,0,2024-12-07 09:19:34,浙江,
19,7445275868512931087,,,,,,,,,,,,L1,7445471497286239010,交通强国！我爱中国！,已重置,92330220349,0,0,2024-12-07 09:12:08,山东,
20,7445275868512931087,,,,,,,,,,,,L1,7445497258983195432,祖国复兴不可阻挡,过 客,1011145234190528,0,0,2024-12-07 10:52:07,北京,
21,7445275868512931087,,,,,,,,,,,,L1,7445917396978058044,应加速航空工业发展，大飞机项目能力还不够,老夫子,2159060619628435,0,0,2024-12-08 14:02:24,江苏,
22,7445275868512931087,,,,,,,,,,,,L1,7445874232150983451,畅通无阻的道路才是强国的标配,努力为了更好,58570350795,0,0,2024-12-08 11:14:57,浙江,
23,7445275868512931087,,,,,,,,,,,,L1,7445471018645521187,遵纪守法是每个公民的义务[玫瑰][玫瑰][玫瑰],芹菜儿,2673663804972701,1,0,2024-12-07 09:10:19,安徽,
24,7445275868512931087,,,,,,,,,,,,L1,7445474116092937001,[666][666][666],笑一笑,75705159480,0,0,2024-12-07 09:22:20,四川,
25,7445275868512931087,,,,,,,,,,,,L1,7445469678879851305,[赞][赞][赞],天天天蓝,59207519905,0,0,2024-12-07 09:05:07,安徽,
26,7445275868512931087,,,,,,,,,,,,L1,7445469507449897779,[爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心],依禾装饰官方号,106015877795,0,0,2024-12-07 09:04:25,吉林,
27,7445275868512931087,,,,,,,,,,,,L1,7445513360348775179,[赞][赞][赞],崛起东方黎明🇨🇳,84555776500,0,0,2024-12-07 11:54:32,河北,
28,7445275868512931087,,,,,,,,,,,,L1,7445471680547750706,[赞][赞][赞],cylijg,98122967349,0,0,2024-12-07 09:12:49,四川,
29,7445275868512931087,,,,,,,,,,,,L1,7445470007486235411,[玫瑰][玫瑰][玫瑰][咖啡][咖啡][咖啡][比心][比心][比心],初见·花开,3249812230127464,0,0,2024-12-07 09:06:21,河南,
30,7445275868512931087,,,,,,,,,,,,L1,7445469826892874547,[鼓掌][鼓掌][鼓掌],TinG,99973599377,0,0,2024-12-07 09:05:41,浙江,
31,7445275868512931087,,,,,,,,,,,,L1,7445524840796537635,[赞][赞][赞][爱心][爱心][爱心][比心][比心][比心][666][666][666],美好夜空,1433362356505469,0,0,2024-12-07 12:39:06,山西,
32,7445275868512931087,,,,,,,,,,,,L1,7445832216699781907,能做个仿生手雷吗？像老鼠一样[捂脸],毛毛虫,95058291069,0,0,2024-12-08 08:31:55,云南,
33,7445275868512931087,,,,,,,,,,,,L1,7445495002498106146,[赞][赞][赞],用户5975549681631,104235492456,0,0,2024-12-07 10:43:23,北京,
34,7445275868512931087,,,,,,,,,,,,L1,7445603393773355827,[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],人生苦短^O^,827260156273374,0,0,2024-12-07 17:43:55,云南,
35,7445275868512931087,,,,,,,,,,,,L1,7446167921161683772,[赞][赞][赞][一起加油][一起加油][一起加油][平安果][平安果][平安果],江运芳,2867168593587583,0,0,2024-12-09 06:14:38,江西,
36,7445275868512931087,,,,,,,,,,,,L1,7445480976043803404,[赞][赞][赞],福泉永,4108216678485598,0,0,2024-12-07 09:48:53,福建,
37,7445275868512931087,,,,,,,,,,,,L1,7445471739729380148,[赞][赞][赞][赞][赞][赞][赞][赞][赞],魑魅魍魉,53147838710,0,0,2024-12-07 09:13:04,重庆,
38,7445275868512931087,,,,,,,,,,,,L1,7446062666949706531,[赞][赞][赞],七妹纺织,111192037959,0,0,2024-12-08 23:26:12,湖南,
39,7445275868512931087,,,,,,,,,,,,L1,7445775019520738107,[赞][赞][赞][赞][赞][赞][赞][赞],盼望,2752783385625463,0,0,2024-12-08 04:50:14,云南,
40,7445275868512931087,,,,,,,,,,,,L1,7445493081111053106,真好,铜仁市煌达二手车,11328914037,0,0,2024-12-07 10:35:51,贵州,
