序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7448118137075109135,免签国“朋友圈”持续扩容、共建“一带一路”开启新篇...1分钟视频带你感受！#绘说现代化,https://www.douyin.com/video/7448118137075109135,1734150403,68,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2013,99,76,122093,46,video,,,,,,,,,
2,7448118137075109135,,,,,,,,,,,,L1,7448122961536959269,祖国越来越强大,世界波,104678465159,2,0,2024-12-14 12:41:08,河南,
3,7448118137075109135,,,,,,,,,,,,L1,7448140833432126223,祖国繁荣昌盛[玫瑰],曼曼曼曼曼曼曼,3721179379279488,4,0,2024-12-14 13:50:30,广西,
4,7448118137075109135,,,,,,,,,,,,L1,7448126270091035407,祝祖国繁荣昌盛 必须点赞[赞][赞][赞][赞],叶儿,60672517351,3,0,2024-12-14 12:54:00,湖南,
5,7448118137075109135,,,,,,,,,,,,L1,7448121899324703545,加油我的国[赞][赞],0762炸串,67173798395,4,0,2024-12-14 12:37:01,广东,
6,7448118137075109135,,,,,,,,,,,,L1,7448417077133722426,中国雄起[赞][赞][赞],星辰,1038356143408072,2,0,2024-12-15 07:42:27,北京,
7,7448118137075109135,,,,,,,,,,,,L1,7448122078540284730,祖国繁荣昌盛,响响,109069618591,1,0,2024-12-14 12:37:42,云南,
8,7448118137075109135,,,,,,,,,,,,L1,7448158799653929766,朋友下午好，今年前10小时，我国进口总额以人民币计算达到36:02万一,姐,3021052479551373,2,0,2024-12-14 15:00:14,江苏,
9,7448118137075109135,,,,,,,,,,,,L1,7448174135895687936,中国牛逼[玫瑰][赞][赞],@赵公子的故事,85633611400,0,0,2024-12-14 15:59:53,山东,
10,7448118137075109135,,,,,,,,,,,,L1,7448200940723290934,祖国强大[赞][赞][赞],顺其自然.,1005425784535267,0,0,2024-12-14 17:43:43,河北,
11,7448118137075109135,,,,,,,,,,,,L1,7448130178260288310,扩大开放，共建共享。,强,104571057851,6,0,2024-12-14 13:09:15,河南,
12,7448118137075109135,,,,,,,,,,,,L1,7448142846912381706,发展理念的成功，导致人在惬意中。,123全,70920186499,0,0,2024-12-14 13:58:24,北京,
13,7448118137075109135,,,,,,,,,,,,L1,7448144273344070463,[赞][赞][赞],金色阳光雨露,101065601296,1,0,2024-12-14 14:03:55,河南,
14,7448118137075109135,,,,,,,,,,,,L1,7448120399965160231,[赞][赞][赞],胖子不减肥,1107917100824989,2,0,2024-12-14 12:31:11,广东,
