序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,https://www.douyin.com/video/7453401499742342454,1735380309,58,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,6877,216,147,518799,2408,video,,,,,,,,,
2,7453401499742342454,,,,,,,,,,,,L1,7453449955753542426,[流泪][流泪][流泪]我有两个女儿，心都碎了,幸运星！！！,109129127417,440,0,2024-12-28 21:12:34,广西,
3,7453401499742342454,,,,,,,,,,,,L1,7453429216378897212,如果连妇女的基本安全都不能保证，这世界该如何发展,海薇,89200858536,137,1,2024-12-28 19:52:04,安徽,
4,7453401499742342454,,,,,,,,,,,,L1,7453407555662906151,是人民的网么？,喵,77521346725,125,0,2024-12-28 18:28:01,湖北,
5,7453401499742342454,,,,,,,,,,,,L1,7453421935713796904,11年太轻了,小煤球,66407801642,100,0,2024-12-28 19:23:55,四川,
6,7453401499742342454,,,,,,,,,,,,L1,7453450044520891194,十一年真的够吗？？？？？？？,咪咪快回家🐱,94192986709,164,0,2024-12-28 21:12:54,江苏,
7,7453401499742342454,,,,,,,,,,,,L1,7453438856735605562,十一年合理吗？？？,73-,1706067259831904,151,1,2024-12-28 20:29:30,四川,
8,7453401499742342454,,,,,,,,,,,,L1,7453401969772872460,十一年不够！！！！！！！！！！！！,我喜欢博博,2875922657585707,129,0,2024-12-28 18:06:21,安徽,
9,7453401499742342454,,,,,,,,,,,,L1,7453443164151137084,帮帮她吧，她只是想好好活着，活着而已啊[流泪],🌈若卿,97183503467,164,0,2024-12-28 20:46:12,陕西,
10,7453401499742342454,,,,,,,,,,,,L1,7453441243792999207,首先我很爱我的祖国，为中国自豪，其次也希望我爱的祖国保护妇女儿童[玫瑰][玫瑰][玫瑰],罗瘦瘦会化妆（在宜宾）,61377994430,310,1,2024-12-28 20:38:45,四川,
11,7453401499742342454,,,,,,,,,,,,L1,7453406029289489215,我在等大部队[流泪][流泪],明媚的驴,2859143848535924,558,6,2024-12-28 18:22:08,云南,
12,7453401499742342454,,,,,,,,,,,,L1,7453414623133598523,11年能干嘛？,花开来年之夏՞˶･֊･˶՞,3094462372779524,136,0,2024-12-28 18:55:29,吉林,
13,7453401499742342454,,,,,,,,,,,,L1,7453429532541813523,现在终于知道电影第二十条的含金量了！[苦涩],·灼灼·,4319353771923543,110,0,2024-12-28 19:53:20,山东,
14,7453401499742342454,,,,,,,,,,,,L1,7453425927570834227,11年[泣不成声],从久伴到酒伴,75436015725,121,0,2024-12-28 19:39:19,湖南,
15,7453401499742342454,,,,,,,,,,,,L1,7453438176356188962,保护妇女儿童，保护受害者,🫧,68716365209,268,0,2024-12-28 20:26:51,山西,
16,7453401499742342454,,,,,,,,,,,,L1,7453432765938402105,能不能帮帮她[泣不成声],夏月,109633363182,128,0,2024-12-28 20:05:50,福建,
17,7453401499742342454,,,,,,,,,,,,L1,7453452104126464828,@罗瘦瘦: 首先我很爱我的祖国，为中国自豪，其次也希望我爱的祖国保护妇女儿童[玫瑰][玫瑰][玫瑰],永红串串店（万盛店）,111176686010,146,0,2024-12-28 21:20:55,重庆,
18,7453401499742342454,,,,,,,,,,,,L1,7453438123725390630,我想想问问，到底在月球背面发现了什么[发呆],有故事的猫,100704564830,34,0,2024-12-28 20:26:40,陕西,
19,7453401499742342454,,,,,,,,,,,,L1,7453410305507410698,科技强国，祖国繁荣昌盛[比心][比心][比心]爱我大国🇨🇳,F小言午,54679817970,25,0,2024-12-28 18:38:41,广东,
20,7453401499742342454,,,,,,,,,,,,L1,7453444746745938688,帮帮她吧，她只是想好好活着，活着而已啊[流泪],星_⭐️,65345450521,183,0,2024-12-28 20:52:21,河北,
21,7453401499742342454,,,,,,,,,,,,L1,7453449514730799935,保护妇女儿童,甜酒丸子,521649390617849,132,0,2024-12-28 21:10:53,四川,
22,7453401499742342454,,,,,,,,,,,,L1,7453420948151092026,"[鼓掌][鼓掌][鼓掌][比心]
一个快奔6的人…
见证到祖国繁荣昌盛，飞跃猛进的科学历史进程！
[感谢][一起加油][一起加油][一起加油]",KENt哥,2557924435042963,3,0,2024-12-28 19:19:59,广东,
23,7453401499742342454,,,,,,,,,,,,L1,7453452034725921593,中国航天世界第二[赞][赞],用户8068995802422,1216539176224064,12,0,2024-12-28 21:20:37,陕西,
24,7453401499742342454,,,,,,,,,,,,L1,7453434299438678810,飞天下水中间还有原子，强大了我的国[比心][比心][比心],大漠飞沙云舞宝宝,1759678089663399,4,0,2024-12-28 20:11:49,山东,
25,7453401499742342454,,,,,,,,,,,,L1,7453423488809435964,视频呢？在哪里,愤怒的火柴人,3690380546278179,41,0,2024-12-28 19:29:51,福建,
26,7453401499742342454,,,,,,,,,,,,L1,7453419787332125449,结婚证不应成为丈夫殴打妻子的护身符！,家有可乐🐱,62013802015,134,0,2024-12-28 19:15:30,四川,
27,7453401499742342454,,,,,,,,,,,,L1,7453408626833834767,中华人民共和国万岁！！,菠萝汁好喝🍍,926246366877668,2,0,2024-12-28 18:32:11,广东,
28,7453401499742342454,,,,,,,,,,,,L1,7453445598848451355,想要结婚率，应该先保障妇女的合法权益,AAA橘子汽水批发,3276990789978392,70,1,2024-12-28 20:55:42,湖北,
29,7453401499742342454,,,,,,,,,,,,L1,7453407093115945769,大国崛起，向中国科学家致敬，向航天科学家致敬，祝福伟大的祖国繁荣昌盛,风调雨顺,105506387124,7,0,2024-12-28 18:26:16,浙江,
30,7453401499742342454,,,,,,,,,,,,L1,7453404213503689530,愿祖国繁荣昌盛，航天员凯旋归来。,遇见你婷好,3298132850906200,2,0,2024-12-28 18:15:03,黑龙江,
31,7453401499742342454,,,,,,,,,,,,L1,7453410829125567268,寻求法律公平公正人民才能安定团结生活幸福。,用户7633915205585,1830063419432088,42,0,2024-12-28 18:40:47,吉林,
32,7453401499742342454,,,,,,,,,,,,L1,7453429846875570980,@是小谢 好可怜,梦醒人生,98787822367,51,0,2024-12-28 19:54:32,广东,
33,7453401499742342454,,,,,,,,,,,,L1,7453409210329875212,有朝一日龙得水，我要长江水倒流[666],有为,100467887696,1,0,2024-12-28 18:34:30,浙江,
34,7453401499742342454,,,,,,,,,,,,L1,7453440776090223400,科技兴国[赞][赞][赞]为祖国点赞,银河系观察,104435950194,2,0,2024-12-28 20:36:56,四川,
35,7453401499742342454,,,,,,,,,,,,L1,7453454631928120103,死刑！,爱吃干脆面,259085668986908,4,0,2024-12-28 21:30:43,河南,
36,7453401499742342454,,,,,,,,,,,,L1,7453454478479131449,请保护妇女儿童,乾与乾寻,86089691294,8,0,2024-12-28 21:30:07,山东,
37,7453401499742342454,,,,,,,,,,,,L1,7453453741547914019,十一年啊😦！请祖国保护妇女儿童的权力[泣不成声],用户0951831496476,2305027700692456,99,0,2024-12-28 21:27:15,山东,
38,7453401499742342454,,,,,,,,,,,,L1,7453453481450799911,十一吗？,𝙡𝙞༠°,73792613743,51,0,2024-12-28 21:26:14,广东,
39,7453401499742342454,,,,,,,,,,,,L1,7453453465257378598,支持判死刑 保护妇女儿童,yanyan,52623339280,28,0,2024-12-28 21:26:11,浙江,
40,7453401499742342454,,,,,,,,,,,,L1,7453453301498512191,请问，是要去莫桑比克了吗？,春日龍井少冰五分糖,77444554092,3,0,2024-12-28 21:25:44,山东,
41,7453401499742342454,,,,,,,,,,,,L1,7453453316325557055,十一年一个女人的命[流泪][流泪],𝙍𝙤𝙗𝙞𝙣,4128025939807178,127,0,2024-12-28 21:25:36,江西,
42,7453401499742342454,,,,,,,,,,,,L1,7453452406345581370,终于看到的不是吃的了[捂脸]这个让国人骄傲[赞]妈，越来越爱你了[好开心],majun335,479032330170723,1,0,2024-12-28 21:22:03,广东,
43,7453401499742342454,,,,,,,,,,,,L1,7453452087935206154,十一年够的话！那今后不是很多人效仿，请重视,好运来🍀,58557072863,152,0,2024-12-28 21:20:49,浙江,
44,7453401499742342454,,,,,,,,,,,,L1,7453452028959490879,11[细糠],深深,84046818910,3,0,2024-12-28 21:20:37,广东,
45,7453401499742342454,,,,,,,,,,,,L1,7453451809849033472,我好害怕，我也我女儿,拿铁三分糖☕,92858641957,295,0,2024-12-28 21:19:46,安徽,
46,7453401499742342454,,,,,,,,,,,,L1,7453451673118376741,十一年真的够吗？,.🦋.,63472882151,529,0,2024-12-28 21:19:14,重庆,
47,7453401499742342454,,,,,,,,,,,,L1,7453450895784117049,支持判死刑，请祖国保护妇女儿童,小朋友早安,59584187562,32,0,2024-12-28 21:16:12,山东,
48,7453401499742342454,,,,,,,,,,,,L1,7453449970324472614,不判死刑也请把男的打成那样[感谢],🌻阳光,96856671132,54,1,2024-12-28 21:12:42,河南,
49,7453401499742342454,,,,,,,,,,,,L1,7453448973211878153,终身携带排泄袋[微笑],慧 🌻,51517753168,10,0,2024-12-28 21:08:46,新疆,
50,7453401499742342454,,,,,,,,,,,,L1,7453448745490416420,祖国万万万万岁[比心][玫瑰],唛唛的咔咔,105919954456,1,0,2024-12-28 21:07:52,浙江,
51,7453401499742342454,,,,,,,,,,,,L1,7453448519527203622,严惩，坚决维护妇女儿童权益,开心点,75222936097,7,0,2024-12-28 21:07:00,湖北,
52,7453401499742342454,,,,,,,,,,,,L1,7453448206091174690,大家加油干！[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],小牧童,70752107071,0,0,2024-12-28 21:05:54,河南,
53,7453401499742342454,,,,,,,,,,,,L1,7453448010815652668,人民警察为什么[疑问],ㅤㅤㅤㅤㅤ,3180236912211388,2,0,2024-12-28 21:05:00,广东,
54,7453401499742342454,,,,,,,,,,,,L1,7453447591461339940,帮帮她吧，她只是想好好活着，活着而已啊[流泪],乐桃妹妹,96108792443,344,0,2024-12-28 21:03:23,陕西,
55,7453401499742342454,,,,,,,,,,,,L1,7453447408106914579,不判死刑也请把男的打成那样[感谢],好雨知时节,2652449699297896,59,0,2024-12-28 21:02:40,河南,
56,7453401499742342454,,,,,,,,,,,,L1,7453447249748083471,发声？？,好开心✨,1903994204859635,0,0,2024-12-28 21:02:05,江苏,
