序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7455971603617189183,冰雪旅游“火”、冰雪产业“热”、冰雪运动“燃”…冰雪经济活力四射！这个冬天，你想去哪里看看？#绘说现代化,https://www.douyin.com/video/7455971603617189183,1735978784,83,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4122,105,132,247723,81,video,,,,,,,,,
2,7455971603617189183,,,,,,,,,,,,L1,7455986840400069435,请问一下哈尔滨一万块钱能玩几天[呲牙],@宽宏大量,99569130772,9,7,2025-01-04 17:16:59,广西,
3,7455971603617189183,,,,,,,,,,,,L1,7456125012867056418,广西沙糖桔实名想去东北[流泪],馨玥爸爸,1126362797580583,5,2,2025-01-05 02:13:37,广西,
4,7455971603617189183,,,,,,,,,,,,L1,7455979597755876107,这么近那么美，周末到哈尔滨,达伦湖,1723633872148462,9,2,2025-01-04 16:48:54,河北,
5,7455971603617189183,,,,,,,,,,,,L1,7455978663923450676,哈尔滨冰雪世界[比心][比心][比心],初见·花开,3249812230127464,1,0,2025-01-04 16:45:17,河南,
6,7455971603617189183,,,,,,,,,,,,L1,7455995708152693515,祖国的大好河山最美[赞][赞][赞][赞][赞][赞][赞],美丽的时光@,73032936484,3,0,2025-01-04 17:51:24,河南,
7,7455971603617189183,,,,,,,,,,,,L1,7456397886051222331,什么？？？[九转大肠][九转大肠]吉林省收入2419亿？,猫玖,3131850673887859,1,0,2025-01-05 19:52:02,吉林,
8,7455971603617189183,,,,,,,,,,,,L1,7455984682648519476,我怕冷啊[可怜]在湖北就棉衣棉裤棉鞋全副武装。,李子平平,311917065016264,2,1,2025-01-04 17:08:37,湖北,
9,7455971603617189183,,,,,,,,,,,,L1,7455974008036918035,我也想去玩，可是实力不允许啊[尬笑][尬笑][尬笑],刘刘呀,71862697582,1,2,2025-01-04 16:27:22,江苏,
10,7455971603617189183,,,,,,,,,,,,L1,7456256299195319099,我在医院   我想出院，出去玩。,用户7687401877410,3988649042258231,1,2,2025-01-05 10:42:38,新疆,
11,7455971603617189183,,,,,,,,,,,,L1,7455987246257767228,这么近，那么美，周末到河北,基层员工,98995713552,1,0,2025-01-04 17:18:33,河北,
12,7455971603617189183,,,,,,,,,,,,L1,7455979736793432889,时间过得真快，又是一年冰雪节！,GG,2880367378045895,0,0,2025-01-04 16:49:27,黑龙江,
13,7455971603617189183,,,,,,,,,,,,L1,7456216923295646500,"寒天雪野绽繁昌，产业冰途步韵长。
琼玉漫飘游客醉，银山疾滑热情彰。
北疆赛道风烟起，南国嬉冰笑语扬。
经济腾飞新焰旺，山川焕彩韵流芳。",时代追光者,2258866721525289,2,0,2025-01-05 08:09:53,四川,
14,7455971603617189183,,,,,,,,,,,,L1,7456192508382987046,哇，想去,乐乐吖,4446889492093422,0,0,2025-01-05 06:35:21,河北,
15,7455971603617189183,,,,,,,,,,,,L1,7455983100255454011,[九转大肠][九转大肠][九转大肠]这猴哥比我都享受，带全家泡温泉,乐阳梁,68519020186,0,0,2025-01-04 17:02:29,浙江,
