序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7458562797283151123,遇“冷”豫“热”！河南的冬天到底有谁在啊❄️ #绘说现代化 ,https://www.douyin.com/video/7458562797283151123,1736582092,43,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,5784,180,313,305978,149,video,,,,,,,,,
2,7458562797283151123,,,,,,,,,,,,L1,7458567970358330172,大美河南热烈欢迎全国朋友们的到来[比心][比心][比心],亲亲😘青青,9186436039,18,1,2025-01-11 16:13:05,河南,
3,7458562797283151123,,,,,,,,,,,,L1,7458565050396132132,河南洛阳老君山登上人民网了[耶][耶][耶],洋望星辰📝（小兔)（见过杨洋版),100228159587,15,0,2025-01-11 16:01:46,河南,
4,7458562797283151123,,,,,,,,,,,,L1,7459542741640561443,河南老君山道家的圣地，太壮观了，太漂亮了,和平年代,219550643919368,3,0,2025-01-14 07:15:53,河南,
5,7458562797283151123,,,,,,,,,,,,L1,7458578098864407355,黑龙江网友看见了 并表示热烈祝贺[比心][比心][比心],丨厮混在人间,87912239765,1,0,2025-01-11 16:52:24,黑龙江,
6,7458562797283151123,,,,,,,,,,,,L1,7458565523942982450,来，我们去山顶赏雪[比心],✨兔子先生,60563907896,3,0,2025-01-11 16:03:41,河南,
7,7458562797283151123,,,,,,,,,,,,L1,7458655050312893241,(⊙o⊙)哇，俺洛阳栾川老君山上人民网了[鼓掌],淡如绿茶,3421277294705992,2,0,2025-01-11 21:50:59,河南,
8,7458562797283151123,,,,,,,,,,,,L1,7458580803312730906,亲爱的人民网，大河南人民表示感谢！[比心][比心],笠笠,97921428608,4,0,2025-01-11 17:02:55,广东,
9,7458562797283151123,,,,,,,,,,,,L1,7458566102273852210,到底是哪里啊，这么美[呲牙][呲牙][呲牙],九酒,109143538882,6,3,2025-01-11 16:05:53,湖南,
10,7458562797283151123,,,,,,,,,,,,L1,7458578272252773129,大好河山，好美[赞][赞][赞][赞],勋仔好物,17174989318,4,0,2025-01-11 16:53:06,湖北,
11,7458562797283151123,,,,,,,,,,,,L1,7458569131744559908,河南老家欢迎大家回家👏[比心][比心][比心][比心][比心][比心][舔屏][舔屏],面包的爱情,96884123887,2,0,2025-01-11 16:17:41,浙江,
12,7458562797283151123,,,,,,,,,,,,L1,7458591420358673212,现在还有哪个城市没下雪？[呲牙][呲牙],川流不息（有关注必回）,668103300612429,13,14,2025-01-11 17:44:03,云南,
13,7458562797283151123,,,,,,,,,,,,L1,7458588637736665906,真美啊祖国！[赞][赞][赞][赞][赞],牛牛,9740534339,1,0,2025-01-11 17:33:20,江西,
14,7458562797283151123,,,,,,,,,,,,L1,7458568285748806411,好美的雪山[赞][赞][赞][赞][赞],晓晓红＼(`Δ’)／,431424349172861,3,0,2025-01-11 16:14:22,广东,
15,7458562797283151123,,,,,,,,,,,,L1,7458650540378391296,为我们的祖国点赞[赞][赞][赞],平安健康🍎🐉🙏,1627741498408765,2,0,2025-01-11 21:33:30,山东,
16,7458562797283151123,,,,,,,,,,,,L1,7458565888476709642,给河南来波人工降雪吧，洛阳欢迎您！,@建凯百货耗材,98842327495,2,0,2025-01-11 16:05:01,河南,
17,7458562797283151123,,,,,,,,,,,,L1,7458594004046988090,刚从老君山回来，就刷到[捂脸],熏悟空的孙,3803939667458855,5,0,2025-01-11 17:54:07,北京,
18,7458562797283151123,,,,,,,,,,,,L1,7458564412195832639,大好河山，好美😍,赶路人🏃‍♂️,68711902189,2,0,2025-01-11 15:59:20,云南,
19,7458562797283151123,,,,,,,,,,,,L1,7458591862761702203,真看出我们祖国幅员辽阔来了，有穿貂的有露腰的！[捂脸][捂脸],川流不息（有关注必回）,668103300612429,3,0,2025-01-11 17:45:47,云南,
20,7458562797283151123,,,,,,,,,,,,L1,7458597972717732666,好美！我的家乡！[比心],631053661,4488686084045072,2,0,2025-01-11 18:09:30,河南,
21,7458562797283151123,,,,,,,,,,,,L1,7458840400104702780,安徽[呲牙],笑着说再见,1245066026028651,0,0,2025-01-12 09:50:17,安徽,
22,7458562797283151123,,,,,,,,,,,,L1,7458588092535423794,东北人好羡慕啊[鼓掌][鼓掌][鼓掌]（俺们家乡这个冬季没看见雪）,沐浴阳光—爱欣,59116839440,0,1,2025-01-11 17:31:12,辽宁,
23,7458562797283151123,,,,,,,,,,,,L1,7459281752805114683,郑州园博园过年有大型灯展哦,郑州园博园,101986698645,3,4,2025-01-13 14:22:54,河南,
24,7458562797283151123,,,,,,,,,,,,L1,7458900072765113147,中,当年情,690147904985708,0,0,2025-01-12 13:41:49,河南,
25,7458562797283151123,,,,,,,,,,,,L1,7459152991657067322,我的老家河南，冬天最冷零下十几度吧,天府之国,103982343580,0,0,2025-01-13 06:03:22,四川,
26,7458562797283151123,,,,,,,,,,,,L1,7458586868515423010,好美 好想去看看[玫瑰][玫瑰],清冷花影,71937259408,0,0,2025-01-11 17:26:26,天津,
27,7458562797283151123,,,,,,,,,,,,L1,7458591081891824444,一部河南史半部中国史，世界看中国，中国看河南，华夏文明五千年文化底蕴！[赞][赞][赞],川流不息（有关注必回）,668103300612429,3,0,2025-01-11 17:42:46,云南,
28,7458562797283151123,,,,,,,,,,,,L1,7458565212850586431,我大河南[耶][耶][耶],洋望星辰📝（小兔)（见过杨洋版),100228159587,2,0,2025-01-11 16:02:27,河南,
29,7458562797283151123,,,,,,,,,,,,L1,7458584225886503737,美到极致是洛阳！[赞][赞][赞],祁东印象,2764634191828311,1,0,2025-01-11 17:16:10,湖南,
30,7458562797283151123,,,,,,,,,,,,L1,7459010326564078395,虽然有点冻人，但老君山的雪景是真美。,用户4033316165438,721739600636919,1,0,2025-01-12 20:49:38,河南,
31,7458562797283151123,,,,,,,,,,,,L1,7458592868652450619,好美啊！广州的我也想去，但是又怕冷,＠✨唯爱💫,62210549987,1,0,2025-01-11 17:49:41,广东,
32,7458562797283151123,,,,,,,,,,,,L1,7459418657594442547,佛山,Huorr、Kim,66361669776,0,0,2025-01-13 23:14:15,广东,
33,7458562797283151123,,,,,,,,,,,,L1,7460122835895059240,银装素裹，分外妖娆。,清清子衿，悠悠我心,906460495881501,0,0,2025-01-15 20:46:46,广东,
34,7458562797283151123,,,,,,,,,,,,L1,7458645128564474683,这就是祖国的大好河山啊[玫瑰][玫瑰][玫瑰],对牛不弹钱,3307752560014055,0,0,2025-01-11 21:12:28,山东,
35,7458562797283151123,,,,,,,,,,,,L1,7458590110612718346,河南淮阳欢迎您[比心],不秃头 的  坏女人,81656901254,0,0,2025-01-11 17:39:03,浙江,
36,7458562797283151123,,,,,,,,,,,,L1,7458620426760864572,一个说中的地方[赞],🌈o▬◙▅▅▅▆▇◤,3971038116331036,3,0,2025-01-11 19:36:37,河北,
37,7458562797283151123,,,,,,,,,,,,L1,7458564337348854579,中华文明，福泽天下，世界各国和为贵，正确而伟大,月之光日之芒,108231747631,3,0,2025-01-11 15:59:03,广西,
38,7458562797283151123,,,,,,,,,,,,L1,7458589701131567929,好漂亮,52幸运草,1380631846334967,0,0,2025-01-11 17:37:25,安徽,
39,7458562797283151123,,,,,,,,,,,,L1,7458632532147192628,欢迎来洛阳老君山玩[调皮][比心][爱心],艳子～😎,94185400278,1,0,2025-01-11 20:23:38,河南,
40,7458562797283151123,,,,,,,,,,,,L1,7458873444001284875,漂亮,广州鹏泽纺织,83980484407,0,0,2025-01-12 11:58:30,广东,
41,7458562797283151123,,,,,,,,,,,,L1,7458601229939458842,长江以北，山河四省很美[得意],大漠飞沙云舞宝宝,1759678089663399,1,0,2025-01-11 18:22:13,山东,
42,7458562797283151123,,,,,,,,,,,,L1,7458587771465794363,好美的中原,一只遨游的红鲤鱼,2185469033975213,0,0,2025-01-11 17:29:55,广东,
43,7458562797283151123,,,,,,,,,,,,L1,7458822054616335161,美[赞],阳阳❤️,60966246353,0,0,2025-01-12 08:39:04,安徽,
44,7458562797283151123,,,,,,,,,,,,L1,7458587930933986085,放心，每年腊月二十八，贴对联那天绝对超冷[呲牙],王的眼神,88101196264,1,0,2025-01-11 17:30:36,河南,
45,7458562797283151123,,,,,,,,,,,,L1,7458565832756495139,去过几次了[赞][赞][赞],遥望____,100155780323,2,0,2025-01-11 16:04:54,湖南,
46,7458562797283151123,,,,,,,,,,,,L2,7460391025875305276,驻马店,呆呆噜.,7428483944390181948,0,0,2025-01-16 14:07:29,河南,
47,7458562797283151123,,,,,,,,,,,,L2,7460103996352660275,苏州,Sandy,78648210770,0,0,2025-01-15 19:33:40,江苏,
48,7458562797283151123,,,,,,,,,,,,L2,7459584407055123239,河南没下，冬至之后气温还上升了[捂脸],永远@有多远,111111287174,2,0,2025-01-14 09:57:28,河南,
49,7458562797283151123,,,,,,,,,,,,L2,7460304452856070947,云台山吧,谢不肉喜欢玩📷,108151190090,0,0,2025-01-16 08:31:33,河南,
50,7458562797283151123,,,,,,,,,,,,L2,7458578944570164027,洛阳老君山,蕾蕾🍀,59443383851,2,0,2025-01-11 16:55:40,河南,
51,7458562797283151123,,,,,,,,,,,,L2,7458843451720598329,清明上河园一张票玩三天，你敢信,态度决定一切,253303526798756,0,0,2025-01-12 10:02:07,广东,
52,7458562797283151123,,,,,,,,,,,,L1,7458565586127700746,[咖啡][咖啡][咖啡]前排欢迎大家,目光,75611350673,2,0,2025-01-11 16:03:55,河南,
53,7458562797283151123,,,,,,,,,,,,L1,7458668315339244351,大美中国，魅力中国，河南文化，开封，洛阳安阳处处都是文化宝地。[赞][赞][赞][赞],用户501792316181良朋,4133815107468520,0,0,2025-01-11 22:42:29,安徽,
54,7458562797283151123,,,,,,,,,,,,L1,7458584323852813107,太漂亮了，不愧是我的国[赞][赞],橘子橙子李子,110784293280,0,0,2025-01-11 17:16:35,广东,
55,7458562797283151123,,,,,,,,,,,,L1,7459184932192289588,风景真好漂亮,兰兰,4054597214937831,0,0,2025-01-13 08:07:17,江西,
56,7458562797283151123,,,,,,,,,,,,L1,7458573051535311653,漂亮[赞],核桃酥不酥,69867620183,2,0,2025-01-11 16:32:52,陕西,
57,7458562797283151123,,,,,,,,,,,,L1,7458582434754511676,美哩很，来吧公主王子们。[比心],阿斯加德三公主,91631566528,0,0,2025-01-11 17:09:11,河南,
58,7458562797283151123,,,,,,,,,,,,L1,7458566337280475913,支持我大河南[比心][比心][比心],小珵子麻麻吖！,81368878998,1,0,2025-01-11 16:06:47,湖北,
59,7458562797283151123,,,,,,,,,,,,L1,7459596513242137354,冬季运动会[鞭炮][鞭炮][鞭炮][鞭炮],🌈🌈人生不易,103087707542,0,0,2025-01-14 10:44:24,河南,
60,7458562797283151123,,,,,,,,,,,,L1,7458926489506333440,中,小乔,100748929117,0,0,2025-01-12 15:24:22,福建,
61,7458562797283151123,,,,,,,,,,,,L1,7458578933409235712,这次有机会就去看看,聚宝天尊  Ashley,1950954005997803,0,0,2025-01-11 16:55:42,四川,
62,7458562797283151123,,,,,,,,,,,,L1,7458580631586554665,中国还没转过来，出国去不了一点[捂脸][捂脸],梅  子✨,60647961656,2,0,2025-01-11 17:02:19,河南,
63,7458562797283151123,,,,,,,,,,,,L1,7458931653718590268,今天的河南还没下雪🌨️期待大雪纷飞鹅毛大雪🌨️,涵凤,85649589612,1,0,2025-01-12 15:44:22,河南,
64,7458562797283151123,,,,,,,,,,,,L1,7458582412240683817,欢迎大家来我们大河南[玫瑰],L.Y,78955900231,1,0,2025-01-11 17:09:12,河南,
65,7458562797283151123,,,,,,,,,,,,L1,7458565782739911463,第一[比心][比心][比心],月疏影,1266260108121467,0,0,2025-01-11 16:04:42,安徽,
66,7458562797283151123,,,,,,,,,,,,L1,7458938879203443513,@-。。- 你拍的呢[酷拽],🐑大王,3527659461569982,0,0,2025-01-12 16:12:23,江西,
67,7458562797283151123,,,,,,,,,,,,L1,7458591596574655292,"远看是大雪
近看雪好大
真是下大雪
雪是真的大[捂脸][捂脸][捂脸]",川流不息（有关注必回）,668103300612429,2,0,2025-01-11 17:44:46,云南,
68,7458562797283151123,,,,,,,,,,,,L1,7458565216500073231,第一[宕机][宕机][宕机],椿去湫来，,95947097191,0,0,2025-01-11 16:02:29,河南,
69,7458562797283151123,,,,,,,,,,,,L1,7458585000339702539,好美[赞],自强不息,111534827247,0,0,2025-01-11 17:19:13,浙江,
70,7458562797283151123,,,,,,,,,,,,L1,7458664198441239333,大河南真美啊,依然吖,2016937812165770,0,0,2025-01-11 22:26:29,河南,
71,7458562797283151123,,,,,,,,,,,,L1,7459958953888596736,河南安阳到目前为止还没下雪,王佳（不私聊）,2207434365212531,0,0,2025-01-15 10:10:51,河南,
72,7458562797283151123,,,,,,,,,,,,L1,7458565355204969251,[赞][赞][赞][赞][赞][赞],許祢1世柔情,108312130871,0,0,2025-01-11 16:03:00,辽宁,
73,7458562797283151123,,,,,,,,,,,,L1,7460304525481542452,来河南找我玩吧,谢不肉喜欢玩📷,108151190090,0,0,2025-01-16 08:31:54,河南,
74,7458562797283151123,,,,,,,,,,,,L1,7458567955225445157,[赞][赞][赞][赞][赞][赞][赞],盛京夺冠 來春陽同吉祥,105113279161,0,0,2025-01-11 16:13:05,辽宁,
75,7458562797283151123,,,,,,,,,,,,L1,7458767285538767654,@,伱芊-_-.,2239057472526407,0,0,2025-01-12 05:07:14,河北,
76,7458562797283151123,,,,,,,,,,,,L1,7458593559685104438,这还是以前印象中的河南了吗[酷拽][酷拽][酷拽][酷拽][酷拽][酷拽][酷拽][酷拽][酷拽][酷拽],好好说再见,70231662256,2,0,2025-01-11 17:52:25,河北,
77,7458562797283151123,,,,,,,,,,,,L1,7458565666187150130,[赞][赞][赞][赞][赞][赞],八皖同风,4446841992128008,0,0,2025-01-11 16:04:10,安徽,
78,7458562797283151123,,,,,,,,,,,,L1,7459033008705274684,美不胜收,超级好物,19705858285,0,0,2025-01-12 22:17:39,广东,
79,7458562797283151123,,,,,,,,,,,,L1,7460717881082626874,腊月二十三去老君山用预约吗,美美,97141752927,0,0,2025-01-17 11:15:52,天津,
80,7458562797283151123,,,,,,,,,,,,L1,7458567480824496947,[赞][赞][赞],W蔚蓝,3598081255550623,0,0,2025-01-11 16:11:15,河南,
81,7458562797283151123,,,,,,,,,,,,L1,7459681650696717090,给我换台[发怒],用户0826046524226,2113704310866568,0,0,2025-01-14 16:14:47,山东,
82,7458562797283151123,,,,,,,,,,,,L2,7459051332201595707,盐城[尬笑],Adorer les étoiles,2356983131018232,0,0,2025-01-12 23:28:46,江苏,
