序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7460714101841349929,冰雪“冀” 火起来！总要去河北滑一次雪吧？爱滑雪的同学在哪里#绘说现代化（@河北文旅 ）,https://www.douyin.com/video/7460714101841349929,1737162000,42,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2532,76,46,160502,41,video,,,,,,,,,
2,7460714101841349929,,,,,,,,,,,,L1,7461483061101658916,祖国繁荣富强[赞][赞][赞][鼓掌][鼓掌][鼓掌][鼓掌],琪琪奶奶,81761648119,1,0,2025-01-19 12:45:12,云南,
3,7460714101841349929,,,,,,,,,,,,L1,7461054607528739641,暖洋洋[舔屏],困告鸭鸭—勇敢牛牛😜（良仁，河清教授授,26040256687,2,0,2025-01-18 09:02:32,广西,
4,7460714101841349929,,,,,,,,,,,,L1,7461151552695894836,冰雪旅游带动经济发展起来。[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][赞][赞][赞][爱心][爱心][爱心]宁夏。,用户2866550101611,3289368362228782,2,0,2025-01-18 15:18:46,宁夏,
5,7460714101841349929,,,,,,,,,,,,L1,7461151524195795747,河北现在有下雪的地方吗,哥屋恩,3531238303082200,5,0,2025-01-18 15:18:41,天津,
6,7460714101841349929,,,,,,,,,,,,L1,7461055339204559653,风在耳边呼啸，扬起的雪雾超酷，太羡慕了，我也想立马奔赴雪场感受速度与激情 [给力][给力][给力],广东胡子哥,71512570340,3,0,2025-01-18 09:05:27,安徽,
7,7460714101841349929,,,,,,,,,,,,L1,7462720459952915240,给山西也宣传一下[流泪],Flechazo.,55179802942,0,0,2025-01-22 20:46:52,山西,
8,7460714101841349929,,,,,,,,,,,,L1,7461057818939179835,这么近，那么美，周末到河北，大美河北欢迎大家[比心],不吃香菜🐒,58253088596,8,0,2025-01-18 09:14:58,河北,
9,7460714101841349929,,,,,,,,,,,,L1,7461055645225288506,祖国繁荣昌盛[赞][赞][赞],saf,4013670209435483,0,0,2025-01-18 09:06:35,新疆,
10,7460714101841349929,,,,,,,,,,,,L1,7461066619867972379,啊，这个毛绒玩具在哪里搬，我家里也想要一套[抠鼻],k总（超赞）,506220671412763,4,0,2025-01-18 09:49:09,湖北,
11,7460714101841349929,,,,,,,,,,,,L1,7461385127382532921,祖国繁荣富强[赞][赞][赞],幸福晚年,3114263800980847,1,0,2025-01-19 06:25:11,辽宁,
12,7460714101841349929,,,,,,,,,,,,L1,7461075913120809779,冬季旅游也火起来了[比心][比心],boss妞,111530092813,1,0,2025-01-18 10:25:13,山东,
13,7460714101841349929,,,,,,,,,,,,L1,7461064975864627979,哈哈好玩的[玫瑰],悠仔,153533210960045,1,0,2025-01-18 09:42:47,上海,
14,7460714101841349929,,,,,,,,,,,,L1,7461629966229357312,崇礼,六子,110857344390,0,0,2025-01-19 22:15:13,山西,
15,7460714101841349929,,,,,,,,,,,,L1,7461055281033249573,有幸第一评论[鼓掌][鼓掌][鼓掌],Runner,67683480927,0,0,2025-01-18 09:05:12,贵州,
16,7460714101841349929,,,,,,,,,,,,L1,7461054803239191347,沙发打卡。[鼓掌][鼓掌][鼓掌],大头萝卜,92329971138,0,0,2025-01-18 09:03:22,甘肃,
17,7460714101841349929,,,,,,,,,,,,L1,7461055337476129546,[鼓掌][鼓掌][鼓掌][赞][赞][赞][666][666][666][微笑][微笑][微笑][赞][赞][赞],金海鲜莓,71402987520,1,0,2025-01-18 09:05:25,辽宁,
18,7460714101841349929,,,,,,,,,,,,L1,7461065919479431999,[赞][赞][赞],华软文化集团有限公司,3280591685950157,1,0,2025-01-18 09:46:32,广东,
19,7460714101841349929,,,,,,,,,,,,L1,7461208516402479899,[玫瑰][玫瑰][玫瑰],用户616041900786,1491394769986852,1,0,2025-01-18 18:59:46,四川,
20,7460714101841349929,,,,,,,,,,,,L1,7461055362474820411,[赞][赞][赞],A梦,101408931546,1,0,2025-01-18 09:05:29,陕西,
21,7460714101841349929,,,,,,,,,,,,L1,7461056652179931913,[玫瑰],更老道，,1697299174007511,0,0,2025-01-18 09:10:30,上海,
