序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7464043488636718372,惊艳！冬天的新疆含金量有多高！ ,https://www.douyin.com/video/7464043488636718372,1737858300,46,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1865,66,48,100882,40,video,,,,,,,,,
2,7464043488636718372,,,,,,,,,,,,L1,7464047757251150604,大中国，大新疆[赞][赞][赞],我爱秋天,103325288883,0,2,2025-01-26 10:37:28,江苏,
3,7464043488636718372,,,,,,,,,,,,L1,7464075762417828649,人民网～特好～全国人个网[鼓掌][鼓掌][鼓掌],青水,3738794511836456,3,0,2025-01-26 12:26:11,江西,
4,7464043488636718372,,,,,,,,,,,,L1,7464048172214960947,这里的滑雪配套工程都是(王新刚)投资建设的[赞][赞][赞],建筑工程❤️任先森,104770919184,2,1,2025-01-26 10:39:06,新疆,
5,7464043488636718372,,,,,,,,,,,,L1,7464048830415553320,大美新疆欢迎您[鼓掌][鼓掌][鼓掌],阿呆,67488423982,1,1,2025-01-26 10:41:43,新疆,
6,7464043488636718372,,,,,,,,,,,,L1,7464045191314391868,祝福大家新年快乐[玫瑰][玫瑰][玫瑰],🍬丫头,2334974511685367,4,0,2025-01-26 10:27:29,河南,
7,7464043488636718372,,,,,,,,,,,,L1,7464045368251187994,新疆是个好地方[撒花][撒花][撒花],@建凯百货耗材,98842327495,3,0,2025-01-26 10:28:12,河南,
8,7464043488636718372,,,,,,,,,,,,L1,7465543675436073763,祖国山河无恙,、͜無 ͜足、͜ ꦿ鸟ོ,106093978141,0,0,2025-01-30 11:22:26,湖南,
9,7464043488636718372,,,,,,,,,,,,L1,7464052380444246821,欢迎大家来新疆,深 兰 色,105185793559,0,0,2025-01-26 10:55:27,新疆,
10,7464043488636718372,,,,,,,,,,,,L1,7464176252674802466,我家房后近距离安装风力发电，大风嗖嗖冷，噪音像飞机在房顶，使人夜夜无法睡眠，多次求助12345无果！跪求帮助！跪求帮助！跪求帮助！,明月清风,1979556955695908,1,3,2025-01-26 18:56:08,内蒙古,
11,7464043488636718372,,,,,,,,,,,,L1,7464047793009083174,还在当牛马[泪奔],芥末加辣,106647264825,1,0,2025-01-26 10:37:41,湖南,
12,7464043488636718372,,,,,,,,,,,,L1,7464045570945778483,不到新疆，不知道中国之大；不到新疆，不知道中国之美[爱心][爱心][爱心],起风了🐼🐼🐼,50929451703,2,0,2025-01-26 10:29:02,四川,
13,7464043488636718372,,,,,,,,,,,,L1,7464057199762178842,[赞][赞][赞][赞],平安幸福～,1034019777829303,0,0,2025-01-26 11:14:08,吉林,
14,7464043488636718372,,,,,,,,,,,,L1,7464519322615169852,雪景去东北还是去新疆啊？[发呆],哈泥猩,65632302419,1,0,2025-01-27 17:07:22,上海,
15,7464043488636718372,,,,,,,,,,,,L1,7464045581619872527,自律的人还在工作！[看][看][看],伟观视界,2454563585263440,3,0,2025-01-26 10:29:05,辽宁,
