序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7464755126457175307,从“中国年”到“世界节”！用剪纸风的春节，照见中国式现代化！#绘说现代化 #在抖音过好年 #非遗中国年,https://www.douyin.com/video/7464755126457175307,1738023806,56,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,5934,349,352,313058,144,video,,,,,,,,,
2,7464755126457175307,,,,,,,,,,,,L1,7464879651979199267,这是哪里好美呀,随风飘扬,105681274262,0,0,2025-01-28 16:25:38,北京,
3,7464755126457175307,,,,,,,,,,,,L1,7464865591192601344,这是怎么做出来[玫瑰],用户3670695893117,3587047527024203,2,0,2025-01-28 15:31:07,广西,
4,7464755126457175307,,,,,,,,,,,,L1,7467760079979987731,24年的计划都实现了吗?25年我们继续加油!力争早日完成今年的宏伟目标。,做一个简单的普通人,3320142394299229,0,0,2025-02-05 10:43:13,辽宁,
5,7464755126457175307,,,,,,,,,,,,L1,7464795251090686761,是真正的剪纸还是ia呀？,萍果,93014950029,14,0,2025-01-28 10:58:10,重庆,
6,7464755126457175307,,,,,,,,,,,,L1,7464782607106474761,[赞][赞][赞][赞][赞][赞],洛虹,3579605140125004,1,0,2025-01-28 10:09:13,安徽,
7,7464755126457175307,,,,,,,,,,,,L1,7464853135694824211,哇哦，一睁眼就看见了高质量视频，祝中国越来越好[送心][送心][送心],鹤童仙子,51850526535,0,0,2025-01-28 14:42:46,湖南,
8,7464755126457175307,,,,,,,,,,,,L1,7464774736456614719,新年好同志们，祝诸位2025年工作顺利,用户7019376670242,1660731105230138,0,0,2025-01-28 09:38:34,辽宁,
9,7464755126457175307,,,,,,,,,,,,L1,7464863937520829241,超级高手啊，剪的这么漂亮,打麻将,104139997801,3,0,2025-01-28 15:24:39,广东,
10,7464755126457175307,,,,,,,,,,,,L1,7464777670959629095,中国万岁！祝伟大的祖国繁荣昌盛！人民幸福[比心][比心][比心],风调雨顺,105506387124,2,0,2025-01-28 09:50:00,浙江,
11,7464755126457175307,,,,,,,,,,,,L1,7464925992488010550,今年看春晚电视还要付费才能看[捂脸][捂脸][捂脸],@顺李@成张&,583185099140931,1,0,2025-01-28 19:25:29,广西,
12,7464755126457175307,,,,,,,,,,,,L1,7464871640729273146,你们得红包了吗,用户4701327807419,4185185237865883,2,0,2025-01-28 15:54:32,广西,
13,7464755126457175307,,,,,,,,,,,,L1,7464876173963068179,都是中国人过新年呢,年年有余,2647222082085816,1,0,2025-01-28 16:12:11,辽宁,
14,7464755126457175307,,,,,,,,,,,,L1,7464809842462114575,首个非遗年春晚很期待[玫瑰],小红花,4009260668425072,4,0,2025-01-28 11:54:50,贵州,
15,7464755126457175307,,,,,,,,,,,,L1,7464871779815703354,[赞][赞][赞][赞],づ爱毅ᰔᩚ满满🥝,97343161970,1,0,2025-01-28 15:55:04,甘肃,
16,7464755126457175307,,,,,,,,,,,,L1,7464833490450825984,[泣不成声][泣不成声]太美了吧,用户1749702988214,15782251720,2,0,2025-01-28 13:26:31,山东,
17,7464755126457175307,,,,,,,,,,,,L1,7464777026222703375,网上年味真浓[比心],永恒,110894027097,2,0,2025-01-28 09:47:24,湖南,
18,7464755126457175307,,,,,,,,,,,,L1,7464770819199386404,祝福大家新年快乐,太阳照常升起,101657662800,1,0,2025-01-28 09:23:25,广西,
19,7464755126457175307,,,,,,,,,,,,L1,7464876119982359330,五分之一的人都是中国人,家有小锦鲤,73687059256,0,0,2025-01-28 16:12:00,辽宁,
20,7464755126457175307,,,,,,,,,,,,L1,7464771799462576930,💖💖💖💖💖💖💖💖💖💖💖💖💖💖🍎🍎🍎🍎🍎🍎🍎🍎🍎🍎🍎🍟🍟🍟🍟🍟🍟🍟🍟🈵🈵🈵🈵🈵🈵🈵🈵💐💐💐💐💐💐💐💐💐,幸福一家,1209928695941276,0,0,2025-01-28 09:27:15,广东,
21,7464755126457175307,,,,,,,,,,,,L1,7464868533446542120,很好,用户5172179184829,2664275904092,2,0,2025-01-28 15:42:33,广西,
22,7464755126457175307,,,,,,,,,,,,L1,7464772457493398309,祝各位新年快乐！顺风顺水顺财神。也祝我们远在边疆的战士们平平安安[送心],用户1670491798981,253337024604756,1,0,2025-01-28 09:29:42,江西,
23,7464755126457175307,,,,,,,,,,,,L1,7464762838911009595,祝福你我和家人平安健康长寿，好运连连，鸿运当头，八方来财，财源滚滚来，事事顺利，十全十美，福气满满，心想事成，万事如意，蛇年大吉！[感谢][感谢][感谢][感谢][感谢][感谢],嫦娥,60766218912,1,0,2025-01-28 08:52:24,四川,
24,7464755126457175307,,,,,,,,,,,,L1,7466391231331124020,大年初四，来拜年，好运连连，[比心][福][福],冯乘乘,1305856326518507,0,0,2025-02-01 18:11:24,天津,
