序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7471833263019920679,吉林冰雪经济“花样”上新！想去的心情达到了顶峰🤩 #绘说现代化,https://www.douyin.com/video/7471833263019920679,1739671774,38,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2652,79,49,174825,51,video,,,,,,,,,
2,7471833263019920679,,,,,,,,,,,,L1,7471838066484986659,欢迎全国各地的朋友来我们大吉林[比心][比心][比心],桔子✨,1456179339078508,10,4,2025-02-16 10:27:55,吉林,
3,7471833263019920679,,,,,,,,,,,,L1,7471902330993722147,我们大吉林的景就是美,清水幽萍,105129759008,3,0,2025-02-16 14:37:16,吉林,
4,7471833263019920679,,,,,,,,,,,,L1,7472168447679693622,黑龙江崛起了，吉林也紧随其后，那辽宁呢？还不赶紧的跟上？[看][看][看],宝光缘甄选,101613516096739,3,0,2025-02-17 07:50:02,天津,
5,7471833263019920679,,,,,,,,,,,,L1,7471837033942958898,官方一到白天就正常 一到晚上22点就折磨人[捂脸][捂脸][捂脸],弓长 ☞张,70013484579,6,0,2025-02-16 10:23:52,河北,
6,7471833263019920679,,,,,,,,,,,,L1,7471846979305571130,大吉林越来越好，欢迎来吉林,庆垚,96387667686,1,0,2025-02-16 11:02:27,吉林,
7,7471833263019920679,,,,,,,,,,,,L1,7471835204941857593,谢谢谢谢人民网推荐吉林[大笑][大笑][大笑][赞][赞][赞],苹民百姓,7582433785,0,0,2025-02-16 10:16:46,吉林,
8,7471833263019920679,,,,,,,,,,,,L1,7471909483141858083,东北的景色当天依然迷人。[赞][赞][赞][赞],清北,107704665087,1,0,2025-02-16 15:05:02,吉林,
9,7471833263019920679,,,,,,,,,,,,L1,7471918357349352192,吉林是个好地方，支持滑雪健儿[赞]，,30065200704,1557384451589855,1,0,2025-02-16 15:39:27,安徽,
10,7471833263019920679,,,,,,,,,,,,L1,7471873046325494585,四川文轩职业学院23级金融服务与管理，观看时长15分钟,事已至此，先吃饭吧,1640887817078727,0,0,2025-02-16 12:43:34,重庆,
11,7471833263019920679,,,,,,,,,,,,L1,7471874212111729408,我冬天也想去这里呀为什么这寒假作业多的跟那人一样,没事别来烦我!!!,2334977077547676,0,0,2025-02-16 12:48:09,湖南,
12,7471833263019920679,,,,,,,,,,,,L1,7471842371015213884,这次抢了个前排34分钟,「憶寧儀」,4877936238159,0,0,2025-02-16 10:44:33,湖南,
13,7471833263019920679,,,,,,,,,,,,L1,7471862823053034240,四川文轩职业学院23级金融服务与管理，观看时长15分钟,舒言，晴天,85949912329,0,0,2025-02-16 12:03:56,四川,
14,7471833263019920679,,,,,,,,,,,,L1,7471865104369386252,欢迎来东北,多柳蒸刚,105138449331,0,0,2025-02-16 12:12:51,辽宁,
