序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7474165837881036068,不止“风吹草低见牛羊”，冰雪内蒙古也很治愈！下一个冬天，我们不见不散！#绘说现代化,https://www.douyin.com/video/7474165837881036068,1740215032,44,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3385,81,47,146266,54,video,,,,,,,,,
2,7474165837881036068,,,,,,,,,,,,L1,7474174348065768252,我英语好，让我吸引游客来玩，万熬可冒   内蒙古[看],麻辣鱿鱼徐,94378848007,10,0,2025-02-22 17:33:47,内蒙古,
3,7474165837881036068,,,,,,,,,,,,L1,7474221490783765289,好可爱 好想吃,ai薄情,2595319040444959,0,0,2025-02-22 20:54:40,广东,
4,7474165837881036068,,,,,,,,,,,,L1,7474167843396256570,不容易[泣不成声][泣不成声][泣不成声]第一排,玲聽刈泩（请勿连赞）,51856715681,4,0,2025-02-22 17:08:33,河北,
5,7474165837881036068,,,,,,,,,,,,L1,7474232763509179190,大美中国，魅力中国，优秀中国，优秀内蒙古的强力的经济发展力量发扬中国文化，传承中华民族的精华。[赞][赞][赞][赞],用户501792316181良朋,4133815107468520,0,0,2025-02-22 21:20:30,福建,
6,7474165837881036068,,,,,,,,,,,,L1,7474168812038079284,呼麦呢！呼麦呢！,大山,67932594658,5,0,2025-02-22 17:12:23,河南,
7,7474165837881036068,,,,,,,,,,,,L1,7474167562882138891,欢迎大家来湖南长沙玩[握手][握手][握手],长沙市望城区丁字湾邰北眼镜金子湾店,106111586106,1,0,2025-02-22 17:07:33,湖南,
8,7474165837881036068,,,,,,,,,,,,L1,7474174520425907004,好飒呀[赞][赞][赞],馨想事承,68269903950,1,0,2025-02-22 17:34:27,黑龙江,
9,7474165837881036068,,,,,,,,,,,,L1,7474171807176655642,啥时候宣传宣传河北[赞][赞][赞],Erintang,1385023214206499,0,0,2025-02-22 17:23:56,河北,
10,7474165837881036068,,,,,,,,,,,,L1,7474171276811207461,太酷了，怕冷，又想去玩,一芙蕖🌸,3729981206698589,2,0,2025-02-22 17:21:54,湖北,
11,7474165837881036068,,,,,,,,,,,,L1,7474276477828956969,内蒙古。李维刚的事 怎么解决的[尬笑],佳味私房炒鸡店,2590879277133096,0,0,2025-02-23 00:10:12,山东,
12,7474165837881036068,,,,,,,,,,,,L1,7474400295440483132,內蒙古你好！,美梦,107671961102,0,0,2025-02-23 08:10:37,陕西,
13,7474165837881036068,,,,,,,,,,,,L1,7474170486886204172,九宝！！！,云清九子山.,4182197358565863,1,0,2025-02-22 17:18:52,河南,
14,7474165837881036068,,,,,,,,,,,,L1,7474172435601851186,我家是呼伦贝尔的，给家乡点赞,张家二小姐露露,53063054056,0,0,2025-02-22 17:26:26,山东,
15,7474165837881036068,,,,,,,,,,,,L1,7474187538392957696,可爱，雪好美,我就是我，无法选择,93099290204,0,0,2025-02-22 18:25:03,安徽,
16,7474165837881036068,,,,,,,,,,,,L1,7474169765814043449,哇塞，好漂亮[爱心][爱心][爱心][爱心][爱心][爱心]，中国🇨🇳美如画[比心][比心][比心][比心][比心][比心],嫦娥,60766218912,2,0,2025-02-22 17:16:01,四川,
17,7474165837881036068,,,,,,,,,,,,L1,7474172842328097593,玩上瘾了还,🌷蔷薇,60598860510,1,0,2025-02-22 17:27:58,湖北,
18,7474165837881036068,,,,,,,,,,,,L1,7474221160767750971,冰雪世界[赞][赞][赞],吴老师亲子英语,1214282133943687,0,0,2025-02-22 20:35:26,广西,
19,7474165837881036068,,,,,,,,,,,,L1,7483056014481982265,呼麦呢！呼麦呢！大美内蒙[一起加油][一起加油][一起加油],春天的夜,610954422782334,0,0,2025-03-18 15:59:14,山东,
20,7474165837881036068,,,,,,,,,,,,L1,7474169676940378937,赶快出周边，太萌了[玫瑰][玫瑰][玫瑰],蓝汐,96039880333,1,0,2025-02-22 17:15:40,天津,
21,7474165837881036068,,,,,,,,,,,,L1,7474318207193744155,不是压力给到义乌嘛 [尬笑],823159071,109239769841,0,0,2025-02-23 04:42:42,重庆,
22,7474165837881036068,,,,,,,,,,,,L1,7474168111882699539,[舔屏][舔屏][舔屏],歪歪扣叉（见过千玺版）,1406999142608532,1,0,2025-02-22 17:09:41,河南,
23,7474165837881036068,,,,,,,,,,,,L1,7474170182870631177,[耶][耶][耶],浩翡幸福,93109958735,1,0,2025-02-22 17:17:40,浙江,
24,7474165837881036068,,,,,,,,,,,,L1,7474169176333271866,[赞][赞][赞],辉夜,1256062995922986,1,0,2025-02-22 17:13:44,江西,
25,7474165837881036068,,,,,,,,,,,,L1,7474181693143958310,[比心][比心],好运糯米糍🍡,98561960791,0,0,2025-02-22 18:02:20,山东,
26,7474165837881036068,,,,,,,,,,,,L1,7474194763651498810,[抱拳][福],道名福生。原名张树福。小名张树仔。,1436411961551808,0,0,2025-02-22 18:53:00,广东,
27,7474165837881036068,,,,,,,,,,,,L1,7474190360203657984,[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌],西安-田龙,3195609997908656,1,0,2025-02-22 18:36:00,陕西,
28,7474165837881036068,,,,,,,,,,,,L1,7474185148072117051,[赞][赞][赞][比心][比心][玫瑰][玫瑰],笑颜,1424606065856744,0,0,2025-02-22 18:15:43,江苏,
29,7474165837881036068,,,,,,,,,,,,L1,7474275982540571451,[鼓掌][鼓掌][鼓掌],安妮Annie Guan,892457848157703,0,0,2025-02-23 00:08:14,广东,
30,7474165837881036068,,,,,,,,,,,,L1,7474251554112029452,[赞][赞][赞],季子花,111473611737,0,0,2025-02-22 22:33:25,浙江,
31,7474165837881036068,,,,,,,,,,,,L1,7484085005774603017,[玫瑰][玫瑰][玫瑰][平安果][平安果],@🐯🦚🐲🇨🇳九紫离🔥木兰先生,2560111729443421,0,0,2025-03-21 10:32:15,安徽,
32,7474165837881036068,,,,,,,,,,,,L1,7474205972434699066,[比心][比心][比心],一生回味一念,66914680249,0,0,2025-02-22 19:36:30,山东,
33,7474165837881036068,,,,,,,,,,,,L1,7474184182743450426,[赞][赞][赞],用户7783986669193袁，长字辈,1003176687829080,0,0,2025-02-22 18:11:57,重庆,
34,7474165837881036068,,,,,,,,,,,,L1,7474171425475265338,[抠鼻][抠鼻][抠鼻],阿飞🌹,76917485386,1,0,2025-02-22 17:22:29,吉林,
35,7474165837881036068,,,,,,,,,,,,L1,7474177843171197753,[赞][赞][赞],风雪夜归人hmt,69970889601,0,0,2025-02-22 17:47:21,山东,
36,7474165837881036068,,,,,,,,,,,,L1,7474184513578631995,[赞][赞][666][666],*^_^*彩虹的微笑～,3526881370189934,0,0,2025-02-22 18:13:15,广东,
37,7474165837881036068,,,,,,,,,,,,L1,7474172553071510331,[坏笑][坏笑][坏笑][小鼓掌][小鼓掌][小鼓掌][比心][比心][比心],*v*☘🍀吴善*小*生✨🧸🌻🌻,105953000765,0,0,2025-02-22 17:26:50,四川,
38,7474165837881036068,,,,,,,,,,,,L1,7474172488412332835,[赞][赞][赞][赞][赞][赞],星光灿烂,1865224808834343,0,0,2025-02-22 17:26:37,上海,
39,7474165837881036068,,,,,,,,,,,,L1,7474521687562027835,[赞][赞][赞][一起加油][一起加油][一起加油][爱心][爱心][爱心],江运芳,2867168593587583,0,0,2025-02-23 16:01:41,江西,
40,7474165837881036068,,,,,,,,,,,,L1,7474233219157869353,[玫瑰],多柳蒸刚,105138449331,0,0,2025-02-22 21:22:17,辽宁,
41,7474165837881036068,,,,,,,,,,,,L1,7474186905023906597,[呲牙][呲牙],ღ⭐️,104698636875,0,0,2025-02-22 18:22:34,山东,
42,7474165837881036068,,,,,,,,,,,,L1,7482878561138819852,[赞][赞][赞],芳芳,95534814934,0,0,2025-03-18 04:31:18,上海,
43,7474165837881036068,,,,,,,,,,,,L1,7475993244876292923,@/*9,小李子爱跳舞,457050128646840,0,0,2025-02-27 15:12:05,湖南,
44,7474165837881036068,,,,,,,,,,,,L1,7474207382782329635,真好[赞][赞][赞],老唐@,3038661308586199,0,0,2025-02-22 19:42:03,北京,
45,7474165837881036068,,,,,,,,,,,,L1,7474178093504430863,[感谢][感谢][感谢]好人一生平安,三毛救助小毛,7457539373454672955,1,0,2025-02-22 17:48:24,江西,
46,7474165837881036068,,,,,,,,,,,,L1,7474176789218329401,我想娶一个蒙古的女人做老婆 ，祝福我吧,姚老七(关注我的文字 走进你的心灵),2496352560354176,1,0,2025-02-22 17:43:16,河南,
