序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7477032888144235810,两会时间即将开启，这份惠农“大礼包”请查收！ #绘说现代化,https://www.douyin.com/video/7477032888144235810,1740882617,71,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,5714,614,693,315106,869,video,,,,,,,,,
2,7477032888144235810,,,,,,,,,,,,L1,7477194257053795110,我们村，书记开茶楼，副书记开超市，社长开家电超市，白天九点十点上班，四点下班回自己的第二产业上班。,汤粑粑,316313180844948,94,1,2025/3/2 20:52,四川,
3,7477032888144235810,,,,,,,,,,,,L1,7477035379179553594,[泪奔][泪奔][泪奔]农村学校能回归吗,玻璃心,99387086486004,35,10,2025/3/2 10:36,广东,
4,7477032888144235810,,,,,,,,,,,,L1,7477160010401727292,回农村买1000亩地，多产粮，民以食为天[呲牙],宁静致远,64812441072,17,1,2025/3/2 18:39,山东,
5,7477032888144235810,,,,,,,,,,,,L1,7477052039035044634,这是什么风格[捂脸],一一得一,92910458937,54,8,2025/3/2 11:40,陕西,
6,7477032888144235810,,,,,,,,,,,,L1,7477178279021151011,就问我农业股明天能不能解套？,长丰县双墩镇绘彩美甲店,2308613610932472,23,1,2025/3/2 19:50,安徽,
7,7477032888144235810,,,,,,,,,,,,L1,7477150525965091636,开头那个游戏界面，让我觉得我更像个npc了[看],待业青年很彷徨,540567692379220,39,3,2025/3/2 18:02,山东,
8,7477032888144235810,,,,,,,,,,,,L1,7477155404667257650,振兴中国农村！[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],孞99999,53534931535,19,1,2025/3/2 18:21,广东,
9,7477032888144235810,,,,,,,,,,,,L1,7477158796172854031,这指定是00后做的，他还一定玩过星露谷这类的RPG种菜游戏[笑哭],臭臭,93328249129,13,0,2025/3/2 18:35,新疆,
10,7477032888144235810,,,,,,,,,,,,L1,7477162152101905203,这个是什么,陈晨,104546872544,21,1,2025/3/2 18:48,辽宁,
11,7477032888144235810,,,,,,,,,,,,L1,7477161475375923995,[泪奔][泪奔][泪奔]农村学校能回归吗,感悟心灵,649152646629450,13,4,2025/3/2 18:45,江苏,
12,7477032888144235810,,,,,,,,,,,,L1,7477186642441929491,买什么股票,徐徐晚风,3518038012874045,23,2,2025/3/2 20:23,江苏,
13,7477032888144235810,,,,,,,,,,,,L1,7477177825004831546,第一眼看看到了还以为我的手机出问题了呢[泪奔]，这是啥像素是啥[泪奔]？,用户6204473460534,1915776824250668,9,2,2025/3/2 19:48,广东,
14,7477032888144235810,,,,,,,,,,,,L1,7477048402124882723,工业大省的税收，给农业大省提供补贴政策。,用户3203133556866,1739847914768868,5,0,2025/3/2 11:26,广东,
15,7477032888144235810,,,,,,,,,,,,L1,7477177457880122139,山西人民收到[灵机一动],李姐思书,7474541819330724924,3,0,2025/3/2 19:47,山西,
16,7477032888144235810,,,,,,,,,,,,L1,7477148978855330570,超级玛丽的感觉[偷笑][偷笑],雨妈~象上家母婴大健康全国连锁青神店,92931829917,10,1,2025/3/2 17:56,四川,
17,7477032888144235810,,,,,,,,,,,,L1,7477153400891654950,[泪奔][泪奔][泪奔]农村学校能回归吗,周周吖,3265962220468547,18,3,2025/3/2 18:14,江苏,
18,7477032888144235810,,,,,,,,,,,,L1,7477156800753435444,振兴中国农村！[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],东方10,1011159795771806,7,0,2025/3/2 18:27,吉林,
19,7477032888144235810,,,,,,,,,,,,L1,7477189369015829306,我是不是该回村发展了[看],ღ᭄荒♡ۣۖ,93007027974,8,1,2025/3/2 20:33,广东,
20,7477032888144235810,,,,,,,,,,,,L1,7477183047046906682,啥时候的事,心情愉悦❤️,84084015096,7,0,2025/3/2 20:09,河北,
21,7477032888144235810,,,,,,,,,,,,L1,7477089067659756348,属于农民的一片天要来了！[鼓掌][鼓掌][鼓掌][赞],一啵诶冰美式🧊,233561462675256,9,1,2025/3/2 14:04,江苏,
22,7477032888144235810,,,,,,,,,,,,L1,7477117767334839094,我想在老家养殖一万只大鹅有“大礼包”吗？[感谢],劉小刘,94550497938,6,0,2025/3/2 15:55,四川,
23,7477032888144235810,,,,,,,,,,,,L1,7477198394864403250,叔叔家的老弟结婚，要20w彩礼，刚从我这借了米，还要5金[看],厂房仓库办公场地出租,534775904081211,5,0,2025/3/2 21:08,上海,
24,7477032888144235810,,,,,,,,,,,,L1,7477164226383315772,现在值钱的农产品没两个，咋个搞[捂脸][捂脸],热心 市民,51650543391,13,0,2025/3/2 18:56,云南,
25,7477032888144235810,,,,,,,,,,,,L1,7477204916902036284,我们村，书记开茶楼，副书记开超市，社长开家电超市，白天九点十点上班，四点下班回自己的第二产业上班。,锦公主,110957774887,0,0,2025/3/2 21:33,河南,
26,7477032888144235810,,,,,,,,,,,,L1,7477190240017629978,村里的路什么时候修,星辰拾光者,106730816189,7,1,2025/3/2 20:37,山东,
27,7477032888144235810,,,,,,,,,,,,L2,7477234797220692794,你也可以开,张斌,79163960703,0,0,2025/3/2 23:29,广东,
28,7477032888144235810,,,,,,,,,,,,L1,7477155019826823993,[泪奔][泪奔][泪奔]农村学校能回归吗,锦公主,110957774887,5,0,2025/3/2 18:20,河南,
29,7477032888144235810,,,,,,,,,,,,L1,7477160635131708194,振兴农村。贵在实施！,叶落知秋,1881986031690286,5,0,2025/3/2 18:42,河南,
30,7477032888144235810,,,,,,,,,,,,L1,7477150179307045690,属于农民的一片天要来了！[鼓掌][鼓掌][鼓掌][赞],天外飞仙,2933109982761671,3,0,2025/3/2 18:01,河北,
31,7477032888144235810,,,,,,,,,,,,L1,7477187254471377716,振兴中国农村！[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],守望,3126606066890103,4,0,2025/3/2 20:25,河北,
32,7477032888144235810,,,,,,,,,,,,L1,7477158391221142281,补贴直接发放，不经过当地的手！,快乐,109189609698,12,0,2025/3/2 18:33,江苏,
33,7477032888144235810,,,,,,,,,,,,L1,7477183365624906548,蛇年大吉，财源广进！,海参炒面,1302300131867660,2,0,2025/3/2 20:10,广西,
34,7477032888144235810,,,,,,,,,,,,L1,7477180215955014437,开头那个游戏界面，让我觉得我更像个npc了[看],丁亓小说,121381800116810,4,0,2025/3/2 19:58,吉林,
35,7477032888144235810,,,,,,,,,,,,L1,7477202694227297034,[泪奔][泪奔][泪奔]农村学校能回归吗,新年新号推文,1792647667127612,0,0,2025/3/2 21:25,山东,
36,7477032888144235810,,,,,,,,,,,,L1,7477175797535540027,期待更多惠民政策的实施,海湾圣姑,110098149148,1,0,2025/3/2 19:40,广西,
37,7477032888144235810,,,,,,,,,,,,L1,7477198499605742393,我是农民，啥时候能收到[泪奔],🥇三颗金豆,104576767448,1,0,2025/3/2 21:09,河南,
38,7477032888144235810,,,,,,,,,,,,L2,7477160955001062170,保护好国人的饭碗[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌],雪小芹,98179954584,2,0,2025/3/2 18:43,湖北,
