序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7481851479289122111,一年春作首，奋进正当时！卫星视角看奋进的春天！ #绘说现代化,https://www.douyin.com/video/7481851479289122111,1742004325,59,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,5137,506,419,415686,529,video,,,,,,,,,
2,7481851479289122111,,,,,,,,,,,,L1,7482359718779224892,祖国越来越强大，人民日子过得越来越好，这就是我们伟大的祖国[感谢][感谢][感谢],凡事看开点,1544141412761868,2,0,2025-03-16 18:57:12,广东,
3,7481851479289122111,,,,,,,,,,,,L1,7481856038230508327,春风浩荡满目新，扬帆奋进正当时。,巧克力泡泡芙,93252142062,15,1,2025-03-15 10:22:46,浙江,
4,7481851479289122111,,,,,,,,,,,,L1,7482367253578924857,精彩万千祖国繁荣昌盛，富强和谐。祝我们祖国越来越好[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],晨曦,3346551270554536,25,1,2025-03-16 19:26:27,河北,
5,7481851479289122111,,,,,,,,,,,,L1,7482360167879983899,从春天出发，走进美好的未来[赞][赞][赞],东溪流水,104963899742,11,0,2025-03-16 18:58:59,福建,
6,7481851479289122111,,,,,,,,,,,,L1,7482382974597825290,卫星俯瞰，春回大地，万物复苏，一片生机勃勃，祝祖国繁荣富强[赞][赞][赞][赞][赞],漆🚴🏻‍♀🏃‍♀️⛹️🏻,1871841005158121,5,0,2025-03-16 20:27:29,新疆,
7,7481851479289122111,,,,,,,,,,,,L1,7482349210613400332,祖国越来越强大，人民日子过得越来越好，这就是我们伟大的祖国[感谢][感谢][感谢],任务,100712718975,68,5,2025-03-16 18:16:28,山东,
8,7481851479289122111,,,,,,,,,,,,L1,7482353597608018725,精彩视频，祖国的花朵，好看吗太棒了！[赞][赞][赞][赞][赞][赞],雪花的❄️,4446040604021528,10,0,2025-03-16 18:33:31,河南,
9,7481851479289122111,,,,,,,,,,,,L1,7482374941954966272,精彩万千祖国繁荣昌盛，富强和谐。祝我们祖国越来越好[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],情绪的错觉,4391910310677930,12,0,2025-03-16 19:56:18,浙江,
10,7481851479289122111,,,,,,,,,,,,L1,7482368770142683939,山河无恙，人民生活富足，为伟大的祖国点赞[赞][赞][赞][鼓掌][鼓掌],暖村,2919950132193421,18,0,2025-03-16 19:32:23,吉林,
