序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7484832580353740071,中国人春耕的科技含量有多高？农机+北斗、植保+无人机…60秒打开万象“耕”新的春天👍#绘说现代化,https://www.douyin.com/video/7484832580353740071,1742698592,68,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3036,283,741,101743,94,video,,,,,,,,,
2,7484832580353740071,,,,,,,,,,,,L1,7484859257781224246,这是哪里[看],酒仙,1253880649745902,1,1,2025-03-23 12:36:48,广东,
3,7484832580353740071,,,,,,,,,,,,L1,7559140835272491835,我们北方种地全是机器化，飞机洒药玉米收制机，种地也是机器种,一切随缘，,775589446821529,0,0,2025-10-09 16:47:10,辽宁,
4,7484832580353740071,,,,,,,,,,,,L1,7484848988262777657,还打算回农村种地  现在看来我连种地的能力也没得[捂脸][捂脸][捂脸],亦灏(hao)姐姐,61178808638067,2,1,2025-03-23 11:56:52,云南,
5,7484832580353740071,,,,,,,,,,,,L1,7484844905552413476,看看西南地区，60岁以上的老人在地里种庄稼,随风,107881478126,8,1,2025-03-23 11:41:05,重庆,
6,7484832580353740071,,,,,,,,,,,,L1,7486155868955738915,科技赋能农业，提高农业生产效率！[鼓掌][鼓掌][鼓掌],涅磐重生、,1543324920447820,0,0,2025-03-27 00:28:23,广东,
7,7484832580353740071,,,,,,,,,,,,L1,7495165016368055097,高科发展省力,珍jie,2676658824284701,0,0,2025-04-20 07:08:20,江西,
8,7484832580353740071,,,,,,,,,,,,L1,7508939395476833043,@[鼓掌][鼓掌][鼓掌][玫瑰][玫瑰][玫瑰],黄，松，三，天下黄氏家族一家亲，拒绝私,103697380933,0,0,2025-05-27 10:00:04,广东,
9,7484832580353740071,,,,,,,,,,,,L1,7485580678378586899,厉害了我的国[赞][赞][赞],妞妞,86472097138,0,0,2025-03-25 11:16:15,江苏,
10,7484832580353740071,,,,,,,,,,,,L1,7541309994814309177,科技兴国，我们会越来越好[赞]智慧农业[赞][赞][赞],中以农业园庞博士,95757415915,0,0,2025-08-22 15:34:22,河南,
11,7484832580353740071,,,,,,,,,,,,L1,7484844499451396899,平原还是可以，山区梯田就不行了,R～,97891037301,3,0,2025-03-23 11:39:30,广东,
12,7484832580353740071,,,,,,,,,,,,L1,7484975982962787106,今天我来的真早[大笑][大笑][大笑],52.1万人,102407029793,0,0,2025-03-23 20:09:42,山西,
