序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7487062983672188186,作为唯一没有平原的省份，贵州是如何种好田的？#绘说现代化  一起感受中国式现代化的磅礴力量！,https://www.douyin.com/video/7487062983672188186,1743217715,47,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2596,103,123,104545,68,video,,,,,,,,,
2,7487062983672188186,,,,,,,,,,,,L1,7498265860847747897,震撼的一副山水画，果然是艺术来源于生活[赞][赞][赞],QQ露,1837982828734640,0,0,2025-04-28 15:41:09,河南,
3,7487062983672188186,,,,,,,,,,,,L1,7487093774880326460,这视频拍的不亚于大片！[赞][赞][赞],虚简实杂，储蓄罐碎了不能拿,1425384111081319,2,0,2025-03-29 13:07:46,安徽,
4,7487062983672188186,,,,,,,,,,,,L1,7487069585298326335,震撼的一副山水画，果然是艺术来源于生活[赞][赞][赞],@小唯丫头,106567777091,6,1,2025-03-29 11:33:58,山东,
5,7487062983672188186,,,,,,,,,,,,L1,7487084466927584059,好喜欢一望无际的田,难不倒,99408155066,1,1,2025-03-29 12:31:40,辽宁,
6,7487062983672188186,,,,,,,,,,,,L1,7487082905174737716,我们贵州省这么美[赞][赞][赞][赞]空气特别好！,星星的天空,103118969627,2,0,2025-03-29 12:25:39,广东,
7,7487062983672188186,,,,,,,,,,,,L1,7487075926690972466,中国农耕现代化美丽富饶[鼓掌][鼓掌][鼓掌][鼓掌],静思语，悟～,101797107292,0,0,2025-03-29 11:58:32,四川,
8,7487062983672188186,,,,,,,,,,,,L1,7487064175295546138,也都用上ai制作了，省了无人机拍了[捂脸][捂脸][捂脸],阳光下的泡泡,2421602083416681,2,0,2025-03-29 11:12:58,陕西,
9,7487062983672188186,,,,,,,,,,,,L1,7487093407464260386,带我去贵州种田吧,热҉҉҈到҉҉҈模҉҉҈糊҉҉҈,63623652427,0,0,2025-03-29 13:06:26,广东,
10,7487062983672188186,,,,,,,,,,,,L1,7487084794687226681,这里的农民好找对象吧[思考][思考][思考],🍭🍭´▽,93521188787,0,0,2025-03-29 12:32:55,陕西,
11,7487062983672188186,,,,,,,,,,,,L1,7487076420854776633,震撼的一副山水画，果然是艺术来源于生活[赞][赞][赞]赞不停,古月,347920494241091,0,0,2025-03-29 12:00:25,河南,
12,7487062983672188186,,,,,,,,,,,,L1,7487069252877714210,来的有点早[捂脸],莹莹超会吃,98267372945,1,0,2025-03-29 11:32:39,湖北,
13,7487062983672188186,,,,,,,,,,,,L1,7487129681146397500,有没有组织去看梯田的旅行社[看],欢乐豆豆,96162606742,0,0,2025-03-29 15:27:06,江苏,
