序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7494838859981720868,数字牧场、绿色养殖、AI赋能…山东的海上春耕已经是另一个level了！#绘说现代化（@人民网山东频道🫰 ）,https://www.douyin.com/video/7494838859981720868,1745028179,38,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1078,35,24,56604,23,video,,,,,,,,,
2,7494838859981720868,,,,,,,,,,,,L1,7494851767008641818,"别人：靠山吃山，靠水吃水我：面朝黄土背朝天[可怜]",郏县胜远建材 砂石销售,81176894728,2,1,2025-04-19 10:52:45,河南,
3,7494838859981720868,,,,,,,,,,,,L1,7494840806613451535,齐鲁大地就是好！[赞][赞][赞],Y '( ❛ᴗ❛ ),101664695243,3,0,2025-04-19 10:10:15,湖北,
4,7494838859981720868,,,,,,,,,,,,L1,7494848793596445474,齐鲁大地就是好！[赞][赞][赞],小福宝👶妈咪,3428712928783872,0,0,2025-04-19 10:41:15,广东,
5,7494838859981720868,,,,,,,,,,,,L1,7494880651218404123,祝福祖国！[玫瑰][玫瑰][玫瑰],包包白,1816045877199272,0,0,2025-04-19 12:44:52,广东,
6,7494838859981720868,,,,,,,,,,,,L1,7494843609230983996,北方的沿海大省[赞][赞][赞],阿二头,2120294659523886,1,0,2025-04-19 10:21:06,上海,
7,7494838859981720868,,,,,,,,,,,,L1,7494849625103336242,我们在深圳也有大海的地方,用户5678762373081,99069523806,0,0,2025-04-19 10:44:24,广东,
8,7494838859981720868,,,,,,,,,,,,L1,7494890072824513306,伟大祖国实现数字化种养技术，愿祖国繁荣昌盛！,恒星🌍光环👑,99039848553,0,0,2025-04-19 13:21:23,广西,
9,7494838859981720868,,,,,,,,,,,,L1,7494840154327663417,“大海：‘我也有春耕啦，以前是鱼儿自己瞎长，现在有高科技伺候啦！’ 这海上春耕，就像给大海开启了‘豪华养殖套餐’，妥妥的海洋致富新潮流！”,古月,347920494241091,0,0,2025-04-19 10:07:40,河南,
10,7494838859981720868,,,,,,,,,,,,L1,7494850957609026338,山东虽然是沿海，但怎么是内陆省份的感觉[捂脸][捂脸],洋洋好物,1943536103603479,1,0,2025-04-19 10:49:38,山东,
11,7494838859981720868,,,,,,,,,,,,L1,7494845467454325561,开启海上绝色美食，尽显海鲜本色[比心],ydfqcyj,3900710729560702,0,0,2025-04-19 10:28:18,黑龙江,
12,7494838859981720868,,,,,,,,,,,,L1,7494865887754158900,看一下山东的农村大集,我是你的太阳,102827922770,0,0,2025-04-19 11:47:36,山东,
13,7494838859981720868,,,,,,,,,,,,L1,7494848362572596002,[一起加油],旷野狼,350123263274698,0,0,2025-04-19 10:39:36,北京,
14,7494838859981720868,,,,,,,,,,,,L1,7494843423813157695,[赞][赞][赞][赞],那山那水,3006501438910512,0,0,2025-04-19 10:20:28,安徽,
15,7494838859981720868,,,,,,,,,,,,L1,7494847372020253490,[赞][赞][赞],杨絮,4866175415912,0,0,2025-04-19 10:35:44,河南,
16,7494838859981720868,,,,,,,,,,,,L1,7494861426037850937,[爱心][爱心][爱心],一生回味一念,66914680249,0,0,2025-04-19 11:30:13,山东,
17,7494838859981720868,,,,,,,,,,,,L1,7494842266810565426,海边好，海边可以赶海吃海鲜[尬笑][尬笑][尬笑],草莓香啵啵,3441911332355988,1,0,2025-04-19 10:15:56,浙江,
18,7494838859981720868,,,,,,,,,,,,L1,7494843702780379963,[赞][赞][赞],凯哥ら,73612490631,0,0,2025-04-19 10:21:28,河南,
19,7494838859981720868,,,,,,,,,,,,L1,7494839578152518427,[玫瑰][玫瑰][玫瑰],丫丫,72521197237,0,0,2025-04-19 10:05:32,河南,
20,7494838859981720868,,,,,,,,,,,,L1,7494844542266360602,[赞][赞][赞][赞][赞][赞][赞],起风了🐼🐼🐼,50929451703,0,0,2025-04-19 10:24:44,四川,
21,7494838859981720868,,,,,,,,,,,,L1,7494849479289553674,好美,用户5678762373081,99069523806,0,0,2025-04-19 10:43:56,广东,
22,7494838859981720868,,,,,,,,,,,,L1,7494860331903697701,领导您好！我是云南省昭通市彝良县的大学生，想给全县大山里的农村孩子。免费去给他们放两部电影。可以帮忙出点建议和帮助吗？,司晨,1645297155978126,0,0,2025-04-19 11:25:59,云南,
23,7494838859981720868,,,,,,,,,,,,L1,7494842483869287180,好客山东欢迎你,大笑小乐麻麻,67684885260,1,0,2025-04-19 10:16:47,辽宁,
24,7494838859981720868,,,,,,,,,,,,L2,7494851780405789450,[赞],郏县胜远建材 砂石销售,81176894728,1,0,2025-04-19 10:52:50,河南,
