序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7497431094980037922,全国每9碗饭里就有1碗来自黑龙江！这就是全国产粮第一大省的春耕含金量👍#绘说现代化,https://www.douyin.com/video/7497431094980037922,1745631885,48,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2203,87,47,110628,63,video,,,,,,,,,
2,7497431094980037922,,,,,,,,,,,,L1,7497493058473329444,想尝试一下中国黑龙江的大米。[泣不成声],Belen,7488688263886406714,3,2,2025-04-26 13:42:20,美国,
3,7497431094980037922,,,,,,,,,,,,L1,7497640510736302887,这就是中国人的智慧[赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰][感谢][感谢],晏庆华,1108729512332909,0,0,2025-04-26 23:14:31,云南,
4,7497431094980037922,,,,,,,,,,,,L1,7497448817455088384,东北是中国的粮仓，东北大米比南方大米好吃。,用户3720175824881,85120685927,2,0,2025-04-26 10:50:44,江苏,
5,7497431094980037922,,,,,,,,,,,,L1,7497437979271922443,真的是太发达了，给祖国点赞[赞][赞][赞],松涛狐尼克,95881691693,4,0,2025-04-26 10:08:38,吉林,
6,7497431094980037922,,,,,,,,,,,,L1,7497472399584789288,小时候跟着大人插秧，最怕蚂蟥了。[流泪],鸡汤炖鱼头,96044896833,0,0,2025-04-26 12:22:09,福建,
7,7497431094980037922,,,,,,,,,,,,L1,7497493012835582755,[比心][比心][比心][比心][比心][比心][微笑],可爱的人,3705815427975900,0,0,2025-04-26 13:42:12,新疆,
8,7497431094980037922,,,,,,,,,,,,L1,7497433661018571570,希望的田野,夏日漂雪,100153463019,1,0,2025-04-26 09:51:50,江苏,
9,7497431094980037922,,,,,,,,,,,,L1,7497437307965358889,应该大规模耕种[赞][赞][赞],淡若幽蘭,102231302265,1,0,2025-04-26 10:06:00,安徽,
10,7497431094980037922,,,,,,,,,,,,L1,7498607240627127099,什么时候盆地 也可以这样进行机械化大面积插秧打谷， 好期待哦,璀璨星河 。,4213752689854663,0,0,2025-04-29 13:45:52,江苏,
11,7497431094980037922,,,,,,,,,,,,L1,7497464871022478137,[爱心][爱心][爱心],一生回味一念,66914680249,0,0,2025-04-26 11:52:54,山东,
12,7497431094980037922,,,,,,,,,,,,L1,7497433948181463866,来早了,润瑞啊 📷,105325757654,1,0,2025-04-26 09:52:56,广东,
13,7497431094980037922,,,,,,,,,,,,L1,7497439707303854882,人工栽是最好的。人工栽就是产量高。有的这个机器在你还要去扶他，有的都倒了飘了。,云子李,254721527384040,0,1,2025-04-26 10:15:18,江苏,
14,7497431094980037922,,,,,,,,,,,,L1,7497759924434158370,真先进了，全是机械化[赞][赞][赞],钓翁,95542054925,2,0,2025-04-27 06:58:04,黑龙江,
15,7497431094980037922,,,,,,,,,,,,L1,7498576794698908452,"龍江粮仓品牌振兴工程
让中国饭碗装上更多龙江好粮[奋斗][奋斗][奋斗]",用户8443126702304,3905927558208091,0,0,2025-04-29 11:47:47,黑龙江,
16,7497431094980037922,,,,,,,,,,,,L1,7497435346612536123,中国[玫瑰][玫瑰][玫瑰],ঞ໊ 、幻殇 ✨,75318872794,0,0,2025-04-26 09:58:21,广东,
17,7497431094980037922,,,,,,,,,,,,L1,7497448260321248015,黑土地，大粮仓[赞][赞][赞],紫樱,109132116419,0,0,2025-04-26 10:48:33,贵州,
18,7497431094980037922,,,,,,,,,,,,L1,7497756032073777960,黑龙江大粮仓。[赞][赞][赞],小每攵,1116711471298733,1,0,2025-04-27 06:42:59,黑龙江,
19,7497431094980037922,,,,,,,,,,,,L1,7497440965687952180,果然，科技改变命运，创新改变时代呀,罗罗很开心,3156064836256732,1,0,2025-04-26 10:20:13,贵州,
20,7497431094980037922,,,,,,,,,,,,L1,7497437604448355081,东北黑土地~主粮~水稻，玉米，大豆。蔬菜~白菜，萝卜。,流水有声,2101866849379960,1,0,2025-04-26 10:07:10,江苏,
21,7497431094980037922,,,,,,,,,,,,L1,7497433000997897001,现在种地也用上了高科技了,念重生,3061490502599064,1,0,2025-04-26 09:49:17,上海,
22,7497431094980037922,,,,,,,,,,,,L1,7497433761077854991,这宽度也太宽了吧。,云子李,254721527384040,0,3,2025-04-26 09:52:18,江苏,
23,7497431094980037922,,,,,,,,,,,,L1,7497500240960324393,要开始春耕了,多柳蒸刚,105138449331,1,0,2025-04-26 14:10:19,辽宁,
24,7497431094980037922,,,,,,,,,,,,L1,7497444642582283067,565赞我来打卡[比心][比心][比心],时光带不走记忆,4375679654443644,0,0,2025-04-26 10:34:25,安徽,
25,7497431094980037922,,,,,,,,,,,,L1,7497545280352453434,农业机械走向世界行吗,数据共享,1081553687443175,1,0,2025-04-26 17:04:57,河北,
26,7497431094980037922,,,,,,,,,,,,L1,7498227629989954361,风调雨顺国泰民安[比心],o(≧v≦)o,1873168353985576,1,0,2025-04-28 13:12:49,黑龙江,
27,7497431094980037922,,,,,,,,,,,,L1,7497437867518870291,河南今年少雨水，小麦还能高产吗,南风💫9088,101496565904,0,0,2025-04-26 10:08:10,河北,
28,7497431094980037922,,,,,,,,,,,,L1,7497627754067411772,年年大丰收,兰兰,4054597214937831,0,0,2025-04-26 22:24:58,江西,
29,7497431094980037922,,,,,,,,,,,,L1,7506873820494988041,@[赞][赞][赞][赞],用户8577732322772,545835946353956,0,0,2025-05-21 20:24:27,浙江,
30,7497431094980037922,,,,,,,,,,,,L1,7497726691155919667,一年之计在于春[赞][赞],☆东北人☆,4103807684575565,1,0,2025-04-27 04:49:13,黑龙江,
31,7497431094980037922,,,,,,,,,,,,L1,7497441574148031282,@[赞][赞][赞][赞],梅花,738523640759927,0,0,2025-04-26 10:22:34,贵州,
32,7497431094980037922,,,,,,,,,,,,L1,7497433882686898996,五六寸就差不多了。,云子李,254721527384040,0,0,2025-04-26 09:52:44,江苏,
33,7497431094980037922,,,,,,,,,,,,L1,7497598291979715347,@[赞][赞][赞],吴二娘,483416462865335,0,0,2025-04-26 20:30:40,四川,
34,7497431094980037922,,,,,,,,,,,,L1,7497433381107712809,黑龙江第一，河南第二！,戚查查,4420453110127108,3,0,2025-04-26 09:50:50,河南,
35,7497431094980037922,,,,,,,,,,,,L1,7497553207796941579,"龍江粮仓品牌振兴工程
让中国饭碗装上更多龙江好粮
养育中国人[奋斗][奋斗][奋斗]",用户8443126702304,3905927558208091,1,0,2025-04-26 17:35:47,黑龙江,
36,7497431094980037922,,,,,,,,,,,,L1,7497461098040476427,[赞][赞][赞],祝福明天，你好,4041436927109047,0,0,2025-04-26 11:38:19,山东,
37,7497431094980037922,,,,,,,,,,,,L2,7497539633623204668,黑龙江大米不好，都不用配菜吃，没意思[呲牙],赤脚走天涯,92772637515,0,0,2025-04-26 16:43:01,黑龙江,
38,7497431094980037922,,,,,,,,,,,,L2,7497525455709602597,稻花香，五常市特产，真的好吃,🐰🐰狮子,1750844987675460,0,0,2025-04-26 15:48:01,黑龙江,
39,7497431094980037922,,,,,,,,,,,,L1,7497450820168024890,中国大粮仓，美丽黑龙江[666][666][666],军无戏言,1019943657146190,4,0,2025-04-26 10:58:24,黑龙江,
40,7497431094980037922,,,,,,,,,,,,L1,7497778656836879164,产粮第一工资到数苐一[捂脸],？串，串，门？,2893511228921784,0,0,2025-04-27 08:10:34,黑龙江,
41,7497431094980037922,,,,,,,,,,,,L1,7497482751466521402,我们实现了农业现代化[鼓掌][鼓掌][鼓掌],青青芳草,2603271957279415,1,0,2025-04-26 13:02:17,吉林,
42,7497431094980037922,,,,,,,,,,,,L1,7497433727729238784,这这航道太稀也太稀了吧。,云子李,254721527384040,0,0,2025-04-26 09:52:10,江苏,
43,7497431094980037922,,,,,,,,,,,,L1,7497470081326138169,希望可以得到普及 我的家乡哪有这些啊[赞][赞],初见,4075263019460388,0,0,2025-04-26 12:13:08,宁夏,
44,7497431094980037922,,,,,,,,,,,,L1,7497456004926899003,[赞][赞][赞][赞][赞][赞][赞][赞],阿鱼摆摆🐠,96177859521,0,0,2025-04-26 11:18:31,四川,
45,7497431094980037922,,,,,,,,,,,,L1,7497478751068898107,!应该大规模耕种[b赞][赞][赞][色],叮当小黑子,2777832976563472,0,0,2025-04-26 12:46:45,河北,
46,7497431094980037922,,,,,,,,,,,,L1,7497437579215045387,[玫瑰][玫瑰][玫瑰],锦鲤（李）🐮,3712417776549198,0,0,2025-04-26 10:07:03,重庆,
47,7497431094980037922,,,,,,,,,,,,L1,7497432968044495674,[感谢][感谢][感谢],要吃兜里的糖嘛,1275075025980871,0,0,2025-04-26 09:49:09,河南,
48,7497431094980037922,,,,,,,,,,,,L1,7497440471343301433,[赞][赞][赞],酱门提酒,95865576251,0,0,2025-04-26 10:18:14,湖南,
49,7497431094980037922,,,,,,,,,,,,L1,7497642531963618108,[赞][赞][赞][赞],用户战神,448239153722350,0,0,2025-04-26 23:22:20,河北,
