序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7500000282186435879,你的浪漫七成来自云南🌷全国每10枝鲜切花7枝来自云南🌷每天有3000万枝鲜切花从昆明斗南花市发往全球50多个国家和地区🌷#绘说现代化,https://www.douyin.com/video/7500000282186435879,1746229911,50,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2282,70,34,113808,75,video,,,,,,,,,
2,7500000282186435879,,,,,,,,,,,,L1,7500016426616472372,五一不出门有三大理由:  1.没钱。2.懒   3.没人陪！你属于哪种？,🍀玥玥小盆友,89013668750,4,3,2025-05-03 08:54:18,新疆,
3,7500000282186435879,,,,,,,,,,,,L1,7500024939182113596,谁五一还躺在家里的，平衡一下我的心情[黑脸],晴天娃娃～😋,73166671994,5,3,2025-05-03 09:27:17,四川,
4,7500000282186435879,,,,,,,,,,,,L1,7500139516973482811,容颜灼灼似桃花，一瞥惊鸿应见画！[赞][赞][赞][赞][赞][赞]！,缘,111123728328,0,0,2025-05-03 16:51:55,广东,
5,7500000282186435879,,,,,,,,,,,,L1,7500019716779148090,五一在福建厦门[比心][比心][比心],望海看风景,477615365042612,0,0,2025-05-03 09:07:01,福建,
6,7500000282186435879,,,,,,,,,,,,L1,7500073456189342499,哇哇哇哇哇哇哇哇哇太美了,我就是我，无法选择,93099290204,0,0,2025-05-03 12:35:33,安徽,
7,7500000282186435879,,,,,,,,,,,,L1,7500006142912922428,告诉我你们五一也加班[泣不成声][泣不成声],爱吃手抓饼,2414978664240734,1,0,2025-05-03 08:14:23,广东,
8,7500000282186435879,,,,,,,,,,,,L1,7500001532756083506,云南有这么多花欸[送心][送心][送心],晓月吖,2617108085003,1,0,2025-05-03 07:56:32,江苏,
9,7500000282186435879,,,,,,,,,,,,L1,7500006683047297818,哇人好少现在[不失礼貌的微笑][不失礼貌的微笑],用户5163825601019,96836601452,0,0,2025-05-03 08:16:34,广东,
10,7500000282186435879,,,,,,,,,,,,L1,7500005178125566735,彩云之南欢迎你[鼓掌][玫瑰],月儿清宁,118397438006510,3,0,2025-05-03 08:10:39,云南,
11,7500000282186435879,,,,,,,,,,,,L1,7500015249773609787,超多鲜花[赞],萌萌,4283323030970206,0,0,2025-05-03 08:49:41,湖南,
12,7500000282186435879,,,,,,,,,,,,L1,7500011654093603643,好美,开水泡饭,94639044292,0,0,2025-05-03 08:35:44,江苏,
13,7500000282186435879,,,,,,,,,,,,L1,7500030391752459071,五一有来大姨妈的吗[流泪],🐙麦芽栀,1190135896484089,1,0,2025-05-03 09:48:32,安徽,
14,7500000282186435879,,,,,,,,,,,,L1,7500018333703242553,没钱没谷，大门不出，二门不迈,撩个羊,85387083032,0,0,2025-05-03 09:01:40,广东,
15,7500000282186435879,,,,,,,,,,,,L1,7500000981523890994,属于你们的五一假期的浪漫是什么🤔,BaoJM,71875489431,1,0,2025-05-03 07:54:23,内蒙古,
16,7500000282186435879,,,,,,,,,,,,L1,7500007168252314425,五一带孩子到桐城六尺巷看看，给孩子种下廉洁自律和礼让三尺[玫瑰],雨中觉悟,101744792405,1,0,2025-05-03 08:18:21,安徽,
17,7500000282186435879,,,,,,,,,,,,L1,7500192607046484796,太美了,兰兰,4054597214937831,0,0,2025-05-03 20:17:54,江西,
18,7500000282186435879,,,,,,,,,,,,L1,7500013743843263291,好美,雪儿,57009396503,0,0,2025-05-03 08:43:52,河北,
19,7500000282186435879,,,,,,,,,,,,L1,7500051543157162778,五一回不去[流泪],江夏🇨🇳雲遊客,108147565066,0,0,2025-05-03 11:10:31,江西,
20,7500000282186435879,,,,,,,,,,,,L1,7500006961048732473,我又想回家了[泣不成声],小某亻,94286862943,0,0,2025-05-03 08:17:32,新加坡,
21,7500000282186435879,,,,,,,,,,,,L1,7500042057910780731,等着我 马上来[捂脸][捂脸][捂脸],独守叶人❤️,103041350363,0,0,2025-05-03 10:33:42,浙江,
22,7500000282186435879,,,,,,,,,,,,L1,7500065571591209740,在家睡觉,多柳蒸刚,105138449331,0,0,2025-05-03 12:05:02,辽宁,
23,7500000282186435879,,,,,,,,,,,,L1,7500043288189338426,欢迎来到云南,不乱于心,2225024776013151,0,0,2025-05-03 10:38:31,云南,
24,7500000282186435879,,,,,,,,,,,,L1,7500063352984240955,@[赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],太湖,111318803556,0,0,2025-05-03 11:56:21,浙江,
25,7500000282186435879,,,,,,,,,,,,L1,7500002139096335162,花城,🌟冲,92514047969,0,0,2025-05-03 07:58:49,江西,
26,7500000282186435879,,,,,,,,,,,,L1,7500015712095011593,鲜花的源头在云南，浪漫的源头在哪里,@木木记,89638490542,2,1,2025-05-03 08:51:30,广西,
27,7500000282186435879,,,,,,,,,,,,L1,7500026263970054952,云南省[赞][赞][赞][比心][比心][比心],小松哥,69754601892,1,0,2025-05-03 09:32:29,浙江,
28,7500000282186435879,,,,,,,,,,,,L1,7500000989215359779,我好想去[送心][送心][送心],稻米,102990802412,0,0,2025-05-03 07:54:23,四川,
29,7500000282186435879,,,,,,,,,,,,L1,7500005009393713939,我的五一假期是给媳妇各种投喂@左边，右边,🌈王小小 ²₀²,111361038041,0,0,2025-05-03 08:10:02,陕西,
30,7500000282186435879,,,,,,,,,,,,L1,7500007330441020200,[赞][赞][赞][赞][赞][赞][赞],🐧原溢🐧,1187116000479311,0,0,2025-05-03 08:19:00,广东,
31,7500000282186435879,,,,,,,,,,,,L1,7500015382124659475,[爱心][爱心][爱心][比心][比心][比心],富福,3338538817949198,1,0,2025-05-03 08:50:17,广东,
32,7500000282186435879,,,,,,,,,,,,L1,7500131822920106812,祥云瑞气福地洞天,家和万事和天下和,2738234536500379,0,0,2025-05-03 16:22:02,福建,
33,7500000282186435879,,,,,,,,,,,,L1,7500012498298438426,没买过花送老婆的集合[捂脸],诚盟,88054124312,0,0,2025-05-03 08:39:04,广东,
34,7500000282186435879,,,,,,,,,,,,L1,7500137885137879865,[比心][比心][比心],一生回味一念,66914680249,0,0,2025-05-03 16:45:35,山东,
35,7500000282186435879,,,,,,,,,,,,L1,7500001441655194409,我们大云南就是[赞][赞],是静静呀,101400400002,0,0,2025-05-03 07:56:11,浙江,
36,7500000282186435879,,,,,,,,,,,,L1,7500001569993458489,[赞][赞][赞],纸船,4281964753348011,0,0,2025-05-03 07:56:39,江西,
37,7500000282186435879,,,,,,,,,,,,L1,7500013243433157386,[玫瑰][玫瑰][玫瑰],让泪化作相思雨,109707732721,0,0,2025-05-03 08:41:57,重庆,
38,7500000282186435879,,,,,,,,,,,,L1,7500013181843981065,[玫瑰][玫瑰][玫瑰],让泪化作相思雨,109707732721,0,0,2025-05-03 08:41:45,重庆,
39,7500000282186435879,,,,,,,,,,,,L1,7500008761148359461,[666][666][666][赞][赞][赞],黄，松，三，天下黄氏家族一家亲，拒绝私,103697380933,0,0,2025-05-03 08:24:36,广东,
40,7500000282186435879,,,,,,,,,,,,L1,7500013261359907635,[666][666][666],让泪化作相思雨,109707732721,0,0,2025-05-03 08:42:02,重庆,
41,7500000282186435879,,,,,,,,,,,,L1,7500615774931911487,[赞][赞][赞],季子花,111473611737,0,0,2025-05-04 23:40:04,浙江,
42,7500000282186435879,,,,,,,,,,,,L1,7500003660812305167,云南鲜花多少钱一朵,明天和意外那个先来,100472570683,0,0,2025-05-03 08:04:51,广东,
43,7500000282186435879,,,,,,,,,,,,L1,7500010872825692987,[鼓掌][鼓掌][鼓掌],女神,75127549939,0,0,2025-05-03 08:32:44,广东,
44,7500000282186435879,,,,,,,,,,,,L1,7500005816566760229,[赞][赞][赞],小平,4182140458893789,0,0,2025-05-03 08:13:09,广东,
45,7500000282186435879,,,,,,,,,,,,L1,7500062684270265147,[比心][比心][比心],A孩子气💋,74459934801,0,0,2025-05-03 11:53:46,山东,
46,7500000282186435879,,,,,,,,,,,,L1,7500136451817407273,自觉点，把我的15枝给我邮来,Cui,1662049381526142,0,0,2025-05-03 16:40:04,广东,
47,7500000282186435879,,,,,,,,,,,,L2,7500087337012101926,[咖啡][咖啡][咖啡][赞][赞][赞][微笑][微笑][微笑][感谢][感谢][感谢][玫瑰][玫瑰][玫瑰][666][666][666][鼓掌][鼓掌][鼓掌][爱心][爱心][爱心],用户277745879074,70783499507827,0,0,2025-05-03 13:29:26,四川,
48,7500000282186435879,,,,,,,,,,,,L2,7500062598408291112,没钱又没人陪，所以懒得出门[泣不成声],立 夏,71107752864,0,0,2025-05-03 11:53:29,河南,
49,7500000282186435879,,,,,,,,,,,,L2,7500017903632286522,[害羞],宁静致远,101793258668,0,0,2025-05-03 09:00:01,广东,
50,7500000282186435879,,,,,,,,,,,,L1,7500013200768860965,[666][666][666],让泪化作相思雨,109707732721,0,0,2025-05-03 08:41:51,重庆,
51,7500000282186435879,,,,,,,,,,,,L1,7500013157094048539,[666][666][666],让泪化作相思雨,109707732721,0,0,2025-05-03 08:41:39,重庆,
52,7500000282186435879,,,,,,,,,,,,L1,7500013386547266354,[赞][爱心][比心][赞][爱心][比心][赞][赞][赞][比心][比心][比心][鼓掌][鼓掌][鼓掌],让泪化作相思雨,109707732721,0,0,2025-05-03 08:42:32,重庆,
53,7500000282186435879,,,,,,,,,,,,L1,7500082197975679759,[赞][赞][赞][赞][赞][赞],七妹纺织,111192037959,0,0,2025-05-03 13:09:33,湖南,
54,7500000282186435879,,,,,,,,,,,,L1,7500117605408293690,[赞][赞][赞][赞][赞],用户战神,448239153722350,0,0,2025-05-03 15:26:52,河北,
55,7500000282186435879,,,,,,,,,,,,L1,7500009089397998395,好美的💐花花，好想在屏幕里摘一朵哦[捂脸]云南四季如春，适合种花花,郭梅儿,1062580713961385,4,0,2025-05-03 08:25:47,四川,
56,7500000282186435879,,,,,,,,,,,,L1,7511393359962637093,[赞][赞][赞][赞][赞][赞][比心][比心][比心][比心][比心],27544592091,2744028094275678,0,0,2025-06-03 00:42:42,安徽,
57,7500000282186435879,,,,,,,,,,,,L1,7500001215616418569,[玫瑰][玫瑰][玫瑰],asuka,3186848030534259,0,0,2025-05-03 07:55:18,宁夏,
58,7500000282186435879,,,,,,,,,,,,L1,7500002921888744227,[赞][赞][赞][赞][赞][赞],悠悠兮兮漫漫,101811108908,0,0,2025-05-03 08:01:58,辽宁,
59,7500000282186435879,,,,,,,,,,,,L2,7500220086885597961,我，不过我们这里在办花展,雪山白玫,99779697085,0,0,2025-05-03 22:04:35,云南,
60,7500000282186435879,,,,,,,,,,,,L2,7500156200152220454,[微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑],我去你,1508993503864431,0,0,2025-05-03 17:56:39,甘肃,
61,7500000282186435879,,,,,,,,,,,,L2,7500062677433221928,🙋🏻‍♀️,立 夏,71107752864,0,0,2025-05-03 11:53:48,河南,
62,7500000282186435879,,,,,,,,,,,,L1,7500247487777702710,[爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心],用户2340554879679,1324225311016333,0,0,2025-05-03 23:50:57,浙江,
63,7500000282186435879,,,,,,,,,,,,L1,7500036711885882127,[大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑],中国中国,2637074964429043,0,0,2025-05-03 10:13:07,重庆,
64,7500000282186435879,,,,,,,,,,,,L1,7500175393594065675,[爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心],用户2340554879679,1324225311016333,0,0,2025-05-03 19:11:10,浙江,
65,7500000282186435879,,,,,,,,,,,,L1,7500024895046157113,好想去云南旅游 可是我一个人从来没有离开过广东 也不敢去 怎么办好呀[快哭了][快哭了][快哭了],怡宝,102840905045,0,0,2025-05-03 09:27:08,广东,
66,7500000282186435879,,,,,,,,,,,,L1,7500014346970694459,浪漫的云南花城[比心][比心][比心][比心],@茉莉,483423982980654,0,0,2025-05-03 08:46:12,陕西,
67,7500000282186435879,,,,,,,,,,,,L1,7500067969838531380,1,一只羊素材仓（剪辑接单）,1801414720886272,0,0,2025-05-03 12:14:18,湖南,
68,7500000282186435879,,,,,,,,,,,,L1,7500002740502233893,好漂亮啊[比心][比心][比心],固镇楚韵舞蹈小雪,70350129542,1,0,2025-05-03 08:01:12,安徽,
69,7500000282186435879,,,,,,,,,,,,L1,7500001239536927545,哇塞！好漂亮[送心][送心][送心][送心][送心][送心],嫦娥,60766218912,0,0,2025-05-03 07:55:22,四川,
70,7500000282186435879,,,,,,,,,,,,L1,7500001110364734266,沙发🛋️[泪奔][泪奔][泪奔],等风来,99645123040,0,0,2025-05-03 07:54:51,福建,
71,7500000282186435879,,,,,,,,,,,,L1,7500000978710086459,第一[赞][赞][赞],吴浩,80349897612,0,0,2025-05-03 07:54:21,安徽,
72,7500000282186435879,,,,,,,,,,,,L1,7500825668839080738,p,用户2721415748892,3543107355810324,0,0,2025-05-05 13:14:34,河南,
73,7500000282186435879,,,,,,,,,,,,L1,7500062673816666920,彩云之南欢迎大家来看花、品茶、吃菌、摘果、赏景，还有小粒咖啡[玫瑰][玫瑰][玫瑰][玫瑰][大笑][大笑][大笑][大笑][大笑]！,Liz嘟嘟🍓,74091972862,1,0,2025-05-03 11:53:45,云南,
74,7500000282186435879,,,,,,,,,,,,L1,7500003121617683210,天下和，人民安，成就天下，人民，领导，万物和而繁荣,月之光日之芒,108231747631,0,0,2025-05-03 08:02:40,广西,
