序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7507812260703849743,非遗里的“陕味”好上头！一起感受中国式现代化的蓬勃生机🤩#绘说现代化,https://www.douyin.com/video/7507812260703849743,1748048781,52,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1976,98,29,91220,75,video,,,,,,,,,
2,7507812260703849743,,,,,,,,,,,,L1,7507819695541568313,山东人喜欢吃大饼，河南人喜欢吃烩面，山西人喜欢刀削面，陕西人喜欢吃啥？,金铃铃💰,56289784157,7,4,2025-05-24 09:34:56,河南,
3,7507812260703849743,,,,,,,,,,,,L1,7507962815371707170,"爱青山爱绿水爱蓝蓝的天，
爱母亲爱黄河爱我们乡间……
这歌曲太上头了。[呲牙][呲牙]张口就来！[耶][耶]",兰心蕙质,105738118440,2,0,2025-05-24 18:50:22,陕西,
4,7507812260703849743,,,,,,,,,,,,L1,7507818679746495267,接地气[呲牙],王叫兽,79324755691,0,0,2025-05-24 09:31:06,浙江,
5,7507812260703849743,,,,,,,,,,,,L1,7507815231022220092,陕北酸曲儿听起来治愈系[大笑]爱听,Forever👑🕌,14097635627,0,0,2025-05-24 09:17:37,湖北,
6,7507812260703849743,,,,,,,,,,,,L1,7507814169807504180,祖国的大好河山我爱我的祖国[赞][赞][赞][比心][比心][比心][玫瑰][玫瑰][玫瑰],爱国爱家爱生活,111420591759,0,0,2025-05-24 09:13:34,河南,
7,7507812260703849743,,,,,,,,,,,,L1,7508253260030788410,终于知道这首歌的歌词了。,我想对你撒个娇,94506721909,1,0,2025-05-25 13:37:22,山东,
8,7507812260703849743,,,,,,,,,,,,L1,7507849721512706850,欢迎大家都来陕西来旅游，感受一下陕西的文化底蕴，吃不一样的美食。,老唐@,3038661308586199,0,0,2025-05-24 11:31:31,北京,
9,7507812260703849743,,,,,,,,,,,,L1,7507886084174218022,那么近那么美，周末到河北，,我在未来等你,793171671130362,0,0,2025-05-24 13:52:36,河北,
10,7507812260703849743,,,,,,,,,,,,L1,7518799032065524540,三秦大地[鼓掌][鼓掌][鼓掌],一只遨游的红鲤鱼,2185469033975213,0,0,2025-06-22 23:40:21,广东,
11,7507812260703849743,,,,,,,,,,,,L1,7507812986384597818,第一滴[微笑][微笑][微笑],小橘子🌙,2654669809916707,0,0,2025-05-24 09:08:53,江苏,
12,7507812260703849743,,,,,,,,,,,,L1,7507827719712523067,去河南，品尝河南风味！,冰香服饰精品店,104952264975,0,0,2025-05-24 10:06:04,浙江,
13,7507812260703849743,,,,,,,,,,,,L1,7507900185373229863,那个地方那,12,102999569453,0,0,2025-05-24 14:47:19,云南,
14,7507812260703849743,,,,,,,,,,,,L1,7507815431798031164,划过……官方……不确定……揉揉眼………[流泪],天津胡说房道,105044641024,0,0,2025-05-24 09:18:22,天津,
