序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7510484975373421850,浙里好风景！浙江绘就中国式现代化文旅新范式👍 #绘说现代化 带你走进诗画江南❤️,https://www.douyin.com/video/7510484975373421850,1748671066,53,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1305,58,16,82955,27,video,,,,,,,,,
2,7510484975373421850,,,,,,,,,,,,L1,7510518462814520105,666升国旗仪式，[赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][666][666][666],淑霞,2686795453312524,0,0,2025-05-31 16:07:36,四川,
3,7510484975373421850,,,,,,,,,,,,L1,7510487330454373172,我怎么有一种看游戏世界的既视感？[捂脸],慧涯银,7497524318110762042,1,0,2025-05-31 14:06:45,湖南,
4,7510484975373421850,,,,,,,,,,,,L1,7510500405408187196,🥱走去西湖看大长腿去[泪奔][泪奔][泪奔],同在路上,70657928451,1,0,2025-05-31 14:57:26,浙江,
5,7510484975373421850,,,,,,,,,,,,L1,7510489092536009524,什么时候学会渐江话了；成了全国通！,诚信做人,93863646946,0,0,2025-05-31 14:13:35,甘肃,
6,7510484975373421850,,,,,,,,,,,,L1,7510529798255723283,我哪里都想去，可惜哪里都去不了[一起加油][一起加油][一起加油],洋葱卷卷,105551700920,1,0,2025-05-31 16:51:33,重庆,
7,7510484975373421850,,,,,,,,,,,,L1,7510487760815342394,没钱去哪里,从头开始,100487659422,1,2,2025-05-31 14:08:22,浙江,
8,7510484975373421850,,,,,,,,,,,,L1,7512014046141498171,节日多放二天假就更好。,王佐权,2300610869733822,0,0,2025-06-04 16:51:08,浙江,
9,7510484975373421850,,,,,,,,,,,,L1,7510513959099810612,欢迎来福建旅游[比心][赞],镜渊视界,100080883387,1,0,2025-05-31 15:50:04,福建,
10,7510484975373421850,,,,,,,,,,,,L1,7510489868498158386,童话世界里,付付有余,109984423605,0,0,2025-05-31 14:16:35,内蒙古,
11,7510484975373421850,,,,,,,,,,,,L1,7510507126852305724,不喜欢节假日去旅游，怕塞车塞人，我都是喜欢错峰去[偷笑],知遇安,94543616341,0,0,2025-05-31 15:23:31,广东,
12,7510484975373421850,,,,,,,,,,,,L1,7511771879120978738,al童年故事会,用户7996439993623,4142581245021773,0,0,2025-06-04 01:11:36,四川,
13,7510484975373421850,,,,,,,,,,,,L1,7510615694771651355,哇，好美的风景呀！,幸福之家。,2880323127351502,0,0,2025-05-31 22:24:52,江西,
14,7510484975373421850,,,,,,,,,,,,L1,7510532121988875035,童话世界,悟人生,69413885365,0,0,2025-05-31 17:00:33,四川,
15,7510484975373421850,,,,,,,,,,,,L1,7510488598026847033,Al制作的吗？,H、面包,105184476539511,0,0,2025-05-31 14:11:36,福建,
16,7510484975373421850,,,,,,,,,,,,L1,7510487502923367222,看了半天，原来是广告[捂脸][捂脸][捂脸][感谢][感谢][感谢],土豆😋,103383487284,0,0,2025-05-31 14:07:24,云南,
17,7510484975373421850,,,,,,,,,,,,L1,7510539002053165833,@[赞][赞][赞],用户8577732322772,545835946353956,0,0,2025-05-31 17:27:14,浙江,
18,7510484975373421850,,,,,,,,,,,,L1,7513896597362410275,!@[赞][a赞][赞][色],万福降临,51049951925369,0,0,2025-06-09 18:36:26,浙江,
19,7510484975373421850,,,,,,,,,,,,L1,7510618271240209210,[赞][赞][赞],季子花,111473611737,0,0,2025-05-31 22:34:49,浙江,
20,7510484975373421850,,,,,,,,,,,,L1,7510537688631952167,[鼓掌][鼓掌][鼓掌],艺桐通信,3140628342383246,0,0,2025-05-31 17:22:13,河北,
21,7510484975373421850,,,,,,,,,,,,L1,7510529157903352614,[赞],随圆圆722,1788237346245252,0,0,2025-05-31 16:49:04,四川,
22,7510484975373421850,,,,,,,,,,,,L1,7511166635009917753,[赞][赞][赞][感谢][感谢][感谢][感谢][玫瑰][玫瑰][玫瑰][666][666][666],kaixinmeiyih32,3531257882349223,0,0,2025-06-02 10:02:44,新疆,
23,7510484975373421850,,,,,,,,,,,,L1,7510742873626608444,[爱心][爱心][爱心],一生回味一念,66914680249,0,0,2025-06-01 06:38:23,山东,
