序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7513068623401995547,一起走进山水广西，感受中国式现代化的创新活力。#绘说现代化,https://www.douyin.com/video/7513068623401995547,1749272736,44,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3200,121,107,178288,119,video,,,,,,,,,
2,7513068623401995547,,,,,,,,,,,,L1,7513085576816706304,欢迎全国朋友们到广西来做客[比心][比心][比心],覃……！！！,97779661908,3,2,2025-06-07 14:09:17,广西,
3,7513068623401995547,,,,,,,,,,,,L1,7513072404755776315,我明年要去广西[捂脸],悟道,110272116189,7,7,2025-06-07 13:18:06,陕西,
4,7513068623401995547,,,,,,,,,,,,L1,7513072037059347227,人民网啥时候出个内蒙[调皮],邬少吗,1374836557617134,3,3,2025-06-07 13:16:45,内蒙古,
5,7513068623401995547,,,,,,,,,,,,L1,7513073441328284474,广西这也特出镜了吧，来个广西人仔细介绍一下哪里的瓜果最好吃[暗中观察],月亮邮递员,44455414468493,5,2,2025-06-07 13:22:07,贵州,
6,7513068623401995547,,,,,,,,,,,,L1,7513070283688739643,我是广西瑶族女孩，会说瑶话，小时候住在山里[呲牙],福满财多,1102133865229539,2,0,2025-06-07 13:09:53,广东,
7,7513068623401995547,,,,,,,,,,,,L1,7513107327625708347,西瓜5毛一斤，荔枝2块一斤，芒果10元5斤，现在广西水果[捂脸],用户6011685460507,95511043006,13,6,2025-06-07 15:33:37,广西,
8,7513068623401995547,,,,,,,,,,,,L1,7513069932578702119,这么多水果真羡慕广西人民,小叶,3825930453134222,2,0,2025-06-07 13:08:33,山西,
9,7513068623401995547,,,,,,,,,,,,L1,7513614590757225273,广西是真的美啊！去过一次还想去,康恋爱跳舞,55523646698,2,0,2025-06-09 00:22:05,广东,
10,7513068623401995547,,,,,,,,,,,,L1,7513357598976934716,看我IP，，,烂铜烂铁鸭毛牙膏皮,109184980996,7,5,2025-06-08 07:44:48,广西,
11,7513068623401995547,,,,,,,,,,,,L1,7516407904782795580,吃不完根本吃不完[灵机一动],瑾柠🐝,3179387963049884,0,0,2025-06-16 13:01:32,广西,
12,7513068623401995547,,,,,,,,,,,,L1,7513084098429616937,广西人在哪里来亮个Ip   [得意],金小禧,62420463483,1,2,2025-06-07 14:03:33,吉林,
13,7513068623401995547,,,,,,,,,,,,L1,7518591034605191948,欢迎到广西来[比心][比心],秋姐,83407886975,0,0,2025-06-22 10:13:20,广西,
14,7513068623401995547,,,,,,,,,,,,L1,7513385775918154553,[赞][赞][赞]，我家世代说白话,尘,923227448153549,0,0,2025-06-08 09:34:10,广西,
15,7513068623401995547,,,,,,,,,,,,L1,7513086251173430068,一年四季各种水果，吃不完吃不完[呲牙]关键很便宜,蟹老板不卖蟹黄堡,111078223840,1,0,2025-06-07 14:11:55,广西,
16,7513068623401995547,,,,,,,,,,,,L1,7513071873056949051,广西[玫瑰][玫瑰][玫瑰]我的家乡[比心][比心][比心],动漫幼宝,153587163610285,1,0,2025-06-07 13:16:02,广西,
17,7513068623401995547,,,,,,,,,,,,L1,7513169453942588194,"大自然的馈赠
劳动人民的成果[赞]",夕阳红㊥㊩㊫,104278962517,0,0,2025-06-07 19:34:47,辽宁,
18,7513068623401995547,,,,,,,,,,,,L1,7513558941822468924,欢迎人粉到广西游玩,万顺,69371543020,0,0,2025-06-08 20:46:06,湖北,
19,7513068623401995547,,,,,,,,,,,,L1,7513160573426647819,外地的兄弟姐妹们，快点来广西！荔枝上市了[舔屏][舔屏][舔屏][舔屏][舔屏][舔屏][舔屏],好运连连1,505412403606619,0,0,2025-06-07 19:00:19,广西,
20,7513068623401995547,,,,,,,,,,,,L1,7513503628285510463,我在南宁，第一个画面在哪里拍的，我要去打卡,伍五,98555153311,0,1,2025-06-08 17:11:34,广西,
21,7513068623401995547,,,,,,,,,,,,L1,7513071482168312603,人民网…就要去看看真正人民的生活…为人民发声[赞][赞][赞],多鱼学画画🐠,4284118603401788,0,0,2025-06-07 13:14:34,北京,
22,7513068623401995547,,,,,,,,,,,,L1,7513122471274595130,风景美如画具象化了,☀如意☀,1607937152255961,0,0,2025-06-07 16:32:24,四川,
23,7513068623401995547,,,,,,,,,,,,L1,7513451138730967842,其实广西南宁可以建一个水果旅游城市，旨在水果自由，体会各种物美价廉的水果,时宁,88100251139,1,0,2025-06-08 13:47:52,广西,
24,7513068623401995547,,,,,,,,,,,,L1,7513070912087442212,第一第一，欢迎大家来广西（虽然我不在）,最棒的我最棒,61274628961,0,0,2025-06-07 13:12:22,浙江,
