序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7515659057656548608,国人餐桌上，每10条大黄鱼就有8条来自福建宁德🤩一起走进福建，感受中国式现代化的磅礴力量！#绘说现代化,https://www.douyin.com/video/7515659057656548608,1749875744,63,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1673,79,37,104236,45,video,,,,,,,,,
2,7515659057656548608,,,,,,,,,,,,L1,7515660048908436262,弱弱问下：大黄鱼好吃么[九转大肠][九转大肠][九转大肠],༺晶晶王จุ๊บ,96109931295,3,4,2025-06-14 12:39:31,广西,
3,7515659057656548608,,,,,,,,,,,,L1,7515660914213913355,有福建的朋友请我去玩嘛[害羞][害羞][害羞],(＾▽＾) (≧ω≦) (◕‿◕✿) ^,1609316727004350,0,1,2025-06-14 12:42:53,湖南,
4,7515659057656548608,,,,,,,,,,,,L1,7515661578999006011,我们大福建出息了[赞][赞][赞][赞],伊伊要爆爆💰,852826124461757,3,0,2025-06-14 12:45:25,福建,
5,7515659057656548608,,,,,,,,,,,,L1,7515661524847018810,欢迎大家来我家乡安溪喝铁观音[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌],LH,1332204929821949,1,0,2025-06-14 12:45:13,广东,
6,7515659057656548608,,,,,,,,,,,,L1,7515692903440990995,[感谢]愿祖国繁荣昌盛，民族复兴崛起，人民生生不息！,皇家紫微,2630506456045008,0,0,2025-06-14 14:47:03,河北,
7,7515659057656548608,,,,,,,,,,,,L1,7515663251742262067,好好好，我们下个月就去福建旅游啦[鞠躬][灵机一动],许我暴富』,1196739038029704,3,1,2025-06-14 12:51:58,广东,
8,7515659057656548608,,,,,,,,,,,,L1,7515667682709209891,欢迎大家来福建旅游[爱心][爱心][爱心],💞昕昕优品,76562894143,0,0,2025-06-14 13:09:09,福建,
9,7515659057656548608,,,,,,,,,,,,L1,7515660863652856626,祝祖国繁荣昌盛[比心][比心][比心][比心][比心][比心],傻傻的等着,3764382140212031,0,0,2025-06-14 12:42:41,陕西,
10,7515659057656548608,,,,,,,,,,,,L1,7515699335935755019,了解了福建物产的丰富,轻轻的风吹到你的脸上,111085904563,0,0,2025-06-14 15:12:03,北京,
11,7515659057656548608,,,,,,,,,,,,L1,7515671022293566218,没想到我们大福建那么厉害[赞][赞][赞],星河不知意,96717968149,0,0,2025-06-14 13:22:06,福建,
12,7515659057656548608,,,,,,,,,,,,L1,7515665157936071483,想吃福建人[宕机][宕机][宕机],江夏堂,68519622179,0,0,2025-06-14 12:59:19,广西,
13,7515659057656548608,,,,,,,,,,,,L1,7515662559178392361,@夏末 大黄鱼你们家的产业之一吗[呲牙],创虾米,4446878954688606,0,0,2025-06-14 12:49:18,广东,
14,7515659057656548608,,,,,,,,,,,,L1,7515691977942713147,[赞][赞][赞],用户7783986669193袁，长字辈,1003176687829080,0,0,2025-06-14 14:43:23,重庆,
15,7515659057656548608,,,,,,,,,,,,L1,7515688369760240441,大黄鱼口感怎么样？,@🌈感谢经历🌈,4380881791748254,0,0,2025-06-14 14:29:25,广东,
16,7515659057656548608,,,,,,,,,,,,L1,7515675045588255546,[比心][比心][比心],一生回味一念,66914680249,0,0,2025-06-14 13:37:41,山东,
17,7515659057656548608,,,,,,,,,,,,L1,7515662191816344329,[赞][赞][赞][爱心][爱心][爱心][比心][比心][比心][666][666][666],美好夜空,1433362356505469,0,0,2025-06-14 12:47:51,山西,
18,7515659057656548608,,,,,,,,,,,,L1,7515677553949639484,反正我是没有吃过大黄鱼，也不知道是啥味儿的,金铃铃💰,56289784157,1,0,2025-06-14 13:47:25,河南,
19,7515659057656548608,,,,,,,,,,,,L1,7515661264330097449,[赞][赞][赞][赞][赞][赞],真实的，哈哈，人生平凡，,1050776598753980,0,0,2025-06-14 12:44:17,江苏,
20,7515659057656548608,,,,,,,,,,,,L1,7515660448575030056,[赞][赞][赞],总u郁,3787164529997480,1,0,2025-06-14 12:41:04,广东,
