序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7518280205874629938,打翻的调色盘、流动的风情画、文化的荟萃地……#绘说现代化 ，一起看新疆的N种打开方式！,https://www.douyin.com/video/7518280205874629938,1750486060,57,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1779,106,40,91786,51,video,,,,,,,,,
2,7518280205874629938,,,,,,,,,,,,L1,7518290797621461795,我现在还困在小时候课本里的（葡萄沟）里,大姨 ……讲车,91738983577,0,1,2025-06-21 14:48:16,广西,
3,7518280205874629938,,,,,,,,,,,,L1,7518283053711295292,放暑假了要去新疆吗？,孤芳自赏,71147882856,4,1,2025-06-21 14:18:05,四川,
4,7518280205874629938,,,,,,,,,,,,L1,7518291662852080394,有没有约的来一场说走就走的旅行，目的地新疆[捂脸][捂脸][捂脸]评论区留言[比心][比心][比心],岁月沉淀,1574120312804827,3,1,2025-06-21 14:51:31,广东,
5,7518280205874629938,,,,,,,,,,,,L1,7518305173091238666,新疆很好[赞][赞][赞],@王后余生,111552525262,2,0,2025-06-21 15:44:01,四川,
6,7518280205874629938,,,,,,,,,,,,L1,7518283089224450855,新疆好地方，必须去,･ω･🌴 卡侬隔扣斯蒂芬,94459064180,4,2,2025-06-21 14:18:17,陕西,
7,7518280205874629938,,,,,,,,,,,,L1,7518294819241706297,"人民网果然爱人民[比心]
新疆人民欢迎你们[玫瑰]",是张馨予啊🎀💫,75381559611,0,0,2025-06-21 15:03:45,新疆,
8,7518280205874629938,,,,,,,,,,,,L1,7518292499401016091,大美新疆欢迎您[赞][赞][赞][赞][赞][赞][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌],波哥,74215194440,0,0,2025-06-21 14:54:47,山东,
9,7518280205874629938,,,,,,,,,,,,L1,7518281437352919858,第一，简简单单。,没脑子（请投红夫人）,4221732945921735,0,0,2025-06-21 14:11:53,新疆,
10,7518280205874629938,,,,,,,,,,,,L1,7518281079666426681,去，必须去,几米,98006890324,0,0,2025-06-21 14:10:26,山东,
11,7518280205874629938,,,,,,,,,,,,L1,7530710179194159929,#大美新疆欢迎您[赞][赞][赞][赞][赞]a[赞][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][666],闪闪驾到,3414401544100024,0,0,2025-07-25 02:01:50,河北,
12,7518280205874629938,,,,,,,,,,,,L1,7542161092757488418,^#大美新疆欢迎您[赞][赞][赞][赞][赞]a[赞n][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][666][送心],虾鱼宝宝,4329213039222964,0,0,2025-08-24 22:37:06,河北,
13,7518280205874629938,,,,,,,,,,,,L1,7518291513127715603,，,戴静有冤无处诉！！,119209616488183,0,0,2025-06-21 14:51:00,浙江,
14,7518280205874629938,,,,,,,,,,,,L1,7518487047058326324,Ai制作的越来越好了，这个技术我也想学,雨,88594648535,0,0,2025-06-22 03:30:01,广东,
15,7518280205874629938,,,,,,,,,,,,L1,7518634362231210810,国家什么时候高速免费我就去,剪爱,104751778715,0,0,2025-06-22 13:01:21,江苏,
16,7518280205874629938,,,,,,,,,,,,L1,7518287817912910649,孩子适合去新疆吗？,喜乐,1392430482989063,2,1,2025-06-21 14:36:36,山东,
17,7518280205874629938,,,,,,,,,,,,L1,7536360618627777340,^Ai制作的越来越好f了，这个技术我也想学[比心],秋天的雨,3235227436596836,0,0,2025-08-09 07:28:20,河北,
