序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7520470158775684387,“不到4分钟便可收割一亩地”、“自动规划最优路线，不重割、不漏割”...1分钟看中国人三夏有多拼！#绘说现代化,https://www.douyin.com/video/7520470158775684387,1750995922,61,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1728,107,60,99248,53,video,,,,,,,,,
2,7520470158775684387,,,,,,,,,,,,L1,7520480272744743740,希望粮食价格涨涨吧，几斤粮食也不够买杯奶茶的,金铃铃💰,56289784157,5,5,2025-06-27 12:24:25,河南,
3,7520470158775684387,,,,,,,,,,,,L1,7520472212571898651,啥时候粮食价格能涨点,胡萝卜-须,60313009577,3,2,2025-06-27 11:53:09,安徽,
4,7520470158775684387,,,,,,,,,,,,L1,7520479620744364857,智慧农业,仲梓尤2号,2494159455009020,0,0,2025-06-27 12:21:53,江苏,
5,7520470158775684387,,,,,,,,,,,,L1,7520504323843998498,祝我们的祖国繁荣昌盛[鼓掌][鼓掌][鼓掌][鼓掌],格格的梦,77511599236,1,0,2025-06-27 13:57:48,浙江,
6,7520470158775684387,,,,,,,,,,,,L1,7520483807510905658,现在农村也现代化啦，一年四季都轻松拿捏,挺好的🚩,104936849870,1,0,2025-06-27 12:38:07,河北,
7,7520470158775684387,,,,,,,,,,,,L1,7520474557111927612,我们的祖国越来越繁荣富强[赞][赞],木子千千,91647956626,2,0,2025-06-27 12:02:14,陕西,
8,7520470158775684387,,,,,,,,,,,,L1,7520480306325127996,音乐喜欢[呲牙],little cat,102824008110,1,0,2025-06-27 12:24:33,广东,
9,7520470158775684387,,,,,,,,,,,,L1,7520484223566021434,告诉你们吧，我种了几亩玉米，钱是挣不到了还要倒贴，但丢慌又实在舍不得！,空城旧梦,1539738305313694,3,1,2025-06-27 12:39:46,云南,
10,7520470158775684387,,,,,,,,,,,,L1,7520472656719217471,[赞][赞][赞][鼓掌][鼓掌][鼓掌],💞余生安好💞,105057780263,0,0,2025-06-27 11:54:54,四川,
11,7520470158775684387,,,,,,,,,,,,L1,7520476680856158976,机械化越来越好了！希望收费价格也可以低点,姐弟,2515289920246413,1,0,2025-06-27 12:10:33,重庆,
12,7520470158775684387,,,,,,,,,,,,L1,7522413394885247784,以后农民靠什么现在都是机器,金芝,3175036546454855,0,0,2025-07-02 17:25:58,河南,
13,7520470158775684387,,,,,,,,,,,,L1,7520495999859016463,减员以后这个被减的人员需要重点考虑一下怎么安排[尬笑],墨云,2995533265515437,1,0,2025-06-27 13:25:31,浙江,
14,7520470158775684387,,,,,,,,,,,,L1,7520514152058602267,听音乐我还以为是农大丁同学的视频呢，仔细一看是人民网[捂脸],人在疆途,97972051609,0,0,2025-06-27 14:35:54,新疆,
15,7520470158775684387,,,,,,,,,,,,L1,7520618665235153721,版麦子比以便宜了，以前80元上百都有，今年才60元,贾同林,3381751047535454,0,0,2025-06-27 21:21:26,安徽,
16,7520470158775684387,,,,,,,,,,,,L1,7520896968722744073,开心就好下午好[赞],我的D〇∪,3342117486204120,0,0,2025-06-28 15:21:25,浙江,
17,7520470158775684387,,,,,,,,,,,,L1,7520471958594470666,中国农业“大”有可为[赞][赞][赞],🐙王不起吖,1662056100014093,3,1,2025-06-27 11:52:10,广东,
18,7520470158775684387,,,,,,,,,,,,L1,7520472202379985673,[来看我][来看我][来看我][爱心][爱心][爱心][玫瑰][玫瑰][玫瑰],廖勇,1179142228812829,2,0,2025-06-27 11:53:10,河南,
19,7520470158775684387,,,,,,,,,,,,L1,7520507652758651698,[赞][赞][赞],呆萌,111591610859,0,0,2025-06-27 14:10:43,新疆,
20,7520470158775684387,,,,,,,,,,,,L1,7520489482186015547,[赞][赞][赞][赞],山君是🐯,1992727609214366,0,0,2025-06-27 13:00:08,辽宁,
21,7520470158775684387,,,,,,,,,,,,L1,7520471430451970875,[赞][赞][赞][赞][赞][赞][赞][赞][赞],用户2440227226518,61171730227815,0,0,2025-06-27 11:50:06,安徽,
22,7520470158775684387,,,,,,,,,,,,L1,7520483195332379444,[玫瑰][赞][赞][赞][赞][大笑],飞花似梦√,1134340742594199,1,0,2025-06-27 12:35:50,陕西,
23,7520470158775684387,,,,,,,,,,,,L1,7520473225807479612,[爱心][爱心][爱心],一生回味一念,66914680249,1,0,2025-06-27 11:57:05,山东,
24,7520470158775684387,,,,,,,,,,,,L1,7520492789575451428,[666],戴静有冤无处诉！！,119209616488183,0,0,2025-06-27 13:13:04,浙江,
25,7520470158775684387,,,,,,,,,,,,L1,7521764467509281577,@,shan,132376534727373,0,0,2025-06-30 23:27:48,湖南,
26,7520470158775684387,,,,,,,,,,,,L1,7520471181263487794,[玫瑰][玫瑰][玫瑰],情话,1005413596670816,0,0,2025-06-27 11:49:09,贵州,
27,7520470158775684387,,,,,,,,,,,,L2,7520483498135208756,粮食一涨，“几乎”所有东西都涨！,让子弹先飞一飞,66726390857,6,0,2025-06-27 12:36:57,广西,
