序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7523020899432303907,湖北好玩的地方也太太太多了吧🤩你能说出几个！一起走进湖北，感受中国式现代化蓬勃的脉动！#绘说现代化,https://www.douyin.com/video/7523020899432303907,1751589817,53,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1443,70,32,65828,41,video,,,,,,,,,
2,7523020899432303907,,,,,,,,,,,,L1,7523110379527815995,不仅有青山绿水、悠长文韵，还有闻名世界的湖北绿松石[给力][给力][给力],方菜头,65027022110,0,0,2025-07-04 14:30:35,福建,
3,7523020899432303907,,,,,,,,,,,,L1,7523023839913345849,热烈欢迎大家来大湖北游玩[比心][比心][比心],阿星、,92792365686,4,1,2025-07-04 08:54:48,浙江,
4,7523020899432303907,,,,,,,,,,,,L1,7523251224679105337,?不仅有青山绿水、悠长文韵，还有闻名世k界的湖北绿松石[给力][给力][给力][灵机一动],八二,4206068222134439,0,0,2025-07-04 23:37:07,山东,
5,7523020899432303907,,,,,,,,,,,,L1,7523024377651397418,大湖北就是好[比心],切🔥忌,97560347890,2,0,2025-07-04 08:56:54,湖北,
6,7523020899432303907,,,,,,,,,,,,L1,7523024403607061294,湖北人高冷吗？,༺晶晶王จุ๊บ,96109931295,1,4,2025-07-04 08:57:01,广西,
7,7523020899432303907,,,,,,,,,,,,L1,7527878613808775995,欢迎大家过来湖北旅游,阿芳🌹在澳门,104544346959,0,0,2025-07-17 10:53:48,广东,
8,7523020899432303907,,,,,,,,,,,,L1,7523545628396700431,给我湖北点个赞[点赞][点赞][点赞],一路生花🌸🌸,68142619315,1,0,2025-07-05 18:39:36,湖北,
9,7523020899432303907,,,,,,,,,,,,L1,7523368114697945902,我在湖北驻青岛工厂[微笑],L,96669320028,1,0,2025-07-05 07:10:48,山东,
10,7523020899432303907,,,,,,,,,,,,L1,7523238810269991726,天下第一蒸菜–湖北天门欢迎您[赞],共商天下,4371313962276311,0,0,2025-07-04 22:48:58,湖北,
