序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7526005320070515987,1314公里的G331吉林段有多美？ 从长白山的清凉到鸭绿江的微风，#绘说现代化 带你走进吉林这条宝藏公路❤️,https://www.douyin.com/video/7526005320070515987,1752284675,42,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1821,61,40,66963,61,video,,,,,,,,,
2,7526005320070515987,,,,,,,,,,,,L1,7526013617049895730,这公路看着像是去狗熊岭的啊,弋戈,81240607892,7,2,2025-07-12 10:16:37,河北,
3,7526005320070515987,,,,,,,,,,,,L1,7526021532977480506,说走就走，有没有约上的小伙伴，湖南出发,富迅新能源,684336801911012,1,0,2025-07-12 10:47:22,湖南,
4,7526005320070515987,,,,,,,,,,,,L1,7526049980411380532,@🇨🇳中国游乐园路上了！,真情永远,4275333762397420,1,0,2025-07-12 12:37:45,湖南,
5,7526005320070515987,,,,,,,,,,,,L1,7526008166170657586,欢迎大家来到吉林[呲牙][呲牙][呲牙],ღ᭄明媚阳光🪽꧂,83781589710,1,0,2025-07-12 09:55:29,吉林,
6,7526005320070515987,,,,,,,,,,,,L1,7526006182428082995,真想去驾乘一趟啊[玫瑰][玫瑰][玫瑰],瑞缘零食分享,976842572182077,1,0,2025-07-12 09:47:47,辽宁,
7,7526005320070515987,,,,,,,,,,,,L1,7526065668807902012,广州下大雨喽,山茶花之瑞雪惜月,1825617793266320,0,0,2025-07-12 13:38:37,广东,
8,7526005320070515987,,,,,,,,,,,,L1,7526006374419071786,出发了吗[呲牙][呲牙][呲牙],芥末加辣,106647264825,2,0,2025-07-12 09:48:34,湖南,
9,7526005320070515987,,,,,,,,,,,,L1,7526010436388209460,我滴妈呀，视频传到哪了[泣不成声],于 先 生 。,100107529511,3,0,2025-07-12 10:04:22,吉林,
10,7526005320070515987,,,,,,,,,,,,L1,7526113585559765817,大美中国🇨🇳,兰竹生命美学创始人开心姐姐,100763662288731,0,0,2025-07-12 16:44:34,广东,
11,7526005320070515987,,,,,,,,,,,,L1,7526011408548315947,正经吗,招财～,666746110874272,1,0,2025-07-12 10:08:04,山东,
12,7526005320070515987,,,,,,,,,,,,L1,7526009441558528828,能玩几天啊？,molu   　　　　　　　　　　　　╲,104564233255,0,0,2025-07-12 10:00:28,辽宁,
13,7526005320070515987,,,,,,,,,,,,L1,7536084781788939066,@第b一[机智],树叶,4434748337818612,0,0,2025-08-08 13:37:53,河北,
14,7526005320070515987,,,,,,,,,,,,L1,7526006393716736818,第一,🏀一只小撒斯给🏀,3145028902074942,1,0,2025-07-12 09:48:36,江苏,
15,7526005320070515987,,,,,,,,,,,,L1,7549362697642099506,太美好了，棒棒哒[色][色][色][赞][赞][赞][赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][666][666][666][666][666][666][666],毛毛,2795434420214164,0,0,2025-09-13 08:22:58,河北,
16,7526005320070515987,,,,,,,,,,,,L1,7526006323172754211,今天安排发货了，估计明天就到了[耶],用户8338140427875,585417769103128,0,0,2025-07-12 09:48:23,河南,
17,7526005320070515987,,,,,,,,,,,,L1,7533290824169407266,*说走就走，有没有约g上的小伙伴，湖南出发[捂脸],花蕊,1493603182458777,0,0,2025-08-01 00:56:06,河北,
18,7526005320070515987,,,,,,,,,,,,L1,7533055916423152441,@[比心][比o心][比心][酷拽],秀小迪,1232973467492484,0,0,2025-07-31 09:44:22,河北,
19,7526005320070515987,,,,,,,,,,,,L1,7526008036223451944,去年走过了，的确很美,妮305,4217325018164659,0,0,2025-07-12 09:55:05,湖北,
20,7526005320070515987,,,,,,,,,,,,L1,7526133597100720936,每个人各有特色。,中国中国,2637074964429043,0,0,2025-07-12 18:02:17,重庆,
21,7526005320070515987,,,,,,,,,,,,L1,7536561140085867310,太美好了，棒棒哒[色][色][色][赞][赞][赞][赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][666][666][666][666][666][666][666],玥儿百货店😊,1069160730203437,0,0,2025-08-09 20:26:24,广东,
22,7526005320070515987,,,,,,,,,,,,L1,7526124236847776569,太美好了，棒棒哒[色][色][色][赞][赞][赞][赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][666][666][666][666][666][666][666],潘亚莉,109290374434,0,0,2025-07-12 17:25:53,江苏,
23,7526005320070515987,,,,,,,,,,,,L1,7526086690897756964,非常好精彩如意[赞][赞],12,102999569453,0,0,2025-07-12 15:00:15,云南,
24,7526005320070515987,,,,,,,,,,,,L1,7526016764879422268,@[赞][赞][赞],*,259947535023864,0,0,2025-07-12 10:28:51,浙江,
25,7526005320070515987,,,,,,,,,,,,L1,7533315087521481472,!🌍🇨🇳🅰️白菜小姐人参王🌖中国吉林风景太好了[赞][c赞][感谢]旅游的朋友们[赞]都去那里玩去那看风景[感谢][耶][耶],暴富暴瘦,3766240845239731,0,0,2025-08-01 02:30:25,河北,
26,7526005320070515987,,,,,,,,,,,,L1,7532868533404189466,祝心想事成幸福快乐[呲牙],进度,3695884293386058,0,0,2025-07-30 21:37:12,河北,
27,7526005320070515987,,,,,,,,,,,,L2,7526068620302484243,@,严姐,3966690919197699,0,0,2025-07-12 13:50:06,贵州,
28,7526005320070515987,,,,,,,,,,,,L2,7526068741815157543,@@,严姐,3966690919197699,0,0,2025-07-12 13:50:34,贵州,
29,7526005320070515987,,,,,,,,,,,,L1,7533344494722089770,*我滴妈呀，视频传f到哪了[泣不成声][尬笑],一只小布,2109329210872907,0,0,2025-08-01 04:24:32,河北,
30,7526005320070515987,,,,,,,,,,,,L1,7549102442714743587,*^🌍🇨🇳🅰️白菜小姐人参王🌖中国吉林风景太好了[赞][h赞b][感谢]旅游的朋友们[赞]都去那里玩去那看风景[感谢][耶][色][哈欠],修车喵,3150521435691456,0,0,2025-09-12 15:33:06,河北,
