序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7528600886927461658,你吃的菜可能就来自云南✌️平均每1分钟就有约40吨鲜蔬发往全国，“云菜” ——世界认识中国农业的鲜活名片！#绘说现代化,https://www.douyin.com/video/7528600886927461658,1752889000,64,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1804,101,94,91697,57,video,,,,,,,,,
2,7528600886927461658,,,,,,,,,,,,L1,7528610474222387977,山东人表示跟本没有那个可能性[呲牙][呲牙][呲牙],疯纸鹤,232747521813340,0,6,2025-07-19 10:13:47,山东,
3,7528600886927461658,,,,,,,,,,,,L1,7528617345733149483,厉害了大云南[赞][赞][赞],用户6753106835736,59875635764,1,0,2025-07-19 10:40:28,河北,
4,7528600886927461658,,,,,,,,,,,,L1,7528618782438540092,我家大云南[赞],筱開昕,3768744898767528,2,0,2025-07-19 10:46:01,云南,
5,7528600886927461658,,,,,,,,,,,,L1,7528606499217343283,"别怕蔬
谁不是一边卷一边菜
《包菜》",杨瞅瞅爱薅羊毛,96357591977,9,0,2025-07-19 09:58:20,四川,
6,7528600886927461658,,,,,,,,,,,,L1,7528784504947082023,去大理旅行，看到大理的玉米都不结棒，不理解为啥非要种玉米[捂脸][捂脸],Raining Mommy,97848814593,0,3,2025-07-19 21:29:08,黑龙江,
7,7528600886927461658,,,,,,,,,,,,L1,7528602122947429177,这个彩云之南真好听[比心][比心][比心],啊这,104869469223,3,0,2025-07-19 09:41:22,河南,
8,7528600886927461658,,,,,,,,,,,,L1,7528667595122656060,这个画面好美好好看,关小肥🌵,19635732772,1,0,2025-07-19 13:55:25,广东,
9,7528600886927461658,,,,,,,,,,,,L1,7528604822166225723,抖音真好，啥都能看到[比心][比心],金铃铃💰,56289784157,2,0,2025-07-19 09:51:49,河南,
10,7528600886927461658,,,,,,,,,,,,L1,7528712337387258676,这一块儿没得说[赞][赞][赞],辕门射戟,101798138238,1,0,2025-07-19 16:49:06,浙江,
11,7528600886927461658,,,,,,,,,,,,L1,7528636916499301120,彩云之南，曾经来过，我心的方向[比心],可爱的人,3705815427975900,1,0,2025-07-19 11:56:27,新疆,
12,7528600886927461658,,,,,,,,,,,,L1,7528619463340737340,向全国推广野生菌,千寻爱睡觉,105440088978,2,0,2025-07-19 10:48:38,云南,
13,7528600886927461658,,,,,,,,,,,,L1,7528930878731911996,这广告创意独特，新意满满正能量[赞][赞][赞][比心][比心][比心]作者优秀[玫瑰][玫瑰][玫瑰],开心大叔,1948810802104611,0,0,2025-07-20 06:57:09,广西,
14,7528600886927461658,,,,,,,,,,,,L1,7528609696804160315,向往的地方不应是花海吗咋变成菜海了[捂脸],大玲子,2612039712247440,0,1,2025-07-19 10:10:46,河北,
