序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7533841121898777891,上海港集装箱吞吐量连续15年全球第1👍一起见证上海向海图强的壮阔征程，感受中国式现代化的磅礴力量！#绘说现代化,https://www.douyin.com/video/7533841121898777891,1754109121,49,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2495,54,14,117655,27,video,,,,,,,,,
2,7533841121898777891,,,,,,,,,,,,L1,7533842509102302009,中国🇨🇳美如画[送心][送心][送心],嫦娥,60766218912,2,0,2025-08-02 12:36:43,四川,
3,7533841121898777891,,,,,,,,,,,,L1,7533843555111699258,[色][色]这个动画弄的太可爱了[感谢][感谢][感谢][感谢][感谢][感谢],悠仔,153533210960045,1,0,2025-08-02 12:40:48,上海,
4,7533841121898777891,,,,,,,,,,,,L1,7533882552706597692,好美好舒服的画面[赞],用户672334,71543217363,0,0,2025-08-02 15:12:09,江苏,
5,7533841121898777891,,,,,,,,,,,,L1,7533843213237814074,[赞][赞][赞]祝国家越来越好，上海第一 ，第一。,月里,109190027904,1,0,2025-08-02 12:39:28,贵州,
6,7533841121898777891,,,,,,,,,,,,L1,7533847021419479854,好美好舒服的画面[赞],多姐,98732873794,1,0,2025-08-02 12:54:15,内蒙古,
7,7533841121898777891,,,,,,,,,,,,L1,7533874635500634916,欢迎大美中国呀,12,102999569453,0,0,2025-08-02 14:41:30,云南,
8,7533841121898777891,,,,,,,,,,,,L1,7533869002880762682,@[赞],*,259947535023864,0,0,2025-08-02 14:19:32,浙江,
9,7533841121898777891,,,,,,,,,,,,L1,7533852952201937724,"[赞][赞][赞]
[鼓掌][鼓掌][鼓掌]",春天🍀,593381861373579,1,0,2025-08-02 13:17:15,河南,
10,7533841121898777891,,,,,,,,,,,,L1,7533842535904920363,[赞][赞][赞],星河流转,1025177157378252,1,0,2025-08-02 12:36:53,山东,
11,7533841121898777891,,,,,,,,,,,,L1,7533870656838337306,[赞][赞][赞][赞],Lyon大叔,3274800404380576,0,0,2025-08-02 14:25:58,上海,
12,7533841121898777891,,,,,,,,,,,,L1,7533842809922519854,[小鼓掌][小鼓掌][小鼓掌][泣不成声][泣不成声][泣不成声][来看我][来看我][来看我][一起加油][一起加油][一起加油][666][666][666][送心][送心][送心],廖勇,1179142228812829,1,0,2025-08-02 12:37:55,河南,
13,7533841121898777891,,,,,,,,,,,,L1,7533866285072188211,[赞][赞][赞],化妆玉米,3027371887437945,0,0,2025-08-02 14:08:59,浙江,
14,7533841121898777891,,,,,,,,,,,,L1,7533865979270136636,[赞][赞][赞],平安凫,65125237176,0,0,2025-08-02 14:07:48,山东,
15,7533841121898777891,,,,,,,,,,,,L1,7533933569401537280,[赞][赞][赞],七妹纺织,111192037959,0,0,2025-08-02 18:30:10,湖南,
16,7533841121898777891,,,,,,,,,,,,L1,7533847406954644263,[比心][比心][比心][比心][比心][比心][比心],起风了🐼🐼🐼,50929451703,0,0,2025-08-02 12:55:43,四川,
17,7533841121898777891,,,,,,,,,,,,L1,7533858474138485561,[鼓掌][鼓掌][鼓掌],用户3237112944955,3026285309986968,0,0,2025-08-02 13:38:43,河南,
18,7533841121898777891,,,,,,,,,,,,L1,7533951969560871739,[比心][比心][比心][呲牙],一生回味一念,66914680249,0,0,2025-08-02 19:41:29,山东,
19,7533841121898777891,,,,,,,,,,,,L1,7533863538639012627,[666],戴静有冤无处诉！！,119209616488183,0,0,2025-08-02 13:58:25,浙江,
20,7533841121898777891,,,,,,,,,,,,L1,7535278988621579066,[西瓜][西瓜][西瓜][西瓜][西瓜][西瓜][西瓜][西瓜][西瓜][西瓜],依禾装饰官方号,106015877795,0,0,2025-08-06 09:30:59,吉林,
21,7533841121898777891,,,,,,,,,,,,L1,7533838521875071754,[微笑],我,99729143715,0,0,2025-08-02 12:35:16,广东,
22,7533841121898777891,,,,,,,,,,,,L1,7533843176055276347,[赞][赞][赞],微粒子,108452194686,0,0,2025-08-02 12:39:18,安徽,
23,7533841121898777891,,,,,,,,,,,,L1,7533841660246295355,[思考][思考][思考],三德喂吃,1770692253061929,0,0,2025-08-02 12:33:26,浙江,
24,7533841121898777891,,,,,,,,,,,,L1,7533843034291684156,[击掌][击掌][击掌],23 32 23,104903356897,0,0,2025-08-02 12:38:45,广西,
25,7533841121898777891,,,,,,,,,,,,L1,7533850033314153250,[爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心],西安-田龙,3195609997908656,1,0,2025-08-02 13:05:56,陕西,
26,7533841121898777891,,,,,,,,,,,,L1,7535406674741084985,[赞][赞][赞],季子花,111473611737,0,0,2025-08-06 17:46:29,浙江,
27,7533841121898777891,,,,,,,,,,,,L1,7533846891270177596,我爱中国[送心],夜晚没有星,93293790930,0,0,2025-08-02 12:53:45,广东,
28,7533841121898777891,,,,,,,,,,,,L1,7533845133227295531,第一！,錦安 &,3034298984965789,0,0,2025-08-02 12:46:59,广东,
