序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7536153664466029858,从南通“造岛神器”，到盐城“发电站”，再到连云港“海洋牧场”……江苏海洋经济不止于GDP！#绘说现代化  带你看“与海共生”的文明新篇🌊,https://www.douyin.com/video/7536153664466029858,1754701200,75,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1768,68,31,87275,42,video,,,,,,,,,
2,7536153664466029858,,,,,,,,,,,,L1,7536387200049824569,AI真好，能把没完成的未来提前完成[捂脸],金铃铃💰,56289784157,8,1,2025-08-09 09:11:26,河南,
3,7536153664466029858,,,,,,,,,,,,L1,7545723131786494735,$江苏海洋经济太让人震撼了！从海洋工程装备到海水养殖，从风电到港h口，全产业链发力还兼顾生态，‘蓝色增长极’未来可期👍”[玫瑰][比心],风景如画,2200546878429912,0,0,2025-09-03 12:59:37,河北,
4,7536153664466029858,,,,,,,,,,,,L1,7536768685035750204,我们赣榆海头！[赞][赞][赞],眺望的蚂蚁,94405017981,1,0,2025-08-10 09:51:49,江苏,
5,7536153664466029858,,,,,,,,,,,,L1,7536906096280388411,中国一定会越来越好的,用户672334,71543217363,0,0,2025-08-10 18:45:02,江苏,
6,7536153664466029858,,,,,,,,,,,,L1,7543896141323535163,江苏海洋经济太让人震撼了！从海洋工程装备到海水养殖，从风电到港口，全产业链发力还兼顾生态，‘蓝色增长极’未来可期👍”[玫瑰],出汗,4241235962765353,0,0,2025-08-29 14:49:56,河北,
7,7536153664466029858,,,,,,,,,,,,L1,7539537768017527552,"家国同护[爱心]正气长存
万众一心[爱心]正道永昌正道有未来：歪门邪道 必自毙。善恶到头终有报 害人终害己。敬畏天地[爱心]自我反思！不痴不贪⚠️光明正大
忠勇传家🌞世代担当[爱心]
寸土必守🇨🇳寸心不让 同心同德[爱心]保家卫国[爱心]《祖国万岁中国》",海 阳,251101262389997,2,0,2025-08-17 20:57:16,云南,
8,7536153664466029858,,,,,,,,,,,,L1,7536389474004124457,中国一定会越来越好的,婷吖,96676713454,3,0,2025-08-09 09:20:16,河南,
9,7536153664466029858,,,,,,,,,,,,L1,7545851879021937423,&江苏海洋经济太让人震撼了！从海洋工程装备到海水养殖，从风电到港p口，全产业链发力还兼顾生态，‘蓝色增长极’未来可期👍”[玫瑰][发怒],我爱我家,3871801136392596,0,0,2025-09-03 21:19:12,河北,
10,7536153664466029858,,,,,,,,,,,,L1,7545712774480134948,#?江苏海洋经济太让人震撼了！从海洋工程装备到海水养殖，从风电到港b口e，全产业链发力还兼顾生态，‘蓝色增长极’未来可期👍”[玫瑰][哈欠][大笑],张一,159865759079896,0,0,2025-09-03 12:19:24,山东,
11,7536153664466029858,,,,,,,,,,,,L1,7536385478405423908,南通人来抢沙发了[玫瑰][玫瑰][玫瑰],零度（三国杀）,96625698858,3,1,2025-08-09 09:04:48,江苏,
12,7536153664466029858,,,,,,,,,,,,L1,7545757217509835555,&?江苏海洋经济太让人震撼了！从海洋工程装备到海水养殖，从风电到港b口e，全产业链发力还兼顾生态，‘蓝色增长极’未来可期👍”[玫瑰][哈欠][尬笑],三八,423728121658729,0,0,2025-09-03 15:11:54,河北,
13,7536153664466029858,,,,,,,,,,,,L1,7541918600177795876,?江苏海洋经济太让人震撼了！从海洋工程装备到海水养殖，从风电到港b口，全产业链发力还兼顾生态，‘蓝色增长极’未来可期👍”[玫瑰][哈欠],嘟嘟嘟,4381984664341449,0,0,2025-08-24 06:56:07,河北,
