序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7539380131891088691,海上风电总装机规模全国第一 ，海水鱼养殖产量占全国近半；“梦想”号大洋钻探船建成入列，中华白海豚频频现身海域…广东奏响海洋经济新“粤”章！#绘说现代化,https://www.douyin.com/video/7539380131891088691,1755398731,43,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2399,80,35,124034,44,video,,,,,,,,,
2,7539380131891088691,,,,,,,,,,,,L1,7539432323364963130,广东厉害啦，海洋经济有看头，城市发展超带感，人文烟火也够暖，传统和新潮无缝衔接，不管是打拼搞事业，还是游玩赏风景，都能狠狠拿捏住大家的心，不愧是超有魅力的“宝藏省份”～,吸塑包装源头厂家(无忧),108242382054,2,0,2025-08-17 14:08:03,广东,
3,7539380131891088691,,,,,,,,,,,,L1,7539452862380917554,国联水产,〃洛雨ぐ,26088120834,0,0,2025-08-17 15:27:45,山东,
4,7539380131891088691,,,,,,,,,,,,L1,7539386381711573823,好熟悉BGM[看],躁味的米饭,1930334911348171,1,1,2025-08-17 11:09:49,吉林,
5,7539380131891088691,,,,,,,,,,,,L1,7539392261626495753,广东，一座靠吃猪脚饭的人，盖起的一线城市，包容性特强[抱抱你],时久碎碎念,2520518365546263,6,0,2025-08-17 11:32:36,广东,
6,7539380131891088691,,,,,,,,,,,,L1,7539430230009398057,中国🇨🇳万岁,失眠怎么办,3783856850998820,1,0,2025-08-17 13:59:57,江苏,
7,7539380131891088691,,,,,,,,,,,,L1,7539406797258392378,$中国🇨🇳大国风范[赞]，中国🇨🇳s美如画[爱心]，中国🇨🇳万岁！[送心][害羞],冬日雪,3379217172273851,0,0,2025-08-17 12:28:59,河北,
8,7539380131891088691,,,,,,,,,,,,L1,7539384609529070390,身在东莞才知道这地理位置有多尴尬，左边广州右边深圳，被压制得死死的[捂脸],平平安安,70415987506,0,0,2025-08-17 11:02:55,广东,
9,7539380131891088691,,,,,,,,,,,,L1,7539467903905940283,为中国式现代化贡献力量,星佑铺子,1437750062222979,1,0,2025-08-17 16:26:08,湖北,
10,7539380131891088691,,,,,,,,,,,,L1,7539430062312243978,中国最棒[赞],悦己,7512081779059819579,0,0,2025-08-17 13:59:16,河南,
