序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7543802760714669347,原来四川的“气场”这么足！以气为脉、以绿为底，四川正为国家能源安全与绿色转型注入澎湃动能👍#绘说现代化,https://www.douyin.com/video/7543802760714669347,1756428477,71,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1599,72,25,60202,30,video,,,,,,,,,
2,7543802760714669347,,,,,,,,,,,,L1,7543804621530759936,乱世云贵川军人上战场奔赴前线，盛世云贵川人四处奔波进厂打螺丝,用户6193205861980,1778340130485945,9,0,2025-08-29 08:54:50,安徽,
3,7543802760714669347,,,,,,,,,,,,L1,7543803718749340459,山清水秀，大好河山[赞],米粒麻麻,7478552532165887034,1,0,2025-08-29 08:51:20,安徽,
4,7543802760714669347,,,,,,,,,,,,L1,7543807325779100454,果然还得是天府[灵机一动],殿酱酒业,83263310385,6,1,2025-08-29 09:05:18,河南,
5,7543802760714669347,,,,,,,,,,,,L1,7543804190327817017,助力祖国建设[机智],小羊快跑,71053893353,0,0,2025-08-29 08:53:09,重庆,
6,7543802760714669347,,,,,,,,,,,,L1,7543805080253842236,广东阳春人报道,得个Der,54144443604,0,0,2025-08-29 08:56:36,广东,
7,7543802760714669347,,,,,,,,,,,,L1,7543803904728695571,天府之土[赞],青竹老怪,3649969243031140,3,0,2025-08-29 08:52:04,浙江,
8,7543802760714669347,,,,,,,,,,,,L1,7559591401429680959,不晓得安岳天然气排名如何[捂脸][捂脸],1520,66862365509,0,0,2025-10-10 21:55:34,四川,
9,7543802760714669347,,,,,,,,,,,,L1,7543806591977538364,这几天去广元市，体验女儿节[不失礼貌的微笑],问路,58891190097,0,0,2025-08-29 09:02:28,湖北,
10,7543802760714669347,,,,,,,,,,,,L1,7543804691664519979,祝福祖国越来越好[玫瑰],溜达猫,61512133908,0,0,2025-08-29 08:55:07,贵州,
11,7543802760714669347,,,,,,,,,,,,L1,7543804385824326457,先占个沙发[比心][比心][比心],晒得均匀,94800316912,0,0,2025-08-29 08:53:55,贵州,
12,7543802760714669347,,,,,,,,,,,,L1,7543849408489849660,可以来拍个海盐话吗？浙江省嘉兴市海盐县,沈先生,73801516793,0,0,2025-08-29 11:48:36,浙江,
13,7543802760714669347,,,,,,,,,,,,L1,7551065481811313465,资阳会不会取代达州为气都,泽雨秋风,2971292980215971,0,0,2025-09-17 22:30:38,四川,
14,7543802760714669347,,,,,,,,,,,,L1,7543900681204171580,@[赞][赞][赞][赞][赞][赞][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]这个背景音乐真好听[酷拽],田道容,1859986650040990,0,0,2025-08-29 15:07:33,广东,
15,7543802760714669347,,,,,,,,,,,,L1,7543829421955629881,@[赞],*,259947535023864,0,0,2025-08-29 10:31:03,浙江,
16,7543802760714669347,,,,,,,,,,,,L1,7544669373115040570,[赞][赞][赞],魏寿云,3039528689350719,0,0,2025-08-31 16:50:29,山东,
17,7543802760714669347,,,,,,,,,,,,L1,7543804632877237051,[赞][赞][赞][赞][赞],清野,4446867584464136,0,0,2025-08-29 08:54:53,安徽,
18,7543802760714669347,,,,,,,,,,,,L1,7543809101428540217,[赞][赞][赞],沙姐💕南工,892428215129421,0,0,2025-08-29 09:12:10,上海,
19,7543802760714669347,,,,,,,,,,,,L1,7543814233672516412,[赞][赞][赞][爱心][爱心][爱心][玫瑰][玫瑰][玫瑰],江运芳,2867168593587583,2,0,2025-08-29 09:32:07,江西,
